release,mtime,level,num_files,num_folders
0.5,2007-09-19 20:47:13,1,2.0,1
0.5,2007-09-19 20:47:13,2,1.0,3
0.5,2007-09-19 20:47:13,3,337.0,17
0.5,2007-09-19 20:47:13,4,94.0,9
0.5,2007-09-19 20:47:13,5,190.0,17
0.5,2007-09-19 20:47:13,6,30.0,3
0.6,2008-10-18 21:41:44,1,1.0,1
0.6,2008-10-18 21:41:44,2,1.0,2
0.6,2008-10-18 21:41:44,3,539.0,17
0.6,2008-10-18 21:41:44,4,21.0,7
0.6,2008-10-18 21:41:44,5,183.0,16
0.6,2008-10-18 21:41:44,6,30.0,3
0.6.1,2009-01-24 03:56:05,1,1.0,1
0.6.1,2009-01-24 03:56:05,2,1.0,2
0.6.1,2009-01-24 03:56:05,3,540.0,17
0.6.1,2009-01-24 03:56:05,4,21.0,7
0.6.1,2009-01-24 03:56:05,5,183.0,16
0.6.1,2009-01-24 03:56:05,6,30.0,3
0.6b2,2008-05-06 17:50:49,1,1.0,1
0.6b2,2008-05-06 17:50:49,2,1.0,2
0.6b2,2008-05-06 17:50:49,3,547.0,19
0.6b2,2008-05-06 17:50:49,4,63.0,9
0.6b2,2008-05-06 17:50:49,5,190.0,17
0.6b2,2008-05-06 17:50:49,6,30.0,3
0.7,2009-08-07 04:18:37,1,1.0,1
0.7,2009-08-07 04:18:37,2,5.0,2
0.7,2009-08-07 04:18:37,3,544.0,18
0.7,2009-08-07 04:18:37,4,21.0,7
0.7,2009-08-07 04:18:37,5,183.0,16
0.7,2009-08-07 04:18:37,6,30.0,3
0.7.1,2009-08-12 04:16:06,1,1.0,1
0.7.1,2009-08-12 04:16:06,2,9.0,2
0.7.1,2009-08-12 04:16:06,3,540.0,17
0.7.1,2009-08-12 04:16:06,4,21.0,7
0.7.1,2009-08-12 04:16:06,5,183.0,16
0.7.1,2009-08-12 04:16:06,6,30.0,3
0.7.2,2009-09-04 05:01:29,1,1.0,1
0.7.2,2009-09-04 05:01:29,2,9.0,2
0.7.2,2009-09-04 05:01:29,3,540.0,17
0.7.2,2009-09-04 05:01:29,4,21.0,7
0.7.2,2009-09-04 05:01:29,5,183.0,16
0.7.2,2009-09-04 05:01:29,6,30.0,3
0.8.0,2010-08-12 23:48:27,1,1.0,1
0.8.0,2010-08-12 23:48:27,2,28.0,2
0.8.0,2010-08-12 23:48:27,3,559.0,21
0.8.0,2010-08-12 23:48:27,4,37.0,9
0.8.0,2010-08-12 23:48:27,5,212.0,21
0.8.0,2010-08-12 23:48:27,6,30.0,3
0.8.1,2010-08-13 16:49:52,1,1.0,1
0.8.1,2010-08-13 16:49:52,2,28.0,2
0.8.1,2010-08-13 16:49:52,3,559.0,21
0.8.1,2010-08-13 16:49:52,4,37.0,9
0.8.1,2010-08-13 16:49:52,5,212.0,21
0.8.1,2010-08-13 16:49:52,6,30.0,3
0.8.2,2010-11-28 22:35:09,1,1.0,1
