release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
0.5,2007-09-19 20:47:13,5991133,654,244933,9160.75,50,45,80.0,14.53,133136.0,6,337.0,109.0,17,8.33,,,,,,,,,,,,,,,
0.6b2,2008-05-06 17:50:49,8757869,832,244933,10526.28,51,47,82.0,17.7,186338.0,6,547.0,138.67,19,8.5,2766736.0,46.18,178.0,27.22,2.0,4.44,21.82,53202.0,39.96,0.0,0.0,210.0,62.31,27.22,27.22
0.6,2008-10-18 21:41:44,8363366,775,244933,10791.44,46,43,84.0,18.02,194497.0,6,539.0,129.17,17,7.67,-394503.0,-4.5,-57.0,-6.85,-4.0,-8.51,1.81,8159.0,4.38,0.0,0.0,-8.0,-1.46,-6.85,-6.85
0.6.1,2009-01-24 03:56:05,8363637,776,244933,10777.88,46,43,83.0,18.05,194503.0,6,540.0,129.33,17,7.67,271.0,0.0,1.0,0.13,0.0,0.0,0.17,6.0,0.0,0.0,0.0,1.0,0.19,0.12,0.12
0.7,2009-08-07 04:18:37,8415455,784,244933,10734.0,47,44,84.0,17.82,191260.0,6,544.0,130.67,18,7.83,51818.0,0.62,8.0,1.03,1.0,2.33,-1.27,-3243.0,-1.67,0.0,0.0,4.0,0.74,1.04,1.04
0.7.1,2009-08-12 04:16:06,8419598,784,244933,10739.28,46,43,84.0,18.23,195805.0,6,540.0,130.67,17,7.67,4143.0,0.05,0.0,0.0,-1.0,-2.27,2.3,4545.0,2.38,0.0,0.0,-4.0,-0.74,0.0,0.0
0.7.2,2009-09-04 05:01:29,8419965,784,244933,10739.75,46,43,84.0,18.23,195813.0,6,540.0,130.67,17,7.67,367.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8.0,2010-08-12 23:48:27,9026261,867,244933,10410.91,57,52,88.0,16.67,173582.0,6,559.0,144.5,21,9.5,606296.0,7.2,83.0,10.59,9.0,20.93,-8.56,-22231.0,-11.35,0.0,0.0,19.0,3.52,10.58,10.58
0.8.1,2010-08-13 16:49:52,9030411,867,244933,10415.7,57,52,88.0,16.67,173662.0,6,559.0,144.5,21,9.5,4150.0,0.05,0.0,0.0,0.0,0.0,0.0,80.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.8.2,2010-11-28 22:35:09,9032205,867,244933,10417.77,57,52,88.0,16.67,173696.0,6,559.0,144.5,21,9.5,1794.0,0.02,0.0,0.0,0.0,0.0,0.0,34.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.8.3,2011-07-08 05:25:34,9032602,867,244933,10418.23,57,52,88.0,16.67,173704.0,6,559.0,144.5,21,9.5,397.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,2011-09-07 01:40:43,14797968,1491,244933,9924.86,76,67,188.0,22.25,220865.0,6,736.0,248.5,30,12.67,5765366.0,63.83,624.0,71.97,15.0,28.85,33.47,47161.0,27.15,0.0,0.0,177.0,31.66,71.97,71.97
0.9.1-beta,2012-02-15 00:01:02,15281086,1514,244933,10093.19,77,68,188.0,22.26,224722.0,6,748.0,252.33,31,12.83,483118.0,3.26,23.0,1.54,1.0,1.49,0.04,3857.0,1.75,0.0,0.0,12.0,1.63,1.54,1.54
0.9.1,2012-03-24 15:55:26,15281401,1517,244933,10073.44,78,69,188.0,21.99,221470.0,6,748.0,252.83,31,13.0,315.0,0.0,3.0,0.2,1.0,1.47,-1.21,-3252.0,-1.45,0.0,0.0,0.0,0.0,0.2,0.2
0.9.2,2012-05-20 16:32:13,15285370,1524,244933,10029.77,78,69,188.0,22.09,221527.0,6,753.0,254.0,31,13.0,3969.0,0.03,7.0,0.46,0.0,0.0,0.45,57.0,0.03,0.0,0.0,5.0,0.67,0.46,0.46
0.9.3,2012-07-10 23:26:08,15305298,1545,244933,9906.34,79,70,188.0,22.07,218647.0,6,768.0,257.5,31,13.17,19928.0,0.13,21.0,1.38,1.0,1.45,-0.09,-2880.0,-1.3,0.0,0.0,15.0,1.99,1.38,1.38
0.9.4,2012-08-24 05:57:47,15331314,1573,244933,9746.54,80,71,188.0,22.15,215934.0,6,795.0,262.17,32,13.33,26016.0,0.17,28.0,1.81,1.0,1.43,0.36,-2713.0,-1.24,0.0,0.0,27.0,3.52,1.81,1.81
0.9.5,2012-08-25 00:06:08,15332259,1573,244933,9747.14,80,71,188.0,22.15,215947.0,6,795.0,262.17,32,13.33,945.0,0.01,0.0,0.0,0.0,0.0,0.0,13.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.9.6-beta1,2014-01-06 02:42:08,15808589,1687,244933,9370.83,85,75,188.0,22.49,210781.0,6,682.0,281.17,28,14.17,476330.0,3.11,114.0,7.25,4.0,5.63,1.53,-5166.0,-2.39,0.0,0.0,-113.0,-14.21,7.25,7.25
0.9.6-beta2,2014-02-03 04:33:39,15834981,1693,244933,9353.21,85,75,188.0,22.57,211133.0,6,684.0,282.17,28,14.17,26392.0,0.17,6.0,0.36,0.0,0.0,0.36,352.0,0.17,0.0,0.0,2.0,0.29,0.36,0.36
0.9.6-beta3,2014-02-24 13:18:44,15833362,1696,244933,9335.71,84,74,188.0,22.92,213964.0,6,686.0,339.2,28,14.0,-1619.0,-0.01,3.0,0.18,-1.0,-1.33,1.55,2831.0,1.34,0.0,0.0,2.0,0.29,20.21,20.21
1.0.0-beta1,2014-04-18 03:23:12,15889908,1711,244933,9286.91,84,74,188.0,23.12,214728.0,6,694.0,342.2,28,14.0,56546.0,0.36,15.0,0.88,0.0,0.0,0.87,764.0,0.36,0.0,0.0,8.0,1.17,0.88,0.88
