release,mtime,level,num_files,num_folders
1.0.0,2015-03-24 01:37:41,1,,1
1.0.0,2015-03-24 01:37:41,2,,5
1.0.0,2015-03-24 01:37:41,3,,6
1.0.0,2015-03-24 01:37:41,4,,8
1.0.0,2015-03-24 01:37:41,5,,8
1.0.0,2015-03-24 01:37:41,6,,8
1.0.0,2015-03-24 01:37:41,7,,8
1.0.0,2015-03-24 01:37:41,8,,8
1.0.0,2015-03-24 01:37:41,9,12.0,8
1.0.0,2015-03-24 01:37:41,10,57.0,11
1.0.0,2015-03-24 01:37:41,11,30.0,13
1.0.0,2015-03-24 01:37:41,12,18.0,6
1.0.0,2015-03-24 01:37:41,13,17.0,3
1.0.1,2015-03-30 21:53:56,1,,1
1.0.1,2015-03-30 21:53:56,2,,5
1.0.1,2015-03-30 21:53:56,3,,6
1.0.1,2015-03-30 21:53:56,4,,8
1.0.1,2015-03-30 21:53:56,5,,8
1.0.1,2015-03-30 21:53:56,6,,8
1.0.1,2015-03-30 21:53:56,7,,8
1.0.1,2015-03-30 21:53:56,8,,8
1.0.1,2015-03-30 21:53:56,9,12.0,8
1.0.1,2015-03-30 21:53:56,10,59.0,11
1.0.1,2015-03-30 21:53:56,11,30.0,13
1.0.1,2015-03-30 21:53:56,12,18.0,6
1.0.1,2015-03-30 21:53:56,13,17.0,3
1.1.0,2015-04-18 17:55:52,1,,1
1.1.0,2015-04-18 17:55:52,2,,5
1.1.0,2015-04-18 17:55:52,3,,6
1.1.0,2015-04-18 17:55:52,4,,8
1.1.0,2015-04-18 17:55:52,5,,8
1.1.0,2015-04-18 17:55:52,6,,8
1.1.0,2015-04-18 17:55:52,7,,8
1.1.0,2015-04-18 17:55:52,8,,8
1.1.0,2015-04-18 17:55:52,9,12.0,8
1.1.0,2015-04-18 17:55:52,10,60.0,11
1.1.0,2015-04-18 17:55:52,11,30.0,13
1.1.0,2015-04-18 17:55:52,12,18.0,6
1.1.0,2015-04-18 17:55:52,13,17.0,3
1.2.0,2015-05-09 06:07:12,1,,1
1.2.0,2015-05-09 06:07:12,2,,5
1.2.0,2015-05-09 06:07:12,3,,6
1.2.0,2015-05-09 06:07:12,4,,8
1.2.0,2015-05-09 06:07:12,5,,8
1.2.0,2015-05-09 06:07:12,6,,8
1.2.0,2015-05-09 06:07:12,7,,8
1.2.0,2015-05-09 06:07:12,8,,8
1.2.0,2015-05-09 06:07:12,9,13.0,8
1.2.0,2015-05-09 06:07:12,10,60.0,11
1.2.0,2015-05-09 06:07:12,11,30.0,13
1.2.0,2015-05-09 06:07:12,12,19.0,6
1.2.0,2015-05-09 06:07:12,13,17.0,3
1.3.0,2015-07-13 02:11:09,1,,1
1.3.0,2015-07-13 02:11:09,2,,5
1.3.0,2015-07-13 02:11:09,3,,6
1.3.0,2015-07-13 02:11:09,4,,8
1.3.0,2015-07-13 02:11:09,5,,8
1.3.0,2015-07-13 02:11:09,6,,8
1.3.0,2015-07-13 02:11:09,7,,8
1.3.0,2015-07-13 02:11:09,8,,8
1.3.0,2015-07-13 02:11:09,9,12.0,8
1.3.0,2015-07-13 02:11:09,10,62.0,11
1.3.0,2015-07-13 02:11:09,11,36.0,13
1.3.0,2015-07-13 02:11:09,12,19.0,6
1.3.0,2015-07-13 02:11:09,13,17.0,3
1.3.1,2015-07-14 07:01:47,1,,1
1.3.1,2015-07-14 07:01:47,2,,5
1.3.1,2015-07-14 07:01:47,3,,6
1.3.1,2015-07-14 07:01:47,4,,8
1.3.1,2015-07-14 07:01:47,5,,8
1.3.1,2015-07-14 07:01:47,6,,8
1.3.1,2015-07-14 07:01:47,7,,8
1.3.1,2015-07-14 07:01:47,8,,8
1.3.1,2015-07-14 07:01:47,9,12.0,8
1.3.1,2015-07-14 07:01:47,10,62.0,11
1.3.1,2015-07-14 07:01:47,11,36.0,13
1.3.1,2015-07-14 07:01:47,12,19.0,6
1.3.1,2015-07-14 07:01:47,13,17.0,3
1.3.2,2015-09-03 05:37:27,1,,1
1.3.2,2015-09-03 05:37:27,2,,5
1.3.2,2015-09-03 05:37:27,3,,6
1.3.2,2015-09-03 05:37:27,4,,8
1.3.2,2015-09-03 05:37:27,5,,9
