release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
1.0.0,2015-03-24 01:37:41,783547,134,66789,5847.37,93,29,28.0,4.62,27019.0,13,57.0,26.8,13,7.15,,,,,,,,,,,,,,,
1.0.1,2015-03-30 21:53:56,797793,136,66789,5866.12,93,29,30.0,4.69,27510.0,13,59.0,27.2,13,7.15,14246.0,1.82,2.0,1.49,0.0,0.0,1.52,491.0,1.82,0.0,0.0,2.0,3.51,1.49,1.49
1.1.0,2015-04-18 17:55:52,804575,137,66789,5872.81,93,29,30.0,4.72,27744.0,13,60.0,27.4,13,7.15,6782.0,0.85,1.0,0.74,0.0,0.0,0.64,234.0,0.85,0.0,0.0,1.0,1.69,0.74,0.74
1.2.0,2015-05-09 06:07:12,833299,139,66789,5994.96,93,29,30.0,4.79,28734.0,13,60.0,27.8,13,7.15,28724.0,3.57,2.0,1.46,0.0,0.0,1.48,990.0,3.57,0.0,0.0,0.0,0.0,1.46,1.46
1.3.0,2015-07-13 02:11:09,839892,146,67389,5752.68,93,29,31.0,5.03,28962.0,13,62.0,29.2,13,7.15,6593.0,0.79,7.0,5.04,0.0,0.0,5.01,228.0,0.79,0.0,0.0,2.0,3.33,5.04,5.04
1.3.1,2015-07-14 07:01:47,840926,146,67389,5759.77,93,29,31.0,5.03,28997.0,13,62.0,29.2,13,7.15,1034.0,0.12,0.0,0.0,0.0,0.0,0.0,35.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
1.3.2,2015-09-03 05:37:27,1010716,169,67230,5980.57,116,41,31.0,4.12,24652.0,13,63.0,33.8,14,8.92,169790.0,20.19,23.0,15.75,12.0,41.38,-18.09,-4345.0,-14.98,0.0,0.0,1.0,1.61,15.75,15.75
1.3.3,2015-09-26 07:03:44,1011766,169,68280,5986.78,116,41,31.0,4.12,24677.0,13,63.0,33.8,14,8.92,1050.0,0.1,0.0,0.0,0.0,0.0,0.0,25.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.0.0,2015-11-09 07:28:38,1089866,199,90824,5476.71,97,43,32.0,4.63,25346.0,14,67.0,33.17,14,6.93,78100.0,7.72,30.0,17.75,2.0,4.88,12.38,669.0,2.71,1.0,7.69,4.0,6.35,-1.86,-1.86
2.0.1,2015-11-13 04:35:30,1090028,199,90824,5477.53,97,43,32.0,4.63,25349.0,14,67.0,33.17,14,6.93,162.0,0.01,0.0,0.0,0.0,0.0,0.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
