release,mtime,level,num_files,num_folders
0.9.33,2013-05-31 05:37:15,1,1,1
0.9.33,2013-05-31 05:37:15,2,19,4
0.9.33,2013-05-31 05:37:15,3,176,12
0.9.33,2013-05-31 05:37:15,4,273,23
0.9.33,2013-05-31 05:37:15,5,587,98
0.9.33,2013-05-31 05:37:15,6,285,33
0.9.33,2013-05-31 05:37:15,7,24,6
0.9.34,2013-06-07 05:21:42,1,1,1
0.9.34,2013-06-07 05:21:42,2,19,4
0.9.34,2013-06-07 05:21:42,3,176,12
0.9.34,2013-06-07 05:21:42,4,273,23
0.9.34,2013-06-07 05:21:42,5,587,98
0.9.34,2013-06-07 05:21:42,6,285,33
0.9.34,2013-06-07 05:21:42,7,24,6
0.9.35,2013-06-14 04:43:40,1,1,1
0.9.35,2013-06-14 04:43:40,2,19,4
0.9.35,2013-06-14 04:43:40,3,176,12
0.9.35,2013-06-14 04:43:40,4,274,23
0.9.35,2013-06-14 04:43:40,5,591,98
0.9.35,2013-06-14 04:43:40,6,285,33
0.9.35,2013-06-14 04:43:40,7,24,6
0.9.36,2013-06-21 05:41:09,1,1,1
0.9.36,2013-06-21 05:41:09,2,19,4
0.9.36,2013-06-21 05:41:09,3,176,12
0.9.36,2013-06-21 05:41:09,4,274,23
0.9.36,2013-06-21 05:41:09,5,593,98
0.9.36,2013-06-21 05:41:09,6,285,33
0.9.36,2013-06-21 05:41:09,7,24,6
0.9.37,2013-06-28 05:20:14,1,1,1
0.9.37,2013-06-28 05:20:14,2,19,4
0.9.37,2013-06-28 05:20:14,3,176,12
0.9.37,2013-06-28 05:20:14,4,274,23
0.9.37,2013-06-28 05:20:14,5,593,98
0.9.37,2013-06-28 05:20:14,6,286,33
0.9.37,2013-06-28 05:20:14,7,24,6
0.9.38,2013-07-05 04:57:29,1,1,1
0.9.38,2013-07-05 04:57:29,2,19,4
0.9.38,2013-07-05 04:57:29,3,176,12
0.9.38,2013-07-05 04:57:29,4,274,23
0.9.38,2013-07-05 04:57:29,5,594,98
0.9.38,2013-07-05 04:57:29,6,287,33
0.9.38,2013-07-05 04:57:29,7,24,6
0.9.39,2013-07-12 04:46:55,1,1,1
0.9.39,2013-07-12 04:46:55,2,19,4
0.9.39,2013-07-12 04:46:55,3,176,12
0.9.39,2013-07-12 04:46:55,4,275,23
0.9.39,2013-07-12 04:46:55,5,596,98
0.9.39,2013-07-12 04:46:55,6,287,33
0.9.39,2013-07-12 04:46:55,7,24,6
0.9.40,2013-07-19 05:59:26,1,1,1
0.9.40,2013-07-19 05:59:26,2,19,4
0.9.40,2013-07-19 05:59:26,3,176,12
0.9.40,2013-07-19 05:59:26,4,275,23
0.9.40,2013-07-19 05:59:26,5,596,98
0.9.40,2013-07-19 05:59:26,6,287,33
0.9.40,2013-07-19 05:59:26,7,24,6
0.9.41,2013-07-27 05:15:40,1,1,1
0.9.41,2013-07-27 05:15:40,2,19,4
0.9.41,2013-07-27 05:15:40,3,176,12
0.9.41,2013-07-27 05:15:40,4,276,23
0.9.41,2013-07-27 05:15:40,5,596,98
0.9.41,2013-07-27 05:15:40,6,287,33
0.9.41,2013-07-27 05:15:40,7,24,6
0.9.42,2013-08-02 04:08:20,1,1,1
0.9.42,2013-08-02 04:08:20,2,19,4
0.9.42,2013-08-02 04:08:20,3,176,12
0.9.42,2013-08-02 04:08:20,4,276,23
0.9.42,2013-08-02 04:08:20,5,596,98
0.9.42,2013-08-02 04:08:20,6,289,33
0.9.42,2013-08-02 04:08:20,7,24,6
0.9.43,2013-08-09 04:47:49,1,1,1
0.9.43,2013-08-09 04:47:49,2,21,4
