release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
0.9.33,2013-05-31 05:37:15,17917199,1365,705779,13126.15,177,175,59.0,7.8,102384.0,7,587,195.0,98,25.29,,,,,,,,,,,,,,,
0.9.34,2013-06-07 05:21:42,17941513,1365,705779,13143.97,177,175,59.0,7.8,102523.0,7,587,195.0,98,25.29,24314.0,0.14,0.0,0.0,0.0,0.0,0.0,139.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
0.9.35,2013-06-14 04:43:40,17988202,1370,705779,13130.07,177,175,59.0,7.83,102790.0,7,591,195.71,98,25.29,46689.0,0.26,5.0,0.37,0.0,0.0,0.38,267.0,0.26,0.0,0.0,4.0,0.68,0.36,0.36
0.9.36,2013-06-21 05:41:09,17998919,1372,705779,13118.75,177,175,59.0,7.84,102851.0,7,593,196.0,98,25.29,10717.0,0.06,2.0,0.15,0.0,0.0,0.13,61.0,0.06,0.0,0.0,2.0,0.34,0.15,0.15
0.9.37,2013-06-28 05:20:14,18022548,1373,705779,13126.4,177,175,59.0,7.85,102986.0,7,593,196.14,98,25.29,23629.0,0.13,1.0,0.07,0.0,0.0,0.13,135.0,0.13,0.0,0.0,0.0,0.0,0.07,0.07
0.9.38,2013-07-05 04:57:29,18047000,1375,705779,13125.09,177,175,59.0,7.86,103126.0,7,594,196.43,98,25.29,24452.0,0.14,2.0,0.15,0.0,0.0,0.13,140.0,0.14,0.0,0.0,1.0,0.17,0.15,0.15
0.9.39,2013-07-12 04:46:55,18083787,1378,705779,13123.21,177,175,59.0,7.87,103336.0,7,596,196.86,98,25.29,36787.0,0.2,3.0,0.22,0.0,0.0,0.13,210.0,0.2,0.0,0.0,2.0,0.34,0.22,0.22
0.9.40,2013-07-19 05:59:26,18165567,1378,705779,13182.56,177,175,59.0,7.87,103803.0,7,596,196.86,98,25.29,81780.0,0.45,0.0,0.0,0.0,0.0,0.0,467.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.9.41,2013-07-27 05:15:40,18233241,1379,705779,13222.07,177,175,59.0,7.88,104190.0,7,596,197.0,98,25.29,67674.0,0.37,1.0,0.07,0.0,0.0,0.13,387.0,0.37,0.0,0.0,0.0,0.0,0.07,0.07
0.9.42,2013-08-02 04:08:20,18255624,1381,705779,13219.13,177,175,59.0,7.89,104318.0,7,596,197.29,98,25.29,22383.0,0.12,2.0,0.15,0.0,0.0,0.13,128.0,0.12,0.0,0.0,0.0,0.0,0.15,0.15
0.9.43,2013-08-09 04:47:49,18318001,1386,705779,13216.45,177,175,59.0,7.92,104674.0,7,598,198.0,98,25.29,62377.0,0.34,5.0,0.36,0.0,0.0,0.38,356.0,0.34,0.0,0.0,2.0,0.34,0.36,0.36
0.9.44,2013-08-16 06:18:12,18360236,1388,705796,13227.84,177,175,59.0,7.93,104916.0,7,599,198.29,98,25.29,42235.0,0.23,2.0,0.14,0.0,0.0,0.13,242.0,0.23,0.0,0.0,1.0,0.17,0.15,0.15
1.0.0,2013-08-23 05:29:07,18372486,1391,705796,13208.11,178,176,59.0,7.9,104389.0,7,600,198.71,98,25.43,12250.0,0.07,3.0,0.22,1.0,0.57,-0.38,-527.0,-0.5,0.0,0.0,1.0,0.17,0.21,0.21
1.1.0,2013-08-30 05:21:38,18472499,1392,705796,13270.47,178,176,59.0,7.91,104957.0,7,600,198.86,98,25.43,100013.0,0.54,1.0,0.07,0.0,0.0,0.13,568.0,0.54,0.0,0.0,0.0,0.0,0.08,0.08
1.2.0,2013-09-06 06:28:39,18487321,1392,705796,13281.12,178,176,59.0,7.91,105042.0,7,600,198.86,98,25.43,14822.0,0.08,0.0,0.0,0.0,0.0,0.0,85.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
1.3.0,2013-09-13 04:43:22,18498032,1392,705796,13288.82,178,176,59.0,7.91,105102.0,7,600,198.86,98,25.43,10711.0,0.06,0.0,0.0,0.0,0.0,0.0,60.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
