release,mtime,level,num_files,num_folders
21.0.0,2021-02-28 09:20:49,1,,1
21.0.0,2021-02-28 09:20:49,2,,2
21.0.0,2021-02-28 09:20:49,3,,102
21.0.0,2021-02-28 09:20:49,4,1.0,102
21.0.0,2021-02-28 09:20:49,5,17.0,103
21.0.0,2021-02-28 09:20:49,6,,102
21.0.0,2021-02-28 09:20:49,7,21.0,103
21.0.0,2021-02-28 09:20:49,8,264.0,118
21.0.0,2021-02-28 09:20:49,9,921.0,186
21.0.0,2021-02-28 09:20:49,10,1861.0,244
21.0.0,2021-02-28 09:20:49,11,903.0,181
21.0.0,2021-02-28 09:20:49,12,112.0,25
21.0.0,2021-02-28 09:20:49,13,1.0,1
21.0.1,2021-03-18 11:45:14,1,,1
21.0.1,2021-03-18 11:45:14,2,,2
21.0.1,2021-03-18 11:45:14,3,,104
21.0.1,2021-03-18 11:45:14,4,1.0,104
21.0.1,2021-03-18 11:45:14,5,17.0,105
21.0.1,2021-03-18 11:45:14,6,,104
21.0.1,2021-03-18 11:45:14,7,21.0,105
21.0.1,2021-03-18 11:45:14,8,265.0,120
21.0.1,2021-03-18 11:45:14,9,927.0,188
21.0.1,2021-03-18 11:45:14,10,1874.0,247
21.0.1,2021-03-18 11:45:14,11,903.0,181
21.0.1,2021-03-18 11:45:14,12,112.0,25
21.0.1,2021-03-18 11:45:14,13,1.0,1
21.0.2,2021-04-04 22:40:16,1,,1
21.0.2,2021-04-04 22:40:16,2,,2
21.0.2,2021-04-04 22:40:16,3,,104
21.0.2,2021-04-04 22:40:16,4,1.0,104
21.0.2,2021-04-04 22:40:16,5,17.0,105
21.0.2,2021-04-04 22:40:16,6,,104
21.0.2,2021-04-04 22:40:16,7,21.0,105
21.0.2,2021-04-04 22:40:16,8,267.0,121
21.0.2,2021-04-04 22:40:16,9,928.0,188
21.0.2,2021-04-04 22:40:16,10,1882.0,247
21.0.2,2021-04-04 22:40:16,11,906.0,181
21.0.2,2021-04-04 22:40:16,12,112.0,25
21.0.2,2021-04-04 22:40:16,13,1.0,1
21.0.3,2021-04-17 17:22:14,1,,1
21.0.3,2021-04-17 17:22:14,2,,2
21.0.3,2021-04-17 17:22:14,3,,106
21.0.3,2021-04-17 17:22:14,4,1.0,106
21.0.3,2021-04-17 17:22:14,5,17.0,107
21.0.3,2021-04-17 17:22:14,6,,106
21.0.3,2021-04-17 17:22:14,7,21.0,107
21.0.3,2021-04-17 17:22:14,8,267.0,124
21.0.3,2021-04-17 17:22:14,9,933.0,191
21.0.3,2021-04-17 17:22:14,10,1886.0,249
21.0.3,2021-04-17 17:22:14,11,908.0,181
21.0.3,2021-04-17 17:22:14,12,112.0,25
21.0.3,2021-04-17 17:22:14,13,1.0,1
21.0.4,2021-05-02 17:14:08,1,,1
21.0.4,2021-05-02 17:14:08,2,,2
21.0.4,2021-05-02 17:14:08,3,,106
21.0.4,2021-05-02 17:14:08,4,1.0,106
21.0.4,2021-05-02 17:14:08,5,17.0,107
21.0.4,2021-05-02 17:14:08,6,,106
21.0.4,2021-05-02 17:14:08,7,21.0,107
21.0.4,2021-05-02 17:14:08,8,267.0,124
21.0.4,2021-05-02 17:14:08,9,935.0,191
21.0.4,2021-05-02 17:14:08,10,1892.0,249
21.0.4,2021-05-02 17:14:08,11,909.0,182
21.0.4,2021-05-02 17:14:08,12,115.0,25
21.0.4,2021-05-02 17:14:08,13,1.0,1
21.0.5,2021-05-14 16:25:44,1,,1
21.0.5,2021-05-14 16:25:44,2,,2
21.0.5,2021-05-14 16:25:44,3,,107
21.0.5,2021-05-14 16:25:44,4,1.0,107
21.0.5,2021-05-14 16:25:44,5,17.0,108
21.0.5,2021-05-14 16:25:44,6,,107
21.0.5,2021-05-14 16:25:44,7,21.0,108
21.0.5,2021-05-14 16:25:44,8,267.0,125
21.0.5,2021-05-14 16:25:44,9,935.0,192
21.0.5,2021-05-14 16:25:44,10,1891.0,250
21.0.5,2021-05-14 16:25:44,11,911.0,183
21.0.5,2021-05-14 16:25:44,12,115.0,25
21.0.5,2021-05-14 16:25:44,13,1.0,1
21.1.0,2021-05-28 07:16:23,1,,1
21.1.0,2021-05-28 07:16:23,2,,2
21.1.0,2021-05-28 07:16:23,3,,107
21.1.0,2021-05-28 07:16:23,4,1.0,107
21.1.0,2021-05-28 07:16:23,5,17.0,108
21.1.0,2021-05-28 07:16:23,6,,107
21.1.0,2021-05-28 07:16:23,7,21.0,108
21.1.0,2021-05-28 07:16:23,8,267.0,125
21.1.0,2021-05-28 07:16:23,9,938.0,192
21.1.0,2021-05-28 07:16:23,10,1896.0,250
21.1.0,2021-05-28 07:16:23,11,912.0,183
21.1.0,2021-05-28 07:16:23,12,115.0,25
21.1.0,2021-05-28 07:16:23,13,1.0,1
21.1.1,2021-06-18 15:50:04,1,,1
21.1.1,2021-06-18 15:50:04,2,,2
21.1.1,2021-06-18 15:50:04,3,,107
21.1.1,2021-06-18 15:50:04,4,1.0,107
21.1.1,2021-06-18 15:50:04,5,17.0,108
21.1.1,2021-06-18 15:50:04,6,,107
21.1.1,2021-06-18 15:50:04,7,21.0,108
21.1.1,2021-06-18 15:50:04,8,267.0,125
21.1.1,2021-06-18 15:50:04,9,939.0,192
21.1.1,2021-06-18 15:50:04,10,1900.0,250
21.1.1,2021-06-18 15:50:04,11,913.0,183
21.1.1,2021-06-18 15:50:04,12,122.0,26
21.1.1,2021-06-18 15:50:04,13,1.0,1
21.1.2,2021-07-02 15:34:15,1,,1
21.1.2,2021-07-02 15:34:15,2,,2
21.1.2,2021-07-02 15:34:15,3,,107
21.1.2,2021-07-02 15:34:15,4,1.0,107
21.1.2,2021-07-02 15:34:15,5,17.0,108
21.1.2,2021-07-02 15:34:15,6,,107
21.1.2,2021-07-02 15:34:15,7,21.0,108
21.1.2,2021-07-02 15:34:15,8,267.0,125
21.1.2,2021-07-02 15:34:15,9,941.0,192
21.1.2,2021-07-02 15:34:15,10,1913.0,251
21.1.2,2021-07-02 15:34:15,11,915.0,183
21.1.2,2021-07-02 15:34:15,12,122.0,26
21.1.2,2021-07-02 15:34:15,13,1.0,1
21.1.3,2021-07-15 10:06:56,1,,1
21.1.3,2021-07-15 10:06:56,2,,2
21.1.3,2021-07-15 10:06:56,3,,107
21.1.3,2021-07-15 10:06:56,4,1.0,107
21.1.3,2021-07-15 10:06:56,5,17.0,108
21.1.3,2021-07-15 10:06:56,6,,107
21.1.3,2021-07-15 10:06:56,7,21.0,108
21.1.3,2021-07-15 10:06:56,8,267.0,125
21.1.3,2021-07-15 10:06:56,9,944.0,192
21.1.3,2021-07-15 10:06:56,10,1916.0,251
21.1.3,2021-07-15 10:06:56,11,920.0,184
21.1.3,2021-07-15 10:06:56,12,123.0,26
21.1.3,2021-07-15 10:06:56,13,1.0,1
21.1.4,2021-07-29 13:08:18,1,,1
21.1.4,2021-07-29 13:08:18,2,,2
21.1.4,2021-07-29 13:08:18,3,,107
21.1.4,2021-07-29 13:08:18,4,1.0,107
21.1.4,2021-07-29 13:08:18,5,17.0,108
21.1.4,2021-07-29 13:08:18,6,,107
21.1.4,2021-07-29 13:08:18,7,21.0,108
21.1.4,2021-07-29 13:08:18,8,267.0,125
21.1.4,2021-07-29 13:08:18,9,945.0,192
21.1.4,2021-07-29 13:08:18,10,1927.0,251
21.1.4,2021-07-29 13:08:18,11,920.0,184
21.1.4,2021-07-29 13:08:18,12,123.0,26
21.1.4,2021-07-29 13:08:18,13,1.0,1
21.1.5,2021-08-12 13:00:03,1,,1
