release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
3.5.2,2015-10-26 14:38:51,9914632,1914,134441,5180.06,373,249,60.0,7.69,39818.0,13,860.0,212.67,111,28.69,,,,,,,,,,,,,,,
3.5.3,2015-11-09 19:28:16,9883359,1911,134441,5171.83,361,246,60.0,7.77,40176.0,12,864.0,238.88,110,30.08,-31273.0,-0.32,-3.0,-0.16,-3.0,-1.2,1.04,358.0,0.9,-1.0,-7.69,4.0,0.47,12.32,12.32
3.5.4,2015-11-16 17:42:43,9908812,1913,134441,5179.72,361,246,60.0,7.78,40280.0,12,864.0,239.12,110,30.08,25453.0,0.26,2.0,0.1,0.0,0.0,0.13,104.0,0.26,0.0,0.0,0.0,0.0,0.1,0.1
3.5.5,2015-11-29 11:41:55,9972741,1920,134441,5194.14,361,246,60.0,7.8,40540.0,12,872.0,240.0,110,30.08,63929.0,0.65,7.0,0.37,0.0,0.0,0.26,260.0,0.65,0.0,0.0,8.0,0.93,0.37,0.37
3.5.6,2015-12-08 08:13:05,10005082,1923,134441,5202.85,361,246,60.0,7.82,40671.0,12,879.0,240.38,110,30.08,32341.0,0.32,3.0,0.16,0.0,0.0,0.26,131.0,0.32,0.0,0.0,7.0,0.8,0.16,0.16
3.5.7,2015-12-20 10:50:08,10069311,1933,134485,5209.16,361,246,60.0,7.86,40932.0,12,879.0,241.62,110,30.08,64229.0,0.64,10.0,0.52,0.0,0.0,0.51,261.0,0.64,0.0,0.0,0.0,0.0,0.52,0.52
3.5.8,2015-12-27 19:31:25,10231766,1962,134485,5214.97,362,247,60.0,7.94,41424.0,12,906.0,245.25,111,30.17,162455.0,1.61,29.0,1.5,1.0,0.41,1.02,492.0,1.2,0.0,0.0,27.0,3.07,1.5,1.5
3.5.9,2016-01-24 14:31:36,10327821,1981,134496,5213.44,364,249,60.0,7.96,41477.0,12,912.0,247.62,111,30.33,96055.0,0.94,19.0,0.97,2.0,0.81,0.25,53.0,0.13,0.0,0.0,6.0,0.66,0.97,0.97
3.6.0,2016-02-20 20:56:14,10524648,2019,134496,5212.8,367,252,60.0,8.01,41764.0,12,936.0,252.38,112,30.58,196827.0,1.91,38.0,1.92,3.0,1.2,0.63,287.0,0.69,0.0,0.0,24.0,2.63,1.92,1.92
3.6.1,2016-02-28 21:09:58,10535842,2018,134496,5220.93,367,252,60.0,8.01,41809.0,12,935.0,252.25,112,30.58,11194.0,0.11,-1.0,-0.05,0.0,0.0,0.0,45.0,0.11,0.0,0.0,-1.0,-0.11,-0.05,-0.05
