release,mtime,level,num_files,num_folders
0.1.0,2010-04-16 14:25:24,1,2.0,1
0.10.0,2013-06-13 10:35:35,1,2.0,1
0.10.0,2013-06-13 10:35:35,2,23.0,2
0.10.0,2013-06-13 10:35:35,3,18.0,3
0.10.0,2013-06-13 10:35:35,4,4.0,1
0.10.0,2013-06-13 10:35:35,5,10.0,9
0.10.0,2013-06-13 10:35:35,6,5.0,5
0.10.0,2013-06-13 10:35:35,7,5.0,5
0.10.0,2013-06-13 10:35:35,8,1.0,1
0.10.1,2013-06-14 10:54:07,1,2.0,1
0.10.1,2013-06-14 10:54:07,2,23.0,2
0.10.1,2013-06-14 10:54:07,3,18.0,3
0.10.1,2013-06-14 10:54:07,4,4.0,1
0.10.1,2013-06-14 10:54:07,5,10.0,9
0.10.1,2013-06-14 10:54:07,6,5.0,5
0.10.1,2013-06-14 10:54:07,7,5.0,5
0.10.1,2013-06-14 10:54:07,8,1.0,1
0.11.0,2016-05-29 11:02:23,1,1.0,1
0.11.0,2016-05-29 11:02:23,2,24.0,2
0.11.0,2016-05-29 11:02:23,3,1.0,1
0.11.1,2016-06-07 18:22:43,1,1.0,1
0.11.1,2016-06-07 18:22:43,2,24.0,2
0.11.1,2016-06-07 18:22:43,3,1.0,1
0.12.0,2016-12-21 21:22:08,1,1.0,1
0.12.0,2016-12-21 21:22:08,2,24.0,2
0.12.0,2016-12-21 21:22:08,3,1.0,1
0.12.1,2017-03-31 18:43:36,1,1.0,1
0.12.1,2017-03-31 18:43:36,2,24.0,2
0.12.1,2017-03-31 18:43:36,3,1.0,1
0.12.2,2017-05-16 08:39:30,1,1.0,1
0.12.2,2017-05-16 08:39:30,2,24.0,2
0.12.2,2017-05-16 08:39:30,3,1.0,1
0.12.3,2018-04-26 21:12:11,1,1.0,1
0.12.3,2018-04-26 21:12:11,2,24.0,2
0.12.3,2018-04-26 21:12:11,3,1.0,1
0.2.0,2010-05-12 01:30:10,1,2.0,1
0.3.0,2010-05-28 01:18:29,1,2.0,1
0.3.1,2010-05-28 21:21:28,1,2.0,1
0.4.0,2010-06-18 17:13:32,1,2.0,1
0.5.0,2010-07-06 16:25:44,1,1.0,1
0.5.0,2010-07-06 16:25:44,2,12.0,1
0.6.0,2010-07-27 14:38:59,1,1.0,1
0.6.0,2010-07-27 14:38:59,2,13.0,1
0.6.1,2010-12-31 15:21:46,1,1.0,1
0.6.1,2010-12-31 15:21:46,2,13.0,1
0.7.0,2011-06-28 14:36:52,1,1.0,1
0.7.0,2011-06-28 14:36:52,2,17.0,2
0.7.0,2011-06-28 14:36:52,3,1.0,1
0.7.1,2011-06-29 18:37:22,1,1.0,1
0.7.1,2011-06-29 18:37:22,2,17.0,2
0.7.1,2011-06-29 18:37:22,3,1.0,1
0.7.2,2011-07-06 10:19:27,1,1.0,1
0.7.2,2011-07-06 10:19:27,2,17.0,2
0.7.2,2011-07-06 10:19:27,3,1.0,1
0.8.0,2011-09-29 23:34:02,1,2.0,1
0.8.0,2011-09-29 23:34:02,2,22.0,2
0.8.0,2011-09-29 23:34:02,3,15.0,3
0.8.0,2011-09-29 23:34:02,4,2.0,1
0.8.0,2011-09-29 23:34:02,5,10.0,7
0.8.0,2011-09-29 23:34:02,6,4.0,3
0.8.0,2011-09-29 23:34:02,7,4.0,4
0.8.1,2012-07-01 13:08:38,1,2.0,1
0.8.1,2012-07-01 13:08:38,2,22.0,2
0.8.1,2012-07-01 13:08:38,3,15.0,3
0.8.1,2012-07-01 13:08:38,4,2.0,1
0.8.1,2012-07-01 13:08:38,5,10.0,7
0.8.1,2012-07-01 13:08:38,6,4.0,3
0.8.1,2012-07-01 13:08:38,7,4.0,4
0.9.0,2012-07-01 13:12:36,1,2.0,1
0.9.0,2012-07-01 13:12:36,2,23.0,2
0.9.0,2012-07-01 13:12:36,3,17.0,3
0.9.0,2012-07-01 13:12:36,4,4.0,1
0.9.0,2012-07-01 13:12:36,5,10.0,9
0.9.0,2012-07-01 13:12:36,6,5.0,5
0.9.0,2012-07-01 13:12:36,7,5.0,5
0.9.0,2012-07-01 13:12:36,8,1.0,1
1.0.0,2018-04-26 21:25:54,1,1.0,1
1.0.0,2018-04-26 21:25:54,2,19.0,2
1.0.0,2018-04-26 21:25:54,3,2.0,1
1.0.1,2018-04-30 04:08:16,1,1.0,1
1.0.1,2018-04-30 04:08:16,2,19.0,2
1.0.1,2018-04-30 04:08:16,3,2.0,1
1.0.2,2018-05-02 16:16:14,1,1.0,1
1.0.2,2018-05-02 16:16:14,2,19.0,2
1.0.2,2018-05-02 16:16:14,3,2.0,1
1.0.3,2019-05-17 19:57:51,1,1.0,1
1.0.3,2019-05-17 19:57:51,2,19.0,2
1.0.3,2019-05-17 19:57:51,3,2.0,1
1.0.4,2019-07-05 00:33:46,1,1.0,1
1.0.4,2019-07-05 00:33:46,2,18.0,1
1.0.4,2019-07-05 00:33:46,3,2.0,1
1.1.0,2019-07-05 01:04:42,1,1.0,1
1.1.0,2019-07-05 01:04:42,2,,1
1.1.0,2019-07-05 01:04:42,3,18.0,1
1.1.0,2019-07-05 01:04:42,4,2.0,1
1.1.1,2019-07-08 19:58:12,1,1.0,1
1.1.1,2019-07-08 19:58:12,2,,1
1.1.1,2019-07-08 19:58:12,3,18.0,1
1.1.1,2019-07-08 19:58:12,4,2.0,1
1.1.2,2020-04-03 19:10:38,1,1.0,1
1.1.2,2020-04-03 19:10:38,2,,1
1.1.2,2020-04-03 19:10:38,3,18.0,1
1.1.2,2020-04-03 19:10:38,4,2.0,1
1.1.3,2021-05-14 01:24:21,1,1.0,1
1.1.3,2021-05-14 01:24:21,2,,1
1.1.3,2021-05-14 01:24:21,3,18.0,1
1.1.3,2021-05-14 01:24:21,4,2.0,1
1.1.4,2021-05-14 03:44:46,1,1.0,1
1.1.4,2021-05-14 03:44:46,2,,1
1.1.4,2021-05-14 03:44:46,3,18.0,1
1.1.4,2021-05-14 03:44:46,4,2.0,1
2.0.0,2021-05-11 23:43:42,1,1.0,1
2.0.0,2021-05-11 23:43:42,2,,1
2.0.0,2021-05-11 23:43:42,3,19.0,1
2.0.0,2021-05-11 23:43:42,4,2.0,1
2.0.0rc1,2021-04-16 17:52:35,1,1.0,1
2.0.0rc1,2021-04-16 17:52:35,2,,1
2.0.0rc1,2021-04-16 17:52:35,3,18.0,1
2.0.0rc1,2021-04-16 17:52:35,4,2.0,1
2.0.0rc2,2021-05-03 16:13:43,1,1.0,1
2.0.0rc2,2021-05-03 16:13:43,2,,1
2.0.0rc2,2021-05-03 16:13:43,3,19.0,1
2.0.0rc2,2021-05-03 16:13:43,4,2.0,1
2.0.1,2021-05-21 17:52:24,1,1.0,1
2.0.1,2021-05-21 17:52:24,2,,1
2.0.1,2021-05-21 17:52:24,3,19.0,1
2.0.1,2021-05-21 17:52:24,4,2.0,1
2.0.2,2021-10-04 16:31:29,1,1.0,1
2.0.2,2021-10-04 16:31:29,2,,1
2.0.2,2021-10-04 16:31:29,3,19.0,1
2.0.2,2021-10-04 16:31:29,4,2.0,1
2.0.3,2022-02-14 20:46:23,1,1.0,1
2.0.3,2022-02-14 20:46:23,2,,1
2.0.3,2022-02-14 20:46:23,3,19.0,1
2.0.3,2022-02-14 20:46:23,4,2.0,1
2.1.0,2022-03-28 21:12:02,1,1.0,1
2.1.0,2022-03-28 21:12:02,2,,1
2.1.0,2022-03-28 21:12:02,3,19.0,1
2.1.0,2022-03-28 21:12:02,4,2.0,1
2.1.1,2022-03-30 23:37:30,1,1.0,1
2.1.1,2022-03-30 23:37:30,2,,1
2.1.1,2022-03-30 23:37:30,3,19.0,1
2.1.1,2022-03-30 23:37:30,4,2.0,1
2.1.2,2022-04-28 19:46:41,1,1.0,1
2.1.2,2022-04-28 19:46:41,2,,1
2.1.2,2022-04-28 19:46:41,3,19.0,1
2.1.2,2022-04-28 19:46:41,4,2.0,1
