release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
0.1.0,2010-04-16 14:25:24,27442,2,25871,13721.0,1,1,2.0,2.0,27442.0,1,2.0,2.0,1,1.0,,,,,,,,,,,,,,,
0.2.0,2010-05-12 01:30:10,45562,2,43971,22781.0,1,1,2.0,2.0,45562.0,1,2.0,2.0,1,1.0,18120.0,66.03,0.0,0.0,0.0,0.0,0.0,18120.0,66.03,0.0,0.0,0.0,0.0,0.0,0.0
0.3.0,2010-05-28 01:18:29,56811,2,55220,28405.5,1,1,2.0,2.0,56811.0,1,2.0,2.0,1,1.0,11249.0,24.69,0.0,0.0,0.0,0.0,0.0,11249.0,24.69,0.0,0.0,0.0,0.0,0.0,0.0
0.3.1,2010-05-28 21:21:28,56755,2,55162,28377.5,1,1,2.0,2.0,56755.0,1,2.0,2.0,1,1.0,-56.0,-0.1,0.0,0.0,0.0,0.0,0.0,-56.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.4.0,2010-06-18 17:13:32,60945,2,59156,30472.5,1,1,2.0,2.0,60945.0,1,2.0,2.0,1,1.0,4190.0,7.38,0.0,0.0,0.0,0.0,0.0,4190.0,7.38,0.0,0.0,0.0,0.0,0.0,0.0
0.5.0,2010-07-06 16:25:44,75643,13,33506,5818.69,2,2,12.0,6.5,37822.0,2,12.0,6.5,1,1.0,14698.0,24.12,11.0,550.0,1.0,100.0,225.0,-23123.0,-37.94,1.0,100.0,10.0,500.0,225.0,225.0
0.6.0,2010-07-27 14:38:59,85096,14,36667,6078.29,2,2,13.0,7.0,42548.0,2,13.0,7.0,1,1.0,9453.0,12.5,1.0,7.69,0.0,0.0,7.69,4726.0,12.5,0.0,0.0,1.0,8.33,7.69,7.69
0.6.1,2010-12-31 15:21:46,86290,14,37228,6163.57,2,2,13.0,7.0,43145.0,2,13.0,7.0,1,1.0,1194.0,1.4,0.0,0.0,0.0,0.0,0.0,597.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
0.7.0,2011-06-28 14:36:52,142483,19,55236,7499.11,4,4,15.0,4.75,35621.0,3,17.0,6.33,2,1.33,56193.0,65.12,5.0,35.71,2.0,100.0,-32.14,-7524.0,-17.44,1.0,50.0,4.0,30.77,-9.57,-9.57
0.7.1,2011-06-29 18:37:22,142782,19,55481,7514.84,4,4,15.0,4.75,35696.0,3,17.0,6.33,2,1.33,299.0,0.21,0.0,0.0,0.0,0.0,0.0,75.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
0.7.2,2011-07-06 10:19:27,142701,19,55481,7510.58,4,4,15.0,4.75,35675.0,3,17.0,6.33,2,1.33,-81.0,-0.06,0.0,0.0,0.0,0.0,0.0,-21.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.8.0,2011-09-29 23:34:02,297100,59,64370,5035.59,21,21,18.0,2.81,14148.0,7,22.0,8.43,7,3.0,154399.0,108.2,40.0,210.53,17.0,425.0,-40.84,-21527.0,-60.34,4.0,133.33,5.0,29.41,33.18,33.18
0.8.1,2012-07-01 13:08:38,297134,59,64370,5036.17,21,21,18.0,2.81,14149.0,7,22.0,8.43,7,3.0,34.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.9.0,2012-07-01 13:12:36,355732,67,71621,5309.43,27,24,19.0,2.79,14822.0,8,23.0,8.38,9,3.38,58598.0,19.72,8.0,13.56,3.0,14.29,-0.71,673.0,4.76,1.0,14.29,1.0,4.55,-0.59,-0.59
0.10.0,2013-06-13 10:35:35,404736,68,76786,5952.0,27,24,19.0,2.83,16864.0,8,23.0,8.5,9,3.38,49004.0,13.78,1.0,1.49,0.0,0.0,1.43,2042.0,13.78,0.0,0.0,0.0,0.0,1.43,1.43
0.10.1,2013-06-14 10:54:07,406821,68,76782,5982.66,27,24,19.0,2.83,16951.0,8,23.0,8.5,9,3.38,2085.0,0.52,0.0,0.0,0.0,0.0,0.0,87.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0
0.11.0,2016-05-29 11:02:23,280851,26,83370,10801.96,4,4,20.0,6.5,70213.0,3,24.0,8.67,2,1.33,-125970.0,-30.96,-42.0,-61.76,-20.0,-83.33,129.68,53262.0,314.21,-5.0,-62.5,1.0,4.35,2.0,2.0
0.11.1,2016-06-07 18:22:43,280853,26,83370,10802.04,4,4,20.0,6.5,70213.0,3,24.0,8.67,2,1.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12.0,2016-12-21 21:22:08,284218,26,83085,10931.46,4,4,20.0,6.5,71054.0,3,24.0,8.67,2,1.33,3365.0,1.2,0.0,0.0,0.0,0.0,0.0,841.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
0.12.1,2017-03-31 18:43:36,284552,26,83169,10944.31,4,4,20.0,6.5,71138.0,3,24.0,8.67,2,1.33,334.0,0.12,0.0,0.0,0.0,0.0,0.0,84.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
0.12.2,2017-05-16 08:39:30,284555,26,83169,10944.42,4,4,20.0,6.5,71139.0,3,24.0,8.67,2,1.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12.3,2018-04-26 21:12:11,285258,26,83169,10971.46,4,4,20.0,6.5,71314.0,3,24.0,8.67,2,1.33,703.0,0.25,0.0,0.0,0.0,0.0,0.0,175.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1.0.0,2018-04-26 21:25:54,292291,22,94006,13285.95,4,4,18.0,5.5,73073.0,3,19.0,7.33,2,1.33,7033.0,2.47,-4.0,-15.38,0.0,0.0,-15.38,1759.0,2.47,0.0,0.0,-5.0,-20.83,-15.46,-15.46
1.0.1,2018-04-30 04:08:16,292909,22,94147,13314.05,4,4,18.0,5.5,73227.0,3,19.0,7.33,2,1.33,618.0,0.21,0.0,0.0,0.0,0.0,0.0,154.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
1.0.2,2018-05-02 16:16:14,293039,22,94147,13319.95,4,4,18.0,5.5,73260.0,3,19.0,7.33,2,1.33,130.0,0.04,0.0,0.0,0.0,0.0,0.0,33.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1.0.3,2019-05-17 19:57:51,295830,22,94803,13446.82,4,4,18.0,5.5,73958.0,3,19.0,7.33,2,1.33,2791.0,0.95,0.0,0.0,0.0,0.0,0.0,698.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
1.0.4,2019-07-05 00:33:46,294707,21,95022,14033.67,3,3,18.0,7.0,98236.0,3,18.0,7.0,1,1.0,-1123.0,-0.38,-1.0,-4.55,-1.0,-25.0,27.27,24278.0,32.83,0.0,0.0,-1.0,-5.26,-4.5,-4.5
1.1.0,2019-07-05 01:04:42,302159,21,98066,14388.52,4,3,18.0,7.0,100720.0,4,18.0,7.0,1,1.0,7452.0,2.53,0.0,0.0,0.0,0.0,0.0,2484.0,2.53,1.0,33.33,0.0,0.0,0.0,0.0
1.1.1,2019-07-08 19:58:12,302888,21,98066,14423.24,4,3,18.0,7.0,100963.0,4,18.0,7.0,1,1.0,729.0,0.24,0.0,0.0,0.0,0.0,0.0,243.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
1.1.2,2020-04-03 19:10:38,303241,21,98059,14440.05,4,3,18.0,7.0,101080.0,4,18.0,7.0,1,1.0,353.0,0.12,0.0,0.0,0.0,0.0,0.0,117.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
2.0.0rc1,2021-04-16 17:52:35,284580,21,76728,13551.43,4,3,18.0,7.0,94860.0,4,18.0,7.0,1,1.0,-18661.0,-6.15,0.0,0.0,0.0,0.0,0.0,-6220.0,-6.15,0.0,0.0,0.0,0.0,0.0,0.0
2.0.0rc2,2021-05-03 16:13:43,301407,22,81907,13700.32,4,3,19.0,7.33,100469.0,4,19.0,7.33,1,1.0,16827.0,5.91,1.0,4.76,0.0,0.0,4.71,5609.0,5.91,0.0,0.0,1.0,5.56,4.71,4.71
2.0.0,2021-05-11 23:43:42,301596,22,81891,13708.91,4,3,19.0,7.33,100532.0,4,19.0,7.33,1,1.0,189.0,0.06,0.0,0.0,0.0,0.0,0.0,63.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
1.1.3,2021-05-14 01:24:21,303288,21,98059,14442.29,4,3,18.0,7.0,101096.0,4,18.0,7.0,1,1.0,1692.0,0.56,-1.0,-4.55,0.0,0.0,-4.5,564.0,0.56,0.0,0.0,-1.0,-5.26,-4.5,-4.5
1.1.4,2021-05-14 03:44:46,303285,21,98059,14442.14,4,3,18.0,7.0,101095.0,4,18.0,7.0,1,1.0,-3.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0.1,2021-05-21 17:52:24,309072,22,82376,14048.73,4,3,19.0,7.33,103024.0,4,19.0,7.33,1,1.0,5787.0,1.91,1.0,4.76,0.0,0.0,4.71,1929.0,1.91,0.0,0.0,1.0,5.56,4.71,4.71
2.0.2,2021-10-04 16:31:29,310372,22,81975,14107.82,4,3,19.0,7.33,103457.0,4,19.0,7.33,1,1.0,1300.0,0.42,0.0,0.0,0.0,0.0,0.0,433.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
2.0.3,2022-02-14 20:46:23,311839,22,81975,14174.5,4,3,19.0,7.33,103946.0,4,19.0,7.33,1,1.0,1467.0,0.47,0.0,0.0,0.0,0.0,0.0,489.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0
2.1.0,2022-03-28 21:12:02,308989,22,82070,14044.95,4,3,19.0,7.33,102996.0,4,19.0,7.33,1,1.0,-2850.0,-0.91,0.0,0.0,0.0,0.0,0.0,-950.0,-0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.1.1,2022-03-30 23:37:30,308998,22,82070,14045.36,4,3,19.0,7.33,102999.0,4,19.0,7.33,1,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1.2,2022-04-28 19:46:41,309057,22,82070,14048.05,4,3,19.0,7.33,103019.0,4,19.0,7.33,1,1.0,59.0,0.02,0.0,0.0,0.0,0.0,0.0,20.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
