release,mtime,level,num_files,num_folders
0.1.0,2015-03-26 23:05:16,1,,1
0.1.0,2015-03-26 23:05:16,2,,6
0.1.0,2015-03-26 23:05:16,3,,7
0.1.0,2015-03-26 23:05:16,4,,7
0.1.0,2015-03-26 23:05:16,5,,8
0.1.0,2015-03-26 23:05:16,6,32.0,12
0.1.0,2015-03-26 23:05:16,7,18.0,12
0.1.0,2015-03-26 23:05:16,8,16.0,13
0.1.0,2015-03-26 23:05:16,9,278.0,44
0.1.0,2015-03-26 23:05:16,10,44.0,11
0.1.0,2015-03-26 23:05:16,11,18.0,8
0.10.0,2016-04-19 13:20:33,1,1.0,1
0.10.0,2016-04-19 13:20:33,2,,12
0.10.0,2016-04-19 13:20:33,3,,14
0.10.0,2016-04-19 13:20:33,4,,14
0.10.0,2016-04-19 13:20:33,5,,18
0.10.0,2016-04-19 13:20:33,6,34.0,22
0.10.0,2016-04-19 13:20:33,7,28.0,21
0.10.0,2016-04-19 13:20:33,8,20.0,21
0.10.0,2016-04-19 13:20:33,9,307.0,55
0.10.0,2016-04-19 13:20:33,10,40.0,13
0.10.0,2016-04-19 13:20:33,11,14.0,4
0.11.0,2016-06-14 16:30:10,1,1.0,1
0.11.0,2016-06-14 16:30:10,2,,12
0.11.0,2016-06-14 16:30:10,3,,15
0.11.0,2016-06-14 16:30:10,4,,15
0.11.0,2016-06-14 16:30:10,5,,19
0.11.0,2016-06-14 16:30:10,6,36.0,23
0.11.0,2016-06-14 16:30:10,7,28.0,22
0.11.0,2016-06-14 16:30:10,8,20.0,22
0.11.0,2016-06-14 16:30:10,9,312.0,56
0.11.0,2016-06-14 16:30:10,10,40.0,14
0.11.0,2016-06-14 16:30:10,11,17.0,5
0.12.0,2016-07-22 12:30:03,1,1.0,1
0.12.0,2016-07-22 12:30:03,2,,12
0.12.0,2016-07-22 12:30:03,3,,15
0.12.0,2016-07-22 12:30:03,4,,15
0.12.0,2016-07-22 12:30:03,5,,19
0.12.0,2016-07-22 12:30:03,6,36.0,23
0.12.0,2016-07-22 12:30:03,7,28.0,22
0.12.0,2016-07-22 12:30:03,8,20.0,22
0.12.0,2016-07-22 12:30:03,9,314.0,56
