release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
0.1.0,2015-03-26 23:05:16,1532944,406,38473,3775.72,129,69,40.0,5.88,22217.0,11,278.0,67.67,44,11.73,,,,,,,,,,,,,,,
0.2.0,2015-04-08 18:29:07,1560821,407,38473,3834.94,129,69,43.0,5.9,22621.0,11,283.0,67.83,44,11.73,27877.0,1.82,1.0,0.25,0.0,0.0,0.34,404.0,1.82,0.0,0.0,5.0,1.8,0.24,0.24
0.3.0,2015-04-16 16:05:07,1564170,403,38473,3881.32,130,70,43.0,5.76,22345.0,11,282.0,67.17,44,11.82,3349.0,0.21,-4.0,-0.98,1.0,1.45,-2.37,-276.0,-1.22,0.0,0.0,-1.0,-0.35,-0.97,-0.97
0.4.0,2015-04-23 18:41:45,1560715,404,38456,3863.16,130,71,43.0,5.69,21982.0,11,282.0,57.71,44,11.82,-3455.0,-0.22,1.0,0.25,1.0,1.43,-1.22,-363.0,-1.62,0.0,0.0,0.0,0.0,-14.08,-14.08
0.5.0,2015-05-15 11:08:12,1495612,377,38614,3967.14,112,60,44.0,6.28,24927.0,11,280.0,53.86,42,10.18,-65103.0,-4.17,-27.0,-6.68,-11.0,-15.49,10.37,2945.0,13.4,0.0,0.0,-2.0,-0.71,-6.67,-6.67
0.5.1,2015-06-04 11:06:26,1506952,378,38622,3986.65,112,60,44.0,6.3,25116.0,11,280.0,54.0,42,10.18,11340.0,0.76,1.0,0.27,0.0,0.0,0.32,189.0,0.76,0.0,0.0,0.0,0.0,0.26,0.26
0.5.2,2015-06-15 18:14:57,1503921,377,38622,3989.18,112,60,43.0,6.28,25065.0,11,279.0,53.86,42,10.18,-3031.0,-0.2,-1.0,-0.26,0.0,0.0,-0.32,-51.0,-0.2,0.0,0.0,-1.0,-0.36,-0.26,-0.26
0.5.3,2015-06-29 00:51:56,1510337,376,38622,4016.85,112,60,44.0,6.27,25172.0,11,278.0,53.71,42,10.18,6416.0,0.43,-1.0,-0.27,0.0,0.0,-0.16,107.0,0.43,0.0,0.0,-1.0,-0.36,-0.28,-0.28
0.6.0,2015-07-20 22:26:44,1540530,379,38622,4064.72,112,60,45.0,6.32,25676.0,11,278.0,54.14,42,10.18,30193.0,2.0,3.0,0.8,0.0,0.0,0.8,504.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8
0.6.1,2015-08-10 15:02:48,1537249,379,38622,4056.07,112,60,45.0,6.32,25621.0,11,279.0,54.14,42,10.18,-3281.0,-0.21,0.0,0.0,0.0,0.0,0.0,-55.0,-0.21,0.0,0.0,1.0,0.36,0.0,0.0
0.7.0,2015-08-27 14:36:23,1546526,379,38622,4080.54,112,60,45.0,6.32,25775.0,11,279.0,54.14,42,10.18,9277.0,0.6,0.0,0.0,0.0,0.0,0.0,154.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.8.0,2015-10-19 23:55:39,1612113,392,38622,4112.53,122,63,45.0,6.22,25589.0,11,287.0,56.0,43,11.09,65587.0,4.24,13.0,3.43,3.0,5.0,-1.58,-186.0,-0.72,0.0,0.0,8.0,2.87,3.44,3.44
0.8.1,2015-10-30 15:07:11,1610767,391,38455,4119.61,122,63,45.0,6.21,25568.0,11,287.0,55.86,43,11.09,-1346.0,-0.08,-1.0,-0.26,0.0,0.0,-0.16,-21.0,-0.08,0.0,0.0,0.0,0.0,-0.25,-0.25
0.9.0,2016-01-15 12:38:40,1712395,419,38455,4086.86,148,72,46.0,5.82,23783.0,11,295.0,59.86,49,13.45,101628.0,6.31,28.0,7.16,9.0,14.29,-6.28,-1785.0,-6.98,0.0,0.0,8.0,2.79,7.16,7.16
0.10.0,2016-04-19 13:20:33,1807719,444,38430,4071.44,195,79,50.0,5.62,22883.0,11,307.0,63.43,55,17.73,95324.0,5.57,25.0,5.97,7.0,9.72,-3.44,-900.0,-3.78,0.0,0.0,12.0,4.07,5.96,5.96
