release,mtime,level,num_files,num_folders
1.0.0,2011-12-04 09:52:09,1,,1
1.0.0,2011-12-04 09:52:09,2,1.0,1
1.1.2,2011-12-05 13:24:49,1,1.0,1
1.1.2,2011-12-05 13:24:49,2,1.0,1
1.1.3,2011-12-06 11:47:38,1,1.0,1
1.1.3,2011-12-06 11:47:38,2,1.0,1
1.2.0,2011-12-10 22:55:14,1,1.0,1
1.2.0,2011-12-10 22:55:14,2,1.0,1
1.3.0,2011-12-13 21:57:51,1,1.0,1
1.3.0,2011-12-13 21:57:51,2,1.0,1
1.3.1,2011-12-16 21:55:34,1,1.0,1
1.3.1,2011-12-16 21:55:34,2,1.0,1
1.3.2,2011-12-17 16:43:10,1,1.0,1
1.3.2,2011-12-17 16:43:10,2,1.0,1
1.3.3,2011-12-23 14:03:06,1,1.0,1
1.3.3,2011-12-23 14:03:06,2,2.0,1
1.3.4,2011-12-25 21:35:46,1,1.0,1
1.3.4,2011-12-25 21:35:46,2,2.0,1
1.3.5,2012-01-04 14:25:51,1,1.0,1
1.3.5,2012-01-04 14:25:51,2,2.0,1
1.3.6,2012-01-18 17:38:06,1,1.0,1
1.3.6,2012-01-18 17:38:06,2,2.0,1
1.3.7,2012-01-31 14:37:56,1,1.0,1
1.3.7,2012-01-31 14:37:56,2,2.0,1
1.4.0,2012-07-06 14:03:32,1,1.0,1
1.4.0,2012-07-06 14:03:32,2,2.0,1
1.4.1,2012-09-06 10:33:27,1,1.0,1
1.4.1,2012-09-06 10:33:27,2,3.0,1
1.4.1.1,2012-09-06 13:39:54,1,1.0,1
1.4.1.1,2012-09-06 13:39:54,2,3.0,1
1.4.2,2012-09-22 15:24:32,1,1.0,1
1.4.2,2012-09-22 15:24:32,2,3.0,1
1.4.2.1,2012-10-02 09:17:47,1,1.0,1
1.4.2.1,2012-10-02 09:17:47,2,3.0,1
1.5.0,2012-11-07 21:53:05,1,1.0,1
1.5.0,2012-11-07 21:53:05,2,3.0,1
1.5.1,2012-11-09 09:39:52,1,1.0,1
1.5.1,2012-11-09 09:39:52,2,3.0,1
1.5.2,2012-12-28 18:50:56,1,1.0,1
1.5.2,2012-12-28 18:50:56,2,3.0,1
1.6.0,2013-01-26 11:45:07,1,1.0,1
1.6.0,2013-01-26 11:45:07,2,3.0,1
1.6.1,2013-03-23 21:14:24,1,1.0,1
1.6.1,2013-03-23 21:14:24,2,2.0,1
1.7.0,2013-08-10 15:32:09,1,1.0,1
1.7.0,2013-08-10 15:32:09,2,2.0,1
1.7.1,2013-08-20 13:49:41,1,1.0,1
1.7.1,2013-08-20 13:49:41,2,2.0,1
1.7.2,2013-11-01 10:12:25,1,1.0,1
1.7.2,2013-11-01 10:12:25,2,2.0,1
1.7.3,2013-12-15 10:23:06,1,1.0,1
1.7.3,2013-12-15 10:23:06,2,2.0,1
1.7.4,2014-01-18 11:02:36,1,1.0,1
1.7.4,2014-01-18 11:02:36,2,2.0,1
1.7.5,2014-03-11 19:04:13,1,1.0,1
1.7.5,2014-03-11 19:04:13,2,2.0,1
1.7.6,2014-03-25 20:03:54,1,1.0,1
1.7.6,2014-03-25 20:03:54,2,2.0,1
1.7.7,2014-05-14 11:30:47,1,1.0,1
1.7.7,2014-05-14 11:30:47,2,2.0,1
2.0.0,2014-06-16 00:46:16,1,2.0,1
2.0.0,2014-06-16 00:46:16,2,2.0,1
2.0.0,2014-06-16 00:46:16,3,43.0,3
2.0.1,2014-06-22 10:26:11,1,2.0,1
2.0.1,2014-06-22 10:26:11,2,2.0,1
2.0.1,2014-06-22 10:26:11,3,43.0,3
2.1.0,2014-09-13 15:33:04,1,4.0,1
2.1.0,2014-09-13 15:33:04,2,2.0,1
2.1.0,2014-09-13 15:33:04,3,45.0,3
2.1.1,2014-10-02 21:24:26,1,4.0,1
2.1.1,2014-10-02 21:24:26,2,2.0,1
2.1.1,2014-10-02 21:24:26,3,45.0,3
2.1.2,2014-10-09 22:21:12,1,4.0,1
2.1.2,2014-10-09 22:21:12,2,2.0,1
2.1.2,2014-10-09 22:21:12,3,45.0,3
2.10,2017-05-26 16:14:29,1,4.0,1
2.10,2017-05-26 16:14:29,2,36.0,1
2.10,2017-05-26 16:14:29,3,59.0,4
2.11,2017-08-27 13:58:18,1,4.0,1
2.11,2017-08-27 13:58:18,2,36.0,1
2.11,2017-08-27 13:58:18,3,61.0,4
2.11.1,2017-09-09 10:29:37,1,4.0,1
2.11.1,2017-09-09 10:29:37,2,36.0,1
2.11.1,2017-09-09 10:29:37,3,61.0,4
2.2.0,2014-12-13 22:43:18,1,4.0,1
2.2.0,2014-12-13 22:43:18,2,2.0,1
2.2.0,2014-12-13 22:43:18,3,48.0,3
2.2.1,2014-12-22 18:03:54,1,4.0,1
2.2.1,2014-12-22 18:03:54,2,2.0,1
2.2.1,2014-12-22 18:03:54,3,48.0,3
2.3.0,2015-01-31 13:50:06,1,4.0,1
2.3.0,2015-01-31 13:50:06,2,2.0,1
2.3.0,2015-01-31 13:50:06,3,56.0,4
