release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
1.0.0,2011-12-04 09:52:09,15749,1,15749,15749.0,2,1,1.0,1.0,15749.0,2,1.0,1.0,1,1.0,,,,,,,,,,,,,,,
1.1.2,2011-12-05 13:24:49,18404,2,17670,9202.0,2,2,1.0,1.0,9202.0,2,1.0,1.0,1,1.0,2655.0,16.86,1.0,100.0,1.0,100.0,0.0,-6547.0,-41.57,0.0,0.0,0.0,0.0,0.0,0.0
1.1.3,2011-12-06 11:47:38,18407,2,17674,9203.5,2,2,1.0,1.0,9204.0,2,1.0,1.0,1,1.0,3.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.2.0,2011-12-10 22:55:14,20779,2,20048,10389.5,2,2,1.0,1.0,10390.0,2,1.0,1.0,1,1.0,2372.0,12.89,0.0,0.0,0.0,0.0,0.0,1186.0,12.89,0.0,0.0,0.0,0.0,0.0,0.0
1.3.0,2011-12-13 21:57:51,24101,2,23370,12050.5,2,2,1.0,1.0,12050.0,2,1.0,1.0,1,1.0,3322.0,15.99,0.0,0.0,0.0,0.0,0.0,1660.0,15.98,0.0,0.0,0.0,0.0,0.0,0.0
1.3.1,2011-12-16 21:55:34,25178,2,24445,12589.0,2,2,1.0,1.0,12589.0,2,1.0,1.0,1,1.0,1077.0,4.47,0.0,0.0,0.0,0.0,0.0,539.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0
1.3.2,2011-12-17 16:43:10,25885,2,25152,12942.5,2,2,1.0,1.0,12942.0,2,1.0,1.0,1,1.0,707.0,2.81,0.0,0.0,0.0,0.0,0.0,353.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
1.3.3,2011-12-23 14:03:06,27189,3,26369,9063.0,2,2,2.0,1.5,13594.0,2,2.0,1.5,1,1.0,1304.0,5.04,1.0,50.0,0.0,0.0,50.0,652.0,5.04,0.0,0.0,1.0,100.0,50.0,50.0
1.3.4,2011-12-25 21:35:46,27809,3,26989,9269.67,2,2,2.0,1.5,13904.0,2,2.0,1.5,1,1.0,620.0,2.28,0.0,0.0,0.0,0.0,0.0,310.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0
1.3.5,2012-01-04 14:25:51,30733,3,29913,10244.33,2,2,2.0,1.5,15366.0,2,2.0,1.5,1,1.0,2924.0,10.51,0.0,0.0,0.0,0.0,0.0,1462.0,10.51,0.0,0.0,0.0,0.0,0.0,0.0
1.3.6,2012-01-18 17:38:06,31264,3,30444,10421.33,2,2,2.0,1.5,15632.0,2,2.0,1.5,1,1.0,531.0,1.73,0.0,0.0,0.0,0.0,0.0,266.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0
1.3.7,2012-01-31 14:37:56,38815,3,37995,12938.33,2,2,2.0,1.5,19408.0,2,2.0,1.5,1,1.0,7551.0,24.15,0.0,0.0,0.0,0.0,0.0,3776.0,24.16,0.0,0.0,0.0,0.0,0.0,0.0
1.4.0,2012-07-06 14:03:32,77599,3,76267,25866.33,2,2,2.0,1.5,38800.0,2,2.0,1.5,1,1.0,38784.0,99.92,0.0,0.0,0.0,0.0,0.0,19392.0,99.92,0.0,0.0,0.0,0.0,0.0,0.0
1.4.1,2012-09-06 10:33:27,89578,4,86481,22394.5,2,2,3.0,2.0,44789.0,2,3.0,2.0,1,1.0,11979.0,15.44,1.0,33.33,0.0,0.0,33.33,5989.0,15.44,0.0,0.0,1.0,50.0,33.33,33.33
1.4.1.1,2012-09-06 13:39:54,89662,4,86561,22415.5,2,2,3.0,2.0,44831.0,2,3.0,2.0,1,1.0,84.0,0.09,0.0,0.0,0.0,0.0,0.0,42.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
1.4.2,2012-09-22 15:24:32,91421,4,88324,22855.25,2,2,3.0,2.0,45710.0,2,3.0,2.0,1,1.0,1759.0,1.96,0.0,0.0,0.0,0.0,0.0,879.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0
1.4.2.1,2012-10-02 09:17:47,91665,4,88564,22916.25,2,2,3.0,2.0,45832.0,2,3.0,2.0,1,1.0,244.0,0.27,0.0,0.0,0.0,0.0,0.0,122.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
1.5.0,2012-11-07 21:53:05,110425,4,107333,27606.25,2,2,3.0,2.0,55212.0,2,3.0,2.0,1,1.0,18760.0,20.47,0.0,0.0,0.0,0.0,0.0,9380.0,20.47,0.0,0.0,0.0,0.0,0.0,0.0
1.5.1,2012-11-09 09:39:52,110419,4,107323,27604.75,2,2,3.0,2.0,55210.0,2,3.0,2.0,1,1.0,-6.0,-0.01,0.0,0.0,0.0,0.0,0.0,-2.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5.2,2012-12-28 18:50:56,122344,4,116961,30586.0,2,2,3.0,2.0,61172.0,2,3.0,2.0,1,1.0,11925.0,10.8,0.0,0.0,0.0,0.0,0.0,5962.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0
1.6.0,2013-01-26 11:45:07,145272,4,139855,36318.0,2,2,3.0,2.0,72636.0,2,3.0,2.0,1,1.0,22928.0,18.74,0.0,0.0,0.0,0.0,0.0,11464.0,18.74,0.0,0.0,0.0,0.0,0.0,0.0
1.6.1,2013-03-23 21:14:24,143411,3,141636,47803.67,2,2,2.0,1.5,71706.0,2,2.0,1.5,1,1.0,-1861.0,-1.28,-1.0,-25.0,0.0,0.0,-25.0,-930.0,-1.28,0.0,0.0,-1.0,-33.33,-25.0,-25.0
1.7.0,2013-08-10 15:32:09,171110,3,168526,57036.67,2,2,2.0,1.5,85555.0,2,2.0,1.5,1,1.0,27699.0,19.31,0.0,0.0,0.0,0.0,0.0,13849.0,19.31,0.0,0.0,0.0,0.0,0.0,0.0
1.7.1,2013-08-20 13:49:41,171986,3,169405,57328.67,2,2,2.0,1.5,85993.0,2,2.0,1.5,1,1.0,876.0,0.51,0.0,0.0,0.0,0.0,0.0,438.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0
1.7.2,2013-11-01 10:12:25,177268,3,174466,59089.33,2,2,2.0,1.5,88634.0,2,2.0,1.5,1,1.0,5282.0,3.07,0.0,0.0,0.0,0.0,0.0,2641.0,3.07,0.0,0.0,0.0,0.0,0.0,0.0
1.7.3,2013-12-15 10:23:06,179564,3,177015,59854.67,2,2,2.0,1.5,89782.0,2,2.0,1.5,1,1.0,2296.0,1.3,0.0,0.0,0.0,0.0,0.0,1148.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.7.4,2014-01-18 11:02:36,189368,3,186819,63122.67,2,2,2.0,1.5,94684.0,2,2.0,1.5,1,1.0,9804.0,5.46,0.0,0.0,0.0,0.0,0.0,4902.0,5.46,0.0,0.0,0.0,0.0,0.0,0.0
1.7.5,2014-03-11 19:04:13,188176,3,185611,62725.33,2,2,2.0,1.5,94088.0,2,2.0,1.5,1,1.0,-1192.0,-0.63,0.0,0.0,0.0,0.0,0.0,-596.0,-0.63,0.0,0.0,0.0,0.0,0.0,0.0
1.7.6,2014-03-25 20:03:54,189825,3,187276,63275.0,2,2,2.0,1.5,94912.0,2,2.0,1.5,1,1.0,1649.0,0.88,0.0,0.0,0.0,0.0,0.0,824.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.7.7,2014-05-14 11:30:47,189979,3,187412,63326.33,2,2,2.0,1.5,94990.0,2,2.0,1.5,1,1.0,154.0,0.08,0.0,0.0,0.0,0.0,0.0,78.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
2.0.0,2014-06-16 00:46:16,251142,47,19602,5343.45,5,5,23.0,9.4,50228.0,3,43.0,15.67,3,1.67,61163.0,32.19,44.0,1466.67,3.0,150.0,526.67,-44762.0,-47.12,1.0,50.0,41.0,2050.0,944.67,944.67
2.0.1,2014-06-22 10:26:11,252386,47,19602,5369.91,5,5,23.0,9.4,50477.0,3,43.0,15.67,3,1.67,1244.0,0.5,0.0,0.0,0.0,0.0,0.0,249.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2.1.0,2014-09-13 15:33:04,323414,51,29288,6341.45,5,5,23.0,10.2,64683.0,3,45.0,17.0,3,1.67,71028.0,28.14,4.0,8.51,0.0,0.0,8.51,14206.0,28.14,0.0,0.0,2.0,4.65,8.49,8.49
2.1.1,2014-10-02 21:24:26,323970,51,29936,6352.35,5,5,23.0,10.2,64794.0,3,45.0,17.0,3,1.67,556.0,0.17,0.0,0.0,0.0,0.0,0.0,111.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
2.1.2,2014-10-09 22:21:12,324354,51,29936,6359.88,5,5,23.0,10.2,64871.0,3,45.0,17.0,3,1.67,384.0,0.12,0.0,0.0,0.0,0.0,0.0,77.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
2.2.0,2014-12-13 22:43:18,383944,54,41627,7110.07,5,5,23.0,10.8,76789.0,3,48.0,18.0,3,1.67,59590.0,18.37,3.0,5.88,0.0,0.0,5.88,11918.0,18.37,0.0,0.0,3.0,6.67,5.88,5.88
2.2.1,2014-12-22 18:03:54,384596,54,41746,7122.15,5,5,23.0,10.8,76919.0,3,48.0,18.0,3,1.67,652.0,0.17,0.0,0.0,0.0,0.0,0.0,130.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
2.3.0,2015-01-31 13:50:06,440438,62,42576,7103.84,6,6,25.0,10.33,73406.0,3,56.0,20.67,4,2.0,55842.0,14.52,8.0,14.81,1.0,20.0,-4.35,-3513.0,-4.57,0.0,0.0,8.0,16.67,14.83,14.83
2.4.0,2015-05-20 10:14:12,472149,66,44532,7153.77,6,6,27.0,11.0,78692.0,3,60.0,22.0,4,2.0,31711.0,7.2,4.0,6.45,0.0,0.0,6.49,5286.0,7.2,0.0,0.0,4.0,7.14,6.43,6.43
2.4.1,2015-05-20 17:23:09,472163,66,44532,7153.98,6,6,27.0,11.0,78694.0,3,60.0,22.0,4,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4.2,2015-05-28 22:09:31,471809,66,44601,7148.62,6,6,27.0,11.0,78635.0,3,60.0,22.0,4,2.0,-354.0,-0.07,0.0,0.0,0.0,0.0,0.0,-59.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0
2.5.0,2015-10-05 21:19:44,502061,68,47237,7383.25,6,6,27.0,11.33,83677.0,3,62.0,22.67,4,2.0,30252.0,6.41,2.0,3.03,0.0,0.0,3.0,5042.0,6.41,0.0,0.0,2.0,3.33,3.05,3.05
2.5.1,2015-10-10 11:25:51,502227,68,47237,7385.69,6,6,27.0,11.33,83704.0,3,62.0,22.67,4,2.0,166.0,0.03,0.0,0.0,0.0,0.0,0.0,27.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2.6,2016-03-16 17:42:09,531143,71,49612,7480.89,5,5,28.0,14.2,106229.0,3,42.0,23.67,3,1.67,28916.0,5.76,3.0,4.41,-1.0,-16.67,25.33,22525.0,26.91,0.0,0.0,-20.0,-32.26,4.41,4.41
2.6.1,2016-03-26 17:46:57,539134,77,41579,7001.74,5,5,29.0,15.4,107827.0,3,44.0,25.67,3,1.67,7991.0,1.5,6.0,8.45,0.0,0.0,8.45,1598.0,1.5,0.0,0.0,2.0,4.76,8.45,8.45
2.6.2,2016-05-12 10:58:47,540160,77,41579,7015.06,5,5,29.0,15.4,108032.0,3,44.0,25.67,3,1.67,1026.0,0.19,0.0,0.0,0.0,0.0,0.0,205.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0
2.7_RC1,2016-09-02 09:03:56,621934,91,43336,6834.44,6,6,34.0,15.17,103656.0,3,53.0,30.33,4,2.0,81774.0,15.14,14.0,18.18,1.0,20.0,-1.49,-4376.0,-4.05,0.0,0.0,9.0,20.45,18.15,18.15
2.7,2016-09-10 11:13:57,622230,91,43336,6837.69,6,6,34.0,15.17,103705.0,3,53.0,30.33,4,2.0,296.0,0.05,0.0,0.0,0.0,0.0,0.0,49.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2.7.1,2016-09-11 11:08:21,622382,91,43336,6839.36,6,6,34.0,15.17,103730.0,3,53.0,30.33,4,2.0,152.0,0.02,0.0,0.0,0.0,0.0,0.0,25.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2.7.1_1,2016-09-18 21:06:28,622382,91,43336,6839.36,6,6,34.0,15.17,103730.0,3,53.0,30.33,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,2017-01-21 14:46:28,651509,94,39749,6930.95,6,6,34.0,15.67,108585.0,3,56.0,31.33,4,2.0,29127.0,4.68,3.0,3.3,0.0,0.0,3.3,4855.0,4.68,0.0,0.0,3.0,5.66,3.3,3.3
2.8.1,2017-02-06 18:12:58,653476,94,39607,6951.87,6,6,34.0,15.67,108913.0,3,56.0,31.33,4,2.0,1967.0,0.3,0.0,0.0,0.0,0.0,0.0,328.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
2.8.1_1,2017-02-06 19:30:01,653476,94,39607,6951.87,6,6,34.0,15.67,108913.0,3,56.0,31.33,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8.2,2017-02-07 13:19:03,653544,94,39607,6952.6,6,6,34.0,15.67,108924.0,3,56.0,31.33,4,2.0,68.0,0.01,0.0,0.0,0.0,0.0,0.0,11.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2.8.3,2017-03-09 20:21:21,662561,95,40097,6974.33,6,6,34.0,15.83,110427.0,3,57.0,31.67,4,2.0,9017.0,1.38,1.0,1.06,0.0,0.0,1.02,1503.0,1.38,0.0,0.0,1.0,1.79,1.09,1.09
