release,mtime,level,num_files,num_folders
1.0.0,2014-12-15 19:49:18,1,2.0,1
1.0.0,2014-12-15 19:49:18,2,134.0,8
1.0.0,2014-12-15 19:49:18,3,1337.0,69
1.0.0,2014-12-15 19:49:18,4,435.0,35
1.0.0,2014-12-15 19:49:18,5,782.0,81
1.0.0,2014-12-15 19:49:18,6,390.0,33
1.0.0,2014-12-15 19:49:18,7,62.0,10
1.0.0,2014-12-15 19:49:18,8,44.0,7
1.0.0,2014-12-15 19:49:18,9,14.0,7
1.0.0,2014-12-15 19:49:18,10,,4
1.0.0,2014-12-15 19:49:18,11,18.0,4
1.0.0,2014-12-15 19:49:18,12,20.0,3
1.0.0,2014-12-15 19:49:18,13,22.0,2
1.1.0,2015-05-21 20:03:21,1,2.0,1
1.1.0,2015-05-21 20:03:21,2,135.0,8
1.1.0,2015-05-21 20:03:21,3,1374.0,69
1.1.0,2015-05-21 20:03:21,4,441.0,35
1.1.0,2015-05-21 20:03:21,5,782.0,81
1.1.0,2015-05-21 20:03:21,6,390.0,33
1.1.0,2015-05-21 20:03:21,7,62.0,10
1.1.0,2015-05-21 20:03:21,8,44.0,7
1.1.0,2015-05-21 20:03:21,9,14.0,7
1.1.0,2015-05-21 20:03:21,10,,4
1.1.0,2015-05-21 20:03:21,11,18.0,4
1.1.0,2015-05-21 20:03:21,12,20.0,3
1.1.0,2015-05-21 20:03:21,13,22.0,2
2.0.0,2016-02-23 01:44:58,1,2.0,1
2.0.0,2016-02-23 01:44:58,2,140.0,8
2.0.0,2016-02-23 01:44:58,3,1463.0,72
2.0.0,2016-02-23 01:44:58,4,718.0,41
2.0.0,2016-02-23 01:44:58,5,834.0,77
2.0.0,2016-02-23 01:44:58,6,383.0,26
2.0.0,2016-02-23 01:44:58,7,24.0,5
2.0.0,2016-02-23 01:44:58,8,26.0,4
2.0.0,2016-02-23 01:44:58,9,33.0,5
2.0.0,2016-02-23 01:44:58,10,2.0,2
2.0.0,2016-02-23 01:44:58,11,9.0,1
2.0.0,2016-02-23 01:44:58,12,11.0,1
2.0.1,2016-03-06 19:05:45,1,2.0,1
2.0.1,2016-03-06 19:05:45,2,140.0,8
2.0.1,2016-03-06 19:05:45,3,1463.0,72
2.0.1,2016-03-06 19:05:45,4,718.0,41
2.0.1,2016-03-06 19:05:45,5,834.0,77
2.0.1,2016-03-06 19:05:45,6,383.0,26
2.0.1,2016-03-06 19:05:45,7,24.0,5
2.0.1,2016-03-06 19:05:45,8,26.0,4
2.0.1,2016-03-06 19:05:45,9,33.0,5
2.0.1,2016-03-06 19:05:45,10,2.0,2
2.0.1,2016-03-06 19:05:45,11,9.0,1
2.0.1,2016-03-06 19:05:45,12,11.0,1
2.0.2,2016-04-07 08:34:27,1,2.0,1
2.0.2,2016-04-07 08:34:27,2,140.0,8
2.0.2,2016-04-07 08:34:27,3,1463.0,72
2.0.2,2016-04-07 08:34:27,4,718.0,41
2.0.2,2016-04-07 08:34:27,5,834.0,77
2.0.2,2016-04-07 08:34:27,6,383.0,26
2.0.2,2016-04-07 08:34:27,7,24.0,5
2.0.2,2016-04-07 08:34:27,8,26.0,4
2.0.2,2016-04-07 08:34:27,9,33.0,5
2.0.2,2016-04-07 08:34:27,10,2.0,2
2.0.2,2016-04-07 08:34:27,11,9.0,1
2.0.2,2016-04-07 08:34:27,12,11.0,1
2.0.3,2016-05-13 08:06:31,1,2.0,1
2.0.3,2016-05-13 08:06:31,2,140.0,8
2.0.3,2016-05-13 08:06:31,3,1438.0,70
2.0.3,2016-05-13 08:06:31,4,721.0,40
2.0.3,2016-05-13 08:06:31,5,787.0,73
2.0.3,2016-05-13 08:06:31,6,383.0,26
2.0.3,2016-05-13 08:06:31,7,24.0,5
2.0.3,2016-05-13 08:06:31,8,26.0,4
2.0.3,2016-05-13 08:06:31,9,33.0,5
2.0.3,2016-05-13 08:06:31,10,2.0,2
2.0.3,2016-05-13 08:06:31,11,9.0,1
2.0.3,2016-05-13 08:06:31,12,11.0,1
2.0.4,2016-07-10 11:45:08,1,2.0,1
2.0.4,2016-07-10 11:45:08,2,140.0,8
2.0.4,2016-07-10 11:45:08,3,1434.0,69
2.0.4,2016-07-10 11:45:08,4,724.0,41
2.0.4,2016-07-10 11:45:08,5,787.0,73
2.0.4,2016-07-10 11:45:08,6,383.0,26
2.0.4,2016-07-10 11:45:08,7,24.0,5
2.0.4,2016-07-10 11:45:08,8,26.0,4
2.0.4,2016-07-10 11:45:08,9,33.0,5
2.0.4,2016-07-10 11:45:08,10,2.0,2
2.0.4,2016-07-10 11:45:08,11,9.0,1
2.0.4,2016-07-10 11:45:08,12,11.0,1
2.1.0,2016-08-09 09:52:15,1,2.0,1
2.1.0,2016-08-09 09:52:15,2,134.0,8
2.1.0,2016-08-09 09:52:15,3,1423.0,71
2.1.0,2016-08-09 09:52:15,4,656.0,35
2.1.0,2016-08-09 09:52:15,5,1201.0,94
2.1.0,2016-08-09 09:52:15,6,37.0,9
2.1.0,2016-08-09 09:52:15,7,18.0,4
2.1.0,2016-08-09 09:52:15,8,8.0,3
2.1.0,2016-08-09 09:52:15,9,33.0,5
2.1.0,2016-08-09 09:52:15,10,2.0,2
2.1.0,2016-08-09 09:52:15,11,9.0,1
2.1.0,2016-08-09 09:52:15,12,10.0,1
2.1.1,2016-11-15 09:14:21,1,2.0,1
2.1.1,2016-11-15 09:14:21,2,133.0,9
2.1.1,2016-11-15 09:14:21,3,1443.0,80
2.1.1,2016-11-15 09:14:21,4,679.0,41
2.1.1,2016-11-15 09:14:21,5,1206.0,94
2.1.1,2016-11-15 09:14:21,6,37.0,9
2.1.1,2016-11-15 09:14:21,7,18.0,4
2.1.1,2016-11-15 09:14:21,8,8.0,3
2.1.1,2016-11-15 09:14:21,9,33.0,5
2.1.1,2016-11-15 09:14:21,10,2.0,2
2.1.1,2016-11-15 09:14:21,11,9.0,1
2.1.1,2016-11-15 09:14:21,12,10.0,1
2.1.2,2017-01-21 14:43:37,1,2.0,1
2.1.2,2017-01-21 14:43:37,2,133.0,9
2.1.2,2017-01-21 14:43:37,3,1449.0,80
2.1.2,2017-01-21 14:43:37,4,679.0,41
2.1.2,2017-01-21 14:43:37,5,1206.0,94
2.1.2,2017-01-21 14:43:37,6,37.0,9
2.1.2,2017-01-21 14:43:37,7,18.0,4
2.1.2,2017-01-21 14:43:37,8,8.0,3
2.1.2,2017-01-21 14:43:37,9,33.0,5
2.1.2,2017-01-21 14:43:37,10,2.0,2
2.1.2,2017-01-21 14:43:37,11,9.0,1
2.1.2,2017-01-21 14:43:37,12,10.0,1
2.1.3,2017-04-11 19:45:39,1,2.0,1
2.1.3,2017-04-11 19:45:39,2,255.0,10
2.1.3,2017-04-11 19:45:39,3,1440.0,82
2.1.3,2017-04-11 19:45:39,4,581.0,38
2.1.3,2017-04-11 19:45:39,5,1206.0,94
2.1.3,2017-04-11 19:45:39,6,37.0,9
2.1.3,2017-04-11 19:45:39,7,18.0,4
2.1.3,2017-04-11 19:45:39,8,8.0,3
2.1.3,2017-04-11 19:45:39,9,33.0,5
2.1.3,2017-04-11 19:45:39,10,2.0,2
2.1.3,2017-04-11 19:45:39,11,9.0,1
2.1.3,2017-04-11 19:45:39,12,10.0,1
2.1.4,2017-08-27 18:25:12,1,2.0,1
2.1.4,2017-08-27 18:25:12,2,255.0,10
2.1.4,2017-08-27 18:25:12,3,1450.0,85
2.1.4,2017-08-27 18:25:12,4,581.0,38
2.1.4,2017-08-27 18:25:12,5,1215.0,93
2.1.4,2017-08-27 18:25:12,6,39.0,10
2.1.4,2017-08-27 18:25:12,7,19.0,4
2.1.4,2017-08-27 18:25:12,8,8.0,3
2.1.4,2017-08-27 18:25:12,9,33.0,5
2.1.4,2017-08-27 18:25:12,10,2.0,2
2.1.4,2017-08-27 18:25:12,11,9.0,1
2.1.4,2017-08-27 18:25:12,12,10.0,1
2.1.5,2018-07-28 17:17:52,1,3.0,1
2.1.5,2018-07-28 17:17:52,2,255.0,10
2.1.5,2018-07-28 17:17:52,3,1457.0,86
2.1.5,2018-07-28 17:17:52,4,426.0,32
2.1.5,2018-07-28 17:17:52,5,1375.0,99
2.1.5,2018-07-28 17:17:52,6,37.0,9
2.1.5,2018-07-28 17:17:52,7,19.0,4
2.1.5,2018-07-28 17:17:52,8,8.0,3
2.1.5,2018-07-28 17:17:52,9,33.0,5
2.1.5,2018-07-28 17:17:52,10,2.0,2
2.1.5,2018-07-28 17:17:52,11,9.0,1
2.1.5,2018-07-28 17:17:52,12,10.0,1
2.1.6,2019-07-08 14:01:42,1,3.0,1
2.1.6,2019-07-08 14:01:42,2,255.0,10
2.1.6,2019-07-08 14:01:42,3,1457.0,86
2.1.6,2019-07-08 14:01:42,4,429.0,32
2.1.6,2019-07-08 14:01:42,5,1374.0,99
2.1.6,2019-07-08 14:01:42,6,37.0,9
2.1.6,2019-07-08 14:01:42,7,19.0,4
2.1.6,2019-07-08 14:01:42,8,8.0,3
2.1.6,2019-07-08 14:01:42,9,33.0,5
2.1.6,2019-07-08 14:01:42,10,2.0,2
2.1.6,2019-07-08 14:01:42,11,9.0,1
2.1.6,2019-07-08 14:01:42,12,10.0,1
3.0.0,2018-01-29 19:15:56,1,3.0,1
3.0.0,2018-01-29 19:15:56,2,253.0,10
3.0.0,2018-01-29 19:15:56,3,1480.0,102
3.0.0,2018-01-29 19:15:56,4,840.0,80
3.0.0,2018-01-29 19:15:56,5,2078.0,149
3.0.0,2018-01-29 19:15:56,6,90.0,22
3.0.0,2018-01-29 19:15:56,7,36.0,6
3.0.0,2018-01-29 19:15:56,8,8.0,3
3.0.0,2018-01-29 19:15:56,9,33.0,5
3.0.0,2018-01-29 19:15:56,10,2.0,2
3.0.0,2018-01-29 19:15:56,11,9.0,1
3.0.0,2018-01-29 19:15:56,12,10.0,1
3.0.1,2018-02-26 20:35:13,1,3.0,1
3.0.1,2018-02-26 20:35:13,2,253.0,10
3.0.1,2018-02-26 20:35:13,3,1482.0,103
3.0.1,2018-02-26 20:35:13,4,840.0,80
3.0.1,2018-02-26 20:35:13,5,2078.0,149
3.0.1,2018-02-26 20:35:13,6,90.0,22
3.0.1,2018-02-26 20:35:13,7,36.0,6
3.0.1,2018-02-26 20:35:13,8,8.0,3
3.0.1,2018-02-26 20:35:13,9,33.0,5
3.0.1,2018-02-26 20:35:13,10,2.0,2
3.0.1,2018-02-26 20:35:13,11,9.0,1
3.0.1,2018-02-26 20:35:13,12,10.0,1
3.0.2,2018-03-03 15:22:04,1,3.0,1
3.0.2,2018-03-03 15:22:04,2,253.0,10
3.0.2,2018-03-03 15:22:04,3,1482.0,103
3.0.2,2018-03-03 15:22:04,4,840.0,80
3.0.2,2018-03-03 15:22:04,5,2078.0,149
3.0.2,2018-03-03 15:22:04,6,90.0,22
3.0.2,2018-03-03 15:22:04,7,36.0,6
3.0.2,2018-03-03 15:22:04,8,8.0,3
3.0.2,2018-03-03 15:22:04,9,33.0,5
3.0.2,2018-03-03 15:22:04,10,2.0,2
3.0.2,2018-03-03 15:22:04,11,9.0,1
3.0.2,2018-03-03 15:22:04,12,10.0,1
3.0.3,2018-06-14 17:22:48,1,3.0,1
3.0.3,2018-06-14 17:22:48,2,253.0,10
3.0.3,2018-06-14 17:22:48,3,1482.0,103
3.0.3,2018-06-14 17:22:48,4,842.0,80
3.0.3,2018-06-14 17:22:48,5,2078.0,149
3.0.3,2018-06-14 17:22:48,6,90.0,22
3.0.3,2018-06-14 17:22:48,7,36.0,6
3.0.3,2018-06-14 17:22:48,8,8.0,3
3.0.3,2018-06-14 17:22:48,9,33.0,5
3.0.3,2018-06-14 17:22:48,10,2.0,2
3.0.3,2018-06-14 17:22:48,11,9.0,1
3.0.3,2018-06-14 17:22:48,12,10.0,1
3.0.4,2018-06-23 16:45:07,1,3.0,1
3.0.4,2018-06-23 16:45:07,2,253.0,10
3.0.4,2018-06-23 16:45:07,3,1482.0,103
3.0.4,2018-06-23 16:45:07,4,842.0,80
3.0.4,2018-06-23 16:45:07,5,2078.0,149
3.0.4,2018-06-23 16:45:07,6,90.0,22
3.0.4,2018-06-23 16:45:07,7,36.0,6
3.0.4,2018-06-23 16:45:07,8,8.0,3
3.0.4,2018-06-23 16:45:07,9,33.0,5
3.0.4,2018-06-23 16:45:07,10,2.0,2
3.0.4,2018-06-23 16:45:07,11,9.0,1
3.0.4,2018-06-23 16:45:07,12,10.0,1
3.0.5,2018-07-08 16:03:43,1,3.0,1
3.0.5,2018-07-08 16:03:43,2,253.0,10
3.0.5,2018-07-08 16:03:43,3,1482.0,103
3.0.5,2018-07-08 16:03:43,4,843.0,80
