release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
1.0.0,2014-12-15 19:49:18,42953877,3260,792209,13176.04,264,223,108.0,14.62,192618.0,13,1337.0,271.67,81,20.31,,,,,,,,,,,,,,,
1.1.0,2015-05-21 20:03:21,43463437,3304,792209,13154.79,264,224,108.0,14.75,194033.0,13,1374.0,275.33,81,20.31,509560.0,1.19,44.0,1.35,1.0,0.45,0.89,1415.0,0.73,0.0,0.0,37.0,2.77,1.35,1.35
2.0.0,2016-02-23 01:44:58,47686949,3645,792209,13082.84,243,225,115.0,16.2,211942.0,12,1463.0,303.75,77,20.25,4223512.0,9.72,341.0,10.32,1.0,0.45,9.83,17909.0,9.23,-1.0,-7.69,89.0,6.48,10.32,10.32
2.0.1,2016-03-06 19:05:45,47700013,3645,792209,13086.42,243,225,115.0,16.2,212000.0,12,1463.0,303.75,77,20.25,13064.0,0.03,0.0,0.0,0.0,0.0,0.0,58.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2.0.2,2016-04-07 08:34:27,47694602,3645,792209,13084.94,243,225,115.0,16.2,211976.0,12,1463.0,303.75,77,20.25,-5411.0,-0.01,0.0,0.0,0.0,0.0,0.0,-24.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
2.0.3,2016-05-13 08:06:31,48642263,3576,792275,13602.42,236,219,115.0,16.33,222111.0,12,1438.0,298.0,73,19.67,947661.0,1.99,-69.0,-1.89,-6.0,-2.67,0.8,10135.0,4.78,0.0,0.0,-25.0,-1.71,-1.89,-1.89
2.0.4,2016-07-10 11:45:08,49138752,3575,1018809,13745.11,236,219,115.0,16.32,224378.0,12,1434.0,297.92,73,19.67,496489.0,1.02,-1.0,-0.03,0.0,0.0,-0.06,2267.0,1.02,0.0,0.0,-4.0,-0.28,-0.03,-0.03
2.1.0,2016-08-09 09:52:15,50165835,3533,1018809,14199.22,234,218,121.0,16.21,230119.0,12,1423.0,294.42,94,19.5,1027083.0,2.09,-42.0,-1.17,-1.0,-0.46,-0.67,5741.0,2.56,0.0,0.0,-11.0,-0.77,-1.17,-1.17
2.1.1,2016-11-15 09:14:21,50116404,3580,1018809,13999.0,250,232,121.0,15.43,216019.0,12,1443.0,298.33,94,20.83,-49431.0,-0.1,47.0,1.33,14.0,6.42,-4.81,-14100.0,-6.13,0.0,0.0,20.0,1.41,1.33,1.33
2.1.2,2017-01-21 14:43:37,50269449,3586,1018809,14018.25,250,232,121.0,15.46,216679.0,12,1449.0,298.83,94,20.83,153045.0,0.31,6.0,0.17,0.0,0.0,0.19,660.0,0.31,0.0,0.0,6.0,0.42,0.17,0.17
2.1.3,2017-04-11 19:45:39,51129022,3601,1018809,14198.56,250,232,123.0,15.52,220384.0,12,1440.0,300.08,94,20.83,859573.0,1.71,15.0,0.42,0.0,0.0,0.39,3705.0,1.71,0.0,0.0,-9.0,-0.62,0.42,0.42
2.1.4,2017-08-27 18:25:12,51716733,3623,1018809,14274.56,253,234,125.0,15.48,221012.0,12,1450.0,301.92,93,21.08,587711.0,1.15,22.0,0.61,2.0,0.86,-0.26,628.0,0.28,0.0,0.0,10.0,0.69,0.61,0.61
3.0.0,2018-01-29 19:15:56,67209935,4842,629613,13880.61,382,351,119.0,13.79,191481.0,12,2078.0,403.5,149,31.83,15493202.0,29.96,1219.0,33.65,117.0,50.0,-10.92,-29531.0,-13.36,0.0,0.0,628.0,43.31,33.64,33.64
3.0.1,2018-02-26 20:35:13,67308720,4844,629613,13895.28,383,352,119.0,13.76,191218.0,12,2078.0,403.67,149,31.92,98785.0,0.15,2.0,0.04,1.0,0.28,-0.22,-263.0,-0.14,0.0,0.0,0.0,0.0,0.04,0.04
3.0.2,2018-03-03 15:22:04,67326137,4844,629613,13898.87,383,352,119.0,13.76,191267.0,12,2078.0,403.67,149,31.92,17417.0,0.03,0.0,0.0,0.0,0.0,0.0,49.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3.0.3,2018-06-14 17:22:48,67415412,4846,629613,13911.56,383,352,119.0,13.77,191521.0,12,2078.0,403.83,149,31.92,89275.0,0.13,2.0,0.04,0.0,0.0,0.07,254.0,0.13,0.0,0.0,0.0,0.0,0.04,0.04
3.0.4,2018-06-23 16:45:07,67416629,4846,629613,13911.81,383,352,119.0,13.77,191525.0,12,2078.0,403.83,149,31.92,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0.5,2018-07-08 16:03:43,67424828,4847,629613,13910.63,383,352,119.0,13.77,191548.0,12,2078.0,403.92,149,31.92,8199.0,0.01,1.0,0.02,0.0,0.0,0.0,23.0,0.01,0.0,0.0,0.0,0.0,0.02,0.02
2.1.5,2018-07-28 17:17:52,52022340,3634,1018809,14315.45,253,234,125.0,15.53,222318.0,12,1457.0,302.83,99,21.08,-15402488.0,-22.84,-1213.0,-25.03,-118.0,-33.52,12.78,30770.0,16.06,0.0,0.0,-621.0,-29.88,-25.03,-25.03
3.0.6,2018-07-31 20:03:50,67471487,4853,629613,13903.05,383,352,119.0,13.79,191680.0,12,2078.0,404.42,149,31.92,15449147.0,29.7,1219.0,33.54,118.0,50.43,-11.2,-30638.0,-13.78,0.0,0.0,621.0,42.62,33.55,33.55
3.1.0,2019-03-13 17:16:00,66262406,4581,629535,14464.62,373,337,146.0,13.59,196624.0,12,1661.0,381.75,116,31.08,-1209081.0,-1.79,-272.0,-5.6,-15.0,-4.26,-1.45,4944.0,2.58,0.0,0.0,-417.0,-20.07,-5.61,-5.61
3.1.1,2019-04-26 16:43:03,65601240,4470,629535,14675.89,360,324,146.0,13.8,202473.0,12,1661.0,372.5,114,30.0,-661166.0,-1.0,-111.0,-2.42,-13.0,-3.86,1.55,5849.0,2.97,0.0,0.0,0.0,0.0,-2.42,-2.42
2.1.6,2019-07-08 14:01:42,52108787,3636,1018809,14331.35,253,234,125.0,15.54,222687.0,12,1457.0,303.0,99,21.08,-13492453.0,-20.57,-834.0,-18.66,-90.0,-27.78,12.61,20214.0,9.98,0.0,0.0,-204.0,-12.28,-18.66,-18.66
3.1.2,2019-12-03 15:02:03,65853856,4419,629535,14902.43,354,319,146.0,13.85,206438.0,12,1629.0,368.25,114,29.5,13745069.0,26.38,783.0,21.53,85.0,36.32,-10.88,-16249.0,-7.3,0.0,0.0,172.0,11.81,21.53,21.53
3.2.0,2020-01-29 10:47:08,68045219,4673,629535,14561.36,371,328,152.0,14.25,207455.0,13,1687.0,389.42,122,28.54,2191363.0,3.33,254.0,5.75,9.0,2.82,2.89,1017.0,0.49,1.0,8.33,58.0,3.56,5.75,5.75
3.2.1,2020-03-10 09:59:30,68079294,4672,629535,14571.77,370,327,152.0,14.29,208194.0,13,1687.0,389.33,122,28.46,34075.0,0.05,-1.0,-0.02,-1.0,-0.3,0.28,739.0,0.36,0.0,0.0,0.0,0.0,-0.02,-0.02
3.2.2,2020-06-26 08:17:54,68506578,4657,629535,14710.45,370,327,150.0,14.24,209500.0,13,1671.0,388.08,122,28.46,427284.0,0.63,-15.0,-0.32,0.0,0.0,-0.35,1306.0,0.63,0.0,0.0,-16.0,-0.95,-0.32,-0.32
3.2.3,2020-09-16 17:12:35,68773063,4659,629535,14761.34,369,326,150.0,14.29,210960.0,13,1672.0,388.25,121,28.38,266485.0,0.39,2.0,0.04,-1.0,-0.31,0.35,1460.0,0.7,0.0,0.0,1.0,0.06,0.04,0.04
3.3.0,2021-04-21 15:34:48,75888633,5022,629535,15111.24,397,352,150.0,14.27,215593.0,13,1777.0,386.31,129,30.54,7115570.0,10.35,363.0,7.79,26.0,7.98,-0.14,4633.0,2.2,0.0,0.0,105.0,6.28,-0.5,-0.5
3.3.1,2021-05-18 13:03:47,76056990,5031,629535,15117.67,397,352,150.0,14.29,216071.0,13,1786.0,387.0,129,30.54,168357.0,0.22,9.0,0.18,0.0,0.0,0.14,478.0,0.22,0.0,0.0,9.0,0.51,0.18,0.18
3.3.2,2021-05-24 13:39:13,76060106,5031,629535,15118.29,397,352,150.0,14.29,216080.0,13,1786.0,387.0,129,30.54,3116.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3.3,2021-08-19 09:27:30,76110974,5033,629535,15122.39,398,353,150.0,14.26,215612.0,13,1786.0,387.15,129,30.62,50868.0,0.07,2.0,0.04,1.0,0.28,-0.21,-468.0,-0.22,0.0,0.0,0.0,0.0,0.04,0.04
3.3.4,2021-10-01 08:23:23,76117404,5033,629535,15123.66,398,353,150.0,14.26,215630.0,13,1786.0,387.15,129,30.62,6430.0,0.01,0.0,0.0,0.0,0.0,0.0,18.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3.4.0,2021-11-05 01:06:19,77857691,5111,629535,15233.36,401,356,152.0,14.36,218701.0,13,1767.0,393.15,130,30.85,1740287.0,2.29,78.0,1.55,3.0,0.85,0.7,3071.0,1.42,0.0,0.0,-19.0,-1.06,1.55,1.55
3.4.1,2021-12-17 11:09:41,77899223,5115,629535,15229.56,401,356,154.0,14.37,218818.0,13,1767.0,393.46,130,30.85,41532.0,0.05,4.0,0.08,0.0,0.0,0.07,117.0,0.05,0.0,0.0,0.0,0.0,0.08,0.08
3.4.2,2021-12-21 12:57:28,77909179,5115,629535,15231.51,401,356,154.0,14.37,218846.0,13,1767.0,393.46,130,30.85,9956.0,0.01,0.0,0.0,0.0,0.0,0.0,28.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3.4.3,2022-02-25 11:23:26,77932716,5115,629535,15236.11,401,356,154.0,14.37,218912.0,13,1767.0,393.46,130,30.85,23537.0,0.03,0.0,0.0,0.0,0.0,0.0,66.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3.4.4,2022-03-22 10:47:22,77937193,5115,629535,15236.99,401,356,154.0,14.37,218925.0,13,1767.0,393.46,130,30.85,4477.0,0.01,0.0,0.0,0.0,0.0,0.0,13.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
