release,mtime,level,num_files,num_folders
1.00,2014-08-11 11:36:18,1,4.0,1
1.01,2014-08-11 16:02:33,1,4.0,1
1.02,2014-08-12 12:21:47,1,4.0,1
1.03,2014-08-13 12:43:51,1,4.0,1
1.04,2014-08-13 20:26:25,1,4.0,1
1.05,2014-08-14 16:18:34,1,4.0,1
1.06,2014-08-15 18:54:42,1,4.0,1
1.07,2014-08-18 20:13:18,1,4.0,1
1.08,2014-08-25 18:19:04,1,4.0,1
1.09,2014-08-28 15:54:22,1,4.0,1
1.10,2014-08-31 13:02:22,1,4.0,1
1.11,2014-09-10 13:26:12,1,4.0,1
1.12,2014-09-24 20:35:34,1,4.0,1
1.13,2014-09-30 09:58:03,1,4.0,1
1.14,2014-10-25 12:15:28,1,4.0,1
1.15,2014-11-07 09:43:00,1,4.0,1
1.16,2014-11-21 14:40:38,1,4.0,1
1.16b,2014-11-21 15:19:26,1,4.0,1
1.17,2014-12-01 10:34:17,1,4.0,1
1.18,2014-12-11 00:40:25,1,4.0,1
1.19,2014-12-30 13:21:57,1,4.0,1
1.20,2015-01-07 20:07:43,1,4.0,1
1.30,2015-02-01 01:15:18,1,6.0,1
1.31,2015-02-08 18:26:24,1,6.0,1
1.32,2015-02-11 19:34:55,1,6.0,1
1.33,2015-02-22 19:16:29,1,6.0,1
1.33b,2015-02-23 21:46:19,1,6.0,1
1.34,2015-03-02 11:10:46,1,6.0,1
1.35,2015-03-09 18:30:22,1,6.0,1
1.36,2015-03-18 10:39:38,1,6.0,1
1.37,2015-03-26 22:13:03,1,6.0,1
1.38,2015-04-20 00:56:35,1,6.0,1
1.38,2015-04-20 00:56:35,2,1.0,1
1.40,2015-05-31 20:31:02,1,6.0,1
1.40,2015-05-31 20:31:02,2,1.0,1
1.41,2015-06-26 05:52:16,1,6.0,1
1.41,2015-06-26 05:52:16,2,1.0,1
1.42,2015-07-08 20:59:26,1,6.0,1
1.42,2015-07-08 20:59:26,2,1.0,1
1.43,2015-07-17 14:51:25,1,6.0,1
1.43,2015-07-17 14:51:25,2,1.0,1
1.44,2015-08-08 15:57:29,1,9.0,1
1.44,2015-08-08 15:57:29,2,1.0,1
1.45,2015-09-01 11:47:36,1,9.0,1
1.45,2015-09-01 11:47:36,2,1.0,1
1.46,2015-10-18 18:36:27,1,9.0,1
1.46,2015-10-18 18:36:27,2,1.0,1
1.47,2015-12-25 22:44:03,1,9.0,1
1.47,2015-12-25 22:44:03,2,1.0,1
1.48,2016-04-09 17:46:48,1,9.0,1
1.48,2016-04-09 17:46:48,2,1.0,1
1.49,2016-05-29 19:16:44,1,9.0,1
1.49,2016-05-29 19:16:44,2,1.0,1
1.50,2017-06-02 12:22:34,1,9.0,1
1.50,2017-06-02 12:22:34,2,1.0,1
1.51,2017-08-24 18:29:59,1,9.0,1
1.51,2017-08-24 18:29:59,2,1.0,1
1.52,2017-10-27 17:10:41,1,9.0,1
1.52,2017-10-27 17:10:41,2,1.0,1
1.53,2017-12-25 17:41:41,1,9.0,1
1.53,2017-12-25 17:41:41,2,1.0,1
1.60,2018-04-09 13:52:24,1,9.0,1
1.60,2018-04-09 13:52:24,2,,1
1.60,2018-04-09 13:52:24,3,3.0,2
1.61,2018-05-14 12:34:47,1,9.0,1
1.61,2018-05-14 12:34:47,2,,1
1.61,2018-05-14 12:34:47,3,3.0,2
1.62,2018-06-22 17:45:03,1,9.0,1
1.62,2018-06-22 17:45:03,2,,1
1.62,2018-06-22 17:45:03,3,3.0,2
1.63,2018-08-29 17:34:08,1,9.0,1
1.63,2018-08-29 17:34:08,2,,1
1.63,2018-08-29 17:34:08,3,5.0,3
1.64,2018-08-31 18:07:47,1,10.0,1
1.64,2018-08-31 18:07:47,2,,1
1.64,2018-08-31 18:07:47,3,5.0,3
1.65,2018-09-06 15:58:58,1,10.0,1
1.65,2018-09-06 15:58:58,2,,1
1.65,2018-09-06 15:58:58,3,5.0,3
1.66,2018-11-22 15:11:52,1,10.0,1
1.66,2018-11-22 15:11:52,2,,1
1.66,2018-11-22 15:11:52,3,5.0,3
1.66b,2018-12-03 10:17:17,1,10.0,1
1.66b,2018-12-03 10:17:17,2,,1
1.66b,2018-12-03 10:17:17,3,5.0,3
1.67,2019-01-15 15:06:24,1,10.0,1
1.67,2019-01-15 15:06:24,2,,1
1.67,2019-01-15 15:06:24,3,5.0,3
1.68,2019-02-19 12:50:46,1,10.0,1
1.68,2019-02-19 12:50:46,2,,1
1.68,2019-02-19 12:50:46,3,5.0,3
1.69,2019-03-13 15:44:23,1,10.0,1
1.69,2019-03-13 15:44:23,2,,1
1.69,2019-03-13 15:44:23,3,5.0,3
1.70,2019-05-06 14:17:39,1,10.0,1
1.70,2019-05-06 14:17:39,2,,1
1.70,2019-05-06 14:17:39,3,5.0,3
1.71,2019-06-12 18:30:06,1,10.0,1
1.71,2019-06-12 18:30:06,2,,1
1.71,2019-06-12 18:30:06,3,5.0,3
1.72,2019-07-28 03:15:07,1,10.0,1
1.72,2019-07-28 03:15:07,2,,1
1.72,2019-07-28 03:15:07,3,5.0,3
1.72b,2019-07-31 23:31:06,1,10.0,1
1.72b,2019-07-31 23:31:06,2,,1
1.72b,2019-07-31 23:31:06,3,5.0,3
1.73,2019-09-24 17:15:48,1,10.0,1
1.73,2019-09-24 17:15:48,2,,1
1.73,2019-09-24 17:15:48,3,5.0,3
1.74,2019-11-25 18:38:53,1,10.0,1
1.74,2019-11-25 18:38:53,2,,1
1.74,2019-11-25 18:38:53,3,5.0,3
1.75,2020-02-10 14:02:41,1,10.0,1
1.75,2020-02-10 14:02:41,2,,1
1.75,2020-02-10 14:02:41,3,6.0,4
1.76,2020-04-12 20:18:47,1,10.0,1
1.76,2020-04-12 20:18:47,2,,1
1.76,2020-04-12 20:18:47,3,6.0,4
1.77,2020-06-29 15:54:28,1,10.0,1
1.77,2020-06-29 15:54:28,2,,1
1.77,2020-06-29 15:54:28,3,6.0,4
1.78,2020-08-18 17:50:45,1,10.0,1
1.78,2020-08-18 17:50:45,2,,1
1.78,2020-08-18 17:50:45,3,6.0,4
1.79,2020-10-08 16:01:59,1,10.0,1
1.79,2020-10-08 16:01:59,2,,1
1.79,2020-10-08 16:01:59,3,6.0,4
1.80,2021-01-21 20:36:18,1,11.0,1
1.80,2021-01-21 20:36:18,2,28.0,2
1.80,2021-01-21 20:36:18,3,6.0,4
1.81,2021-02-10 21:16:58,1,11.0,1
1.81,2021-02-10 21:16:58,2,30.0,2
1.81,2021-02-10 21:16:58,3,6.0,4
1.82,2021-03-15 20:26:48,1,11.0,1
1.82,2021-03-15 20:26:48,2,32.0,2
1.82,2021-03-15 20:26:48,3,6.0,4
1.83,2021-05-24 17:39:25,1,11.0,1
1.83,2021-05-24 17:39:25,2,32.0,2
1.83,2021-05-24 17:39:25,3,6.0,4
1.84,2021-08-20 18:03:55,1,11.0,1
1.84,2021-08-20 18:03:55,2,33.0,2
1.84,2021-08-20 18:03:55,3,6.0,4
1.84.1,2021-08-20 23:52:53,1,11.0,1
1.84.1,2021-08-20 23:52:53,2,33.0,2
1.84.1,2021-08-20 23:52:53,3,6.0,4
1.84.2,2021-08-23 15:03:27,1,11.0,1
1.84.2,2021-08-23 15:03:27,2,33.0,2
1.84.2,2021-08-23 15:03:27,3,6.0,4
1.85,2021-10-11 19:24:25,1,11.0,1
1.85,2021-10-11 19:24:25,2,35.0,2
1.85,2021-10-11 19:24:25,3,6.0,4
1.86,2021-12-22 15:31:13,1,11.0,1
1.86,2021-12-22 15:31:13,2,33.0,2
1.86,2021-12-22 15:31:13,3,6.0,4
1.87,2022-02-07 18:16:54,1,11.0,1
1.87,2022-02-07 18:16:54,2,33.0,2
1.87,2022-02-07 18:16:54,3,6.0,4
1.88,2022-06-21 18:11:50,1,11.0,1
1.88,2022-06-21 18:11:50,2,33.0,2
1.88,2022-06-21 18:11:50,3,6.0,4
