release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
1.00,2014-08-11 11:36:18,275635,4,202017,68908.75,1,1,4.0,4.0,275635.0,1,4.0,4.0,1,1.0,,,,,,,,,,,,,,,
1.01,2014-08-11 16:02:33,276077,4,202336,69019.25,1,1,4.0,4.0,276077.0,1,4.0,4.0,1,1.0,442.0,0.16,0.0,0.0,0.0,0.0,0.0,442.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
1.02,2014-08-12 12:21:47,276939,4,203122,69234.75,1,1,4.0,4.0,276939.0,1,4.0,4.0,1,1.0,862.0,0.31,0.0,0.0,0.0,0.0,0.0,862.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
1.03,2014-08-13 12:43:51,276320,4,202754,69080.0,1,1,4.0,4.0,276320.0,1,4.0,4.0,1,1.0,-619.0,-0.22,0.0,0.0,0.0,0.0,0.0,-619.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0
1.04,2014-08-13 20:26:25,279169,4,205389,69792.25,1,1,4.0,4.0,279169.0,1,4.0,4.0,1,1.0,2849.0,1.03,0.0,0.0,0.0,0.0,0.0,2849.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0
1.05,2014-08-14 16:18:34,283446,4,208817,70861.5,1,1,4.0,4.0,283446.0,1,4.0,4.0,1,1.0,4277.0,1.53,0.0,0.0,0.0,0.0,0.0,4277.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0
1.06,2014-08-15 18:54:42,286605,4,211494,71651.25,1,1,4.0,4.0,286605.0,1,4.0,4.0,1,1.0,3159.0,1.11,0.0,0.0,0.0,0.0,0.0,3159.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
1.07,2014-08-18 20:13:18,289708,4,213529,72427.0,1,1,4.0,4.0,289708.0,1,4.0,4.0,1,1.0,3103.0,1.08,0.0,0.0,0.0,0.0,0.0,3103.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0
1.08,2014-08-25 18:19:04,323306,4,241930,80826.5,1,1,4.0,4.0,323306.0,1,4.0,4.0,1,1.0,33598.0,11.6,0.0,0.0,0.0,0.0,0.0,33598.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0
1.09,2014-08-28 15:54:22,324476,4,243269,81119.0,1,1,4.0,4.0,324476.0,1,4.0,4.0,1,1.0,1170.0,0.36,0.0,0.0,0.0,0.0,0.0,1170.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
