path,name,extension,size_bytes,mtime,folder,num_files,level,md5,num_files_direct,id,parent
imgui_internal.h,imgui_internal,h,56421,2017-10-27 17:10:41,False,,1,9bf15f6a5d99f9db6833cadd9389f9b4,,9273117b625021c0e379311d92a3d30a,5058f1af8388633f609cadb75a75dc9d
extra_fonts/binary_to_compressed_c.cpp,binary_to_compressed_c,cpp,13198,2017-10-27 17:10:41,False,,2,eeef31a15f1302e33230d2d65dc509c1,,f407d2e18169d56eff4f714adb2eea34,f053cad38974b4b7f9ca5a0250749edc
extra_fonts,extra_fonts,,13198,2017-10-27 17:10:41,True,1.0,2,,1.0,f053cad38974b4b7f9ca5a0250749edc,5058f1af8388633f609cadb75a75dc9d
imgui.h,imgui,h,140444,2017-10-27 17:10:41,False,,1,ce3723a86aa3199e806186ee463c9971,,bbaa16f299ca6d388a3a779b16572882,5058f1af8388633f609cadb75a75dc9d
imgui.cpp,imgui,cpp,489593,2017-10-27 17:10:41,False,,1,76bdbfc3bc958875deea7d471159fabd,,e5e00627776ba59572e7d1d86554aee6,5058f1af8388633f609cadb75a75dc9d
stb_textedit.h,stb_textedit,h,49161,2017-10-27 17:10:41,False,,1,c64715a925b8ca6e62c8c30016ef2251,,caac62dcf8799c3ef9d8e45b473ab187,5058f1af8388633f609cadb75a75dc9d
stb_truetype.h,stb_truetype,h,152430,2017-10-27 17:10:41,False,,1,c1be13d40b39a99ae97cd0ad8592999f,,a892b4ae3bef21789604feb2a180d8f2,5058f1af8388633f609cadb75a75dc9d
stb_rect_pack.h,stb_rect_pack,h,17384,2017-10-27 17:10:41,False,,1,babf7f3ebfa384d1339300e871346ba1,,e2727fadd4cf46cfebe5f403356ae0d3,5058f1af8388633f609cadb75a75dc9d
imgui_draw.cpp,imgui_draw,cpp,123126,2017-10-27 17:10:41,False,,1,e62277f50746cb986c16731c41b2e6a0,,ce7fa9ef5b9e7238e581282e6948c9bd,5058f1af8388633f609cadb75a75dc9d
imgui_demo.cpp,imgui_demo,cpp,142249,2017-10-27 17:10:41,False,,1,cfa561ca42c28331bee064e971a98bb6,,fb4bd618fdb78483fa52e52b2ff5abf4,5058f1af8388633f609cadb75a75dc9d
imconfig.h,imconfig,h,2926,2017-10-27 17:10:41,False,,1,f98056078731da846d89e0927ee9df5c,,79b076193800c82e237264ecbfda3c2a,5058f1af8388633f609cadb75a75dc9d
.,1.52,,1191028,2017-10-27 17:10:41,True,10.0,1,,9.0,5058f1af8388633f609cadb75a75dc9d,
