release,mtime,level,num_files,num_folders
2.0.0,2015-12-06 22:19:05,1,,1
2.0.0,2015-12-06 22:19:05,2,2.0,2
2.0.0,2015-12-06 22:19:05,3,173.0,7
2.0.0,2015-12-06 22:19:05,4,30.0,4
2.0.0-alpha1,2012-05-02 23:06:37,1,,1
2.0.0-alpha1,2012-05-02 23:06:37,2,2.0,2
2.0.0-alpha1,2012-05-02 23:06:37,3,100.0,6
2.0.0-alpha1,2012-05-02 23:06:37,4,5.0,1
2.0.0-alpha2,2012-07-02 23:01:23,1,,1
2.0.0-alpha2,2012-07-02 23:01:23,2,2.0,2
2.0.0-alpha2,2012-07-02 23:01:23,3,108.0,6
2.0.0-alpha2,2012-07-02 23:01:23,4,24.0,3
2.0.0-alpha3,2012-10-27 10:52:54,1,,1
2.0.0-alpha3,2012-10-27 10:52:54,2,2.0,2
2.0.0-alpha3,2012-10-27 10:52:54,3,139.0,7
2.0.0-alpha3,2012-10-27 10:52:54,4,28.0,4
2.0.0-alpha4,2013-03-29 16:31:26,1,,1
2.0.0-alpha4,2013-03-29 16:31:26,2,2.0,2
2.0.0-alpha4,2013-03-29 16:31:26,3,145.0,7
2.0.0-alpha4,2013-03-29 16:31:26,4,28.0,4
2.0.0-alpha5,2013-12-20 12:41:45,1,,1
2.0.0-alpha5,2013-12-20 12:41:45,2,2.0,2
2.0.0-alpha5,2013-12-20 12:41:45,3,149.0,7
2.0.0-alpha5,2013-12-20 12:41:45,4,30.0,4
2.0.0-alpha6,2014-04-12 15:29:20,1,,1
2.0.0-alpha6,2014-04-12 15:29:20,2,2.0,2
2.0.0-alpha6,2014-04-12 15:29:20,3,157.0,7
2.0.0-alpha6,2014-04-12 15:29:20,4,30.0,4
2.0.0-beta1,2015-07-19 00:41:35,1,,1
2.0.0-beta1,2015-07-19 00:41:35,2,2.0,2
2.0.0-beta1,2015-07-19 00:41:35,3,173.0,7
2.0.0-beta1,2015-07-19 00:41:35,4,30.0,4
2.0.0-beta2,2015-09-06 23:41:29,1,,1
2.0.0-beta2,2015-09-06 23:41:29,2,2.0,2
2.0.0-beta2,2015-09-06 23:41:29,3,173.0,7
2.0.0-beta2,2015-09-06 23:41:29,4,30.0,4
2.0.1,2016-01-31 20:00:44,1,,1
2.0.1,2016-01-31 20:00:44,2,2.0,2
2.0.1,2016-01-31 20:00:44,3,177.0,7
2.0.1,2016-01-31 20:00:44,4,30.0,4
2.0.2,2016-02-02 01:22:48,1,,1
2.0.2,2016-02-02 01:22:48,2,2.0,2
