release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
2.0.0-alpha1,2012-05-02 23:06:37,393225,107,26395,3675.0,10,9,35.0,11.89,43692.0,4,100.0,35.67,6,2.5,,,,,,,,,,,,,,,
2.0.0-alpha2,2012-07-02 23:01:23,533444,134,26732,3980.93,12,11,38.0,12.18,48495.0,4,108.0,44.67,6,3.0,140219.0,35.66,27.0,25.23,2.0,22.22,2.44,4803.0,10.99,0.0,0.0,8.0,8.0,25.23,25.23
2.0.0-alpha3,2012-10-27 10:52:54,678931,169,28663,4017.34,14,13,42.0,13.0,52225.0,4,139.0,56.33,7,3.5,145487.0,27.27,35.0,26.12,2.0,18.18,6.73,3730.0,7.69,0.0,0.0,31.0,28.7,26.1,26.1
2.0.0-alpha4,2013-03-29 16:31:26,696872,175,29542,3982.13,14,13,46.0,13.46,53606.0,4,145.0,58.33,7,3.5,17941.0,2.64,6.0,3.55,0.0,0.0,3.54,1381.0,2.64,0.0,0.0,6.0,4.32,3.55,3.55
2.0.0-alpha5,2013-12-20 12:41:45,739670,181,31222,4086.57,14,13,48.0,13.92,56898.0,4,149.0,60.33,7,3.5,42798.0,6.14,6.0,3.43,0.0,0.0,3.42,3292.0,6.14,0.0,0.0,4.0,2.76,3.43,3.43
2.0.0-alpha6,2014-04-12 15:29:20,804155,189,34008,4254.79,14,13,52.0,14.54,61858.0,4,157.0,63.0,7,3.5,64485.0,8.72,8.0,4.42,0.0,0.0,4.45,4960.0,8.72,0.0,0.0,8.0,5.37,4.43,4.43
2.0.0-beta1,2015-07-19 00:41:35,899567,205,34008,4388.13,14,13,57.0,15.77,69197.0,4,173.0,68.33,7,3.5,95412.0,11.86,16.0,8.47,0.0,0.0,8.46,7339.0,11.86,0.0,0.0,16.0,10.19,8.46,8.46
2.0.0-beta2,2015-09-06 23:41:29,905748,205,34008,4418.28,14,13,57.0,15.77,69673.0,4,173.0,68.33,7,3.5,6181.0,0.69,0.0,0.0,0.0,0.0,0.0,476.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0
2.0.0,2015-12-06 22:19:05,912809,205,34008,4452.73,14,13,57.0,15.77,70216.0,4,173.0,68.33,7,3.5,7061.0,0.78,0.0,0.0,0.0,0.0,0.0,543.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0
2.0.1,2016-01-31 20:00:44,926335,209,34008,4432.22,14,13,57.0,16.08,71257.0,4,177.0,69.67,7,3.5,13526.0,1.48,4.0,1.95,0.0,0.0,1.97,1041.0,1.48,0.0,0.0,4.0,2.31,1.96,1.96
2.0.2,2016-02-02 01:22:48,926887,209,34008,4434.87,14,13,57.0,16.08,71299.0,4,177.0,69.67,7,3.5,552.0,0.06,0.0,0.0,0.0,0.0,0.0,42.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
2.0.3,2016-09-04 17:57:47,930141,209,34008,4450.44,14,13,57.0,16.08,71549.0,4,177.0,69.67,7,3.5,3254.0,0.35,0.0,0.0,0.0,0.0,0.0,250.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
2.1.0,2017-01-22 20:16:34,5191979,223,4154169,23282.42,17,16,60.0,13.94,324499.0,4,188.0,74.33,9,4.25,4261838.0,458.19,14.0,6.7,3.0,23.08,-13.31,252950.0,353.53,0.0,0.0,11.0,6.21,6.69,6.69
2.1.1,2017-02-07 01:04:48,5198360,223,4154169,23311.03,17,16,60.0,13.94,324898.0,4,188.0,74.33,9,4.25,6381.0,0.12,0.0,0.0,0.0,0.0,0.0,399.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
2.1.2,2017-02-17 16:21:39,5315353,233,4154169,22812.67,19,18,60.0,12.94,295297.0,5,188.0,58.25,9,3.8,116993.0,2.25,10.0,4.48,2.0,12.5,-7.17,-29601.0,-9.11,1.0,25.0,0.0,0.0,-21.63,-21.63
2.1.3,2017-03-02 21:56:54,5315453,233,4154169,22813.1,19,18,60.0,12.94,295303.0,5,188.0,58.25,9,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1.4,2017-04-09 16:20:52,5315522,233,4154169,22813.4,19,18,60.0,12.94,295307.0,5,188.0,58.25,9,3.8,69.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2.0,2017-06-25 23:52:43,5539288,285,4154169,19436.1,22,21,70.0,13.57,263776.0,5,234.0,71.25,11,4.4,223766.0,4.21,52.0,22.32,3.0,16.67,4.87,-31531.0,-10.68,0.0,0.0,46.0,24.47,22.32,22.32
2.2.1,2017-10-01 17:01:17,5544662,285,4154169,19454.95,22,21,70.0,13.57,264032.0,5,234.0,71.25,11,4.4,5374.0,0.1,0.0,0.0,0.0,0.0,0.0,256.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.2.2,2017-10-22 00:28:08,5556310,285,4154169,19495.82,22,21,70.0,13.57,264586.0,5,234.0,71.25,11,4.4,11648.0,0.21,0.0,0.0,0.0,0.0,0.0,554.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
2.2.3,2017-12-12 03:01:14,5557583,285,4154169,19500.29,22,21,70.0,13.57,264647.0,5,234.0,71.25,11,4.4,1273.0,0.02,0.0,0.0,0.0,0.0,0.0,61.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2.2.4,2017-12-13 18:58:56,5557583,285,4154169,19500.29,22,21,70.0,13.57,264647.0,5,234.0,71.25,11,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3.0-beta1,2018-02-22 03:59:42,6073541,379,4177724,16025.17,28,27,76.0,14.04,224946.0,5,312.0,94.75,14,5.6,515958.0,9.28,94.0,32.98,6.0,28.57,3.46,-39701.0,-15.0,0.0,0.0,78.0,33.33,32.98,32.98
2.3.0,2018-02-27 22:38:05,6075569,379,4177724,16030.53,28,27,76.0,14.04,225021.0,5,312.0,94.75,14,5.6,2028.0,0.03,0.0,0.0,0.0,0.0,0.0,75.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
