release,mtime,level,num_files,num_folders
0.1,2012-04-30 00:09:16,1,1,1
0.1,2012-04-30 00:09:16,2,6,1
0.1,2012-04-30 00:09:16,3,2,1
0.10,2014-01-28 03:20:10,1,1,1
0.10,2014-01-28 03:20:10,2,13,1
0.10,2014-01-28 03:20:10,3,16,3
0.10,2014-01-28 03:20:10,4,1,1
0.10,2014-01-28 03:20:10,5,6,1
0.10.1,2014-02-26 20:39:04,1,1,1
0.10.1,2014-02-26 20:39:04,2,13,1
0.10.1,2014-02-26 20:39:04,3,16,3
0.10.1,2014-02-26 20:39:04,4,1,1
0.10.1,2014-02-26 20:39:04,5,6,1
0.11,2014-11-11 02:00:56,1,1,1
0.11,2014-11-11 02:00:56,2,13,1
0.11,2014-11-11 02:00:56,3,31,7
0.11,2014-11-11 02:00:56,4,8,2
0.11,2014-11-11 02:00:56,5,6,1
0.11.1,2014-11-15 00:52:26,1,1,1
0.11.1,2014-11-15 00:52:26,2,13,1
0.11.1,2014-11-15 00:52:26,3,31,7
0.11.1,2014-11-15 00:52:26,4,8,2
0.11.1,2014-11-15 00:52:26,5,6,1
0.11.2,2014-12-29 00:45:38,1,1,1
0.11.2,2014-12-29 00:45:38,2,13,1
0.11.2,2014-12-29 00:45:38,3,31,7
0.11.2,2014-12-29 00:45:38,4,8,2
0.11.2,2014-12-29 00:45:38,5,6,1
0.11.3,2014-12-29 22:02:45,1,1,1
0.11.3,2014-12-29 22:02:45,2,13,1
0.11.3,2014-12-29 22:02:45,3,31,7
0.11.3,2014-12-29 22:02:45,4,8,2
0.11.3,2014-12-29 22:02:45,5,6,1
0.12,2015-05-25 03:08:32,1,1,1
0.12,2015-05-25 03:08:32,2,13,1
0.12,2015-05-25 03:08:32,3,40,7
0.12,2015-05-25 03:08:32,4,8,2
0.12,2015-05-25 03:08:32,5,6,1
0.12.1,2015-06-02 23:33:09,1,1,1
0.12.1,2015-06-02 23:33:09,2,13,1
0.12.1,2015-06-02 23:33:09,3,40,7
0.12.1,2015-06-02 23:33:09,4,8,2
0.12.1,2015-06-02 23:33:09,5,6,1
0.13,2015-07-22 00:41:02,1,1,1
0.13,2015-07-22 00:41:02,2,14,2
0.13,2015-07-22 00:41:02,3,38,7
0.13,2015-07-22 00:41:02,4,8,2
0.13,2015-07-22 00:41:02,5,6,1
0.13.1,2015-07-22 13:39:48,1,1,1
0.13.1,2015-07-22 13:39:48,2,15,1
0.13.1,2015-07-22 13:39:48,3,3,1
0.14,2015-11-06 01:52:08,1,1,1
0.14,2015-11-06 01:52:08,2,14,1
0.14,2015-11-06 01:52:08,3,41,8
0.14,2015-11-06 01:52:08,4,16,4
0.14,2015-11-06 01:52:08,5,6,1
0.15,2015-12-03 18:13:24,1,1,1
0.15,2015-12-03 18:13:24,2,14,1
0.15,2015-12-03 18:13:24,3,46,9
0.15,2015-12-03 18:13:24,4,16,4
0.15,2015-12-03 18:13:24,5,6,1
0.15.1,2015-12-25 16:00:50,1,1,1
0.15.1,2015-12-25 16:00:50,2,12,1
0.15.1,2015-12-25 16:00:50,3,12,2
0.15.1,2015-12-25 16:00:50,4,6,2
0.16,2016-02-14 17:04:47,1,1,1
0.16,2016-02-14 17:04:47,2,15,1
0.16,2016-02-14 17:04:47,3,48,9
0.16,2016-02-14 17:04:47,4,16,4
0.16,2016-02-14 17:04:47,5,6,1
0.17,2016-04-10 02:43:47,1,1,1
