release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
0.4,2011-03-30 01:05:50,291638,15,152484,19442.53,3,3,12.0,5.0,97213.0,3,12,5.0,1,1.0,,,,,,,,,,,,,,,
0.5,2011-06-27 06:38:00,294816,15,152484,19654.4,3,3,12.0,5.0,98272.0,3,12,5.0,1,1.0,3178.0,1.09,0.0,0.0,0.0,0.0,0.0,1059.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0
0.6,2011-08-07 01:18:26,313549,16,152484,19596.81,3,3,13.0,5.33,104516.0,3,13,5.33,1,1.0,18733.0,6.35,1.0,6.67,0.0,0.0,6.6,6244.0,6.35,0.0,0.0,1.0,8.33,6.6,6.6
0.7,2012-02-27 09:51:52,352621,22,152484,16028.23,4,4,12.0,5.5,88155.0,3,12,7.33,2,1.33,39072.0,12.46,6.0,37.5,1.0,33.33,3.19,-16361.0,-15.65,0.0,0.0,-1.0,-7.69,37.52,37.52
0.8,2012-04-09 06:45:42,434213,32,152484,13569.16,6,6,13.0,5.33,72369.0,5,13,6.4,2,1.2,81592.0,23.14,10.0,45.45,2.0,50.0,-3.09,-15786.0,-17.91,2.0,66.67,1.0,8.33,-12.69,-12.69
0.1,2012-04-30 00:09:16,183951,9,155429,20439.0,3,3,6.0,3.0,61317.0,3,6,3.0,1,1.0,-250262.0,-57.64,-23.0,-71.88,-3.0,-50.0,-43.71,-11052.0,-15.27,-2.0,-40.0,-7.0,-53.85,-53.12,-53.12
0.2,2012-07-29 05:53:42,43428,9,11258,4825.33,2,2,8.0,4.5,21714.0,2,8,4.5,1,1.0,-140523.0,-76.39,0.0,0.0,-1.0,-33.33,50.0,-39603.0,-64.59,-1.0,-33.33,2.0,33.33,50.0,50.0
0.2.1,2012-08-23 02:57:22,43854,9,11354,4872.67,2,2,8.0,4.5,21927.0,2,8,4.5,1,1.0,426.0,0.98,0.0,0.0,0.0,0.0,0.0,213.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
0.2.2,2012-10-31 10:26:09,47727,11,12400,4338.82,2,2,10.0,5.5,23864.0,2,10,5.5,1,1.0,3873.0,8.83,2.0,22.22,0.0,0.0,22.22,1937.0,8.83,0.0,0.0,2.0,25.0,22.22,22.22
0.3,2012-11-16 03:00:15,206749,11,155429,18795.36,3,3,8.0,3.67,68916.0,3,8,3.67,1,1.0,159022.0,333.19,0.0,0.0,1.0,50.0,-33.27,45052.0,188.79,1.0,50.0,-2.0,-20.0,-33.27,-33.27
0.8.1,2012-11-17 01:50:15,434218,32,152484,13569.31,6,6,13.0,5.33,72370.0,5,13,6.4,2,1.2,227469.0,110.02,21.0,190.91,3.0,100.0,45.23,3454.0,5.01,2.0,66.67,5.0,62.5,74.39,74.39
0.9,2013-05-15 01:25:25,494792,37,152484,13372.76,7,7,13.0,5.29,70685.0,5,16,7.4,3,1.4,60574.0,13.95,5.0,15.62,1.0,16.67,-0.75,-1685.0,-2.33,0.0,0.0,3.0,23.08,15.62,15.62
0.9.1,2013-06-16 06:23:59,495024,37,152484,13379.03,7,7,13.0,5.29,70718.0,5,16,7.4,3,1.4,232.0,0.05,0.0,0.0,0.0,0.0,0.0,33.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.9.2,2013-08-25 00:37:35,484791,37,152484,13102.46,7,7,13.0,5.29,69256.0,5,16,7.4,3,1.4,-10233.0,-2.07,0.0,0.0,0.0,0.0,0.0,-1462.0,-2.07,0.0,0.0,0.0,0.0,0.0,0.0
0.10,2014-01-28 03:20:10,498146,37,152484,13463.41,7,7,13.0,5.29,71164.0,5,16,7.4,3,1.4,13355.0,2.75,0.0,0.0,0.0,0.0,0.0,1908.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0
0.10.1,2014-02-26 20:39:04,498348,37,152484,13468.86,7,7,13.0,5.29,71193.0,5,16,7.4,3,1.4,202.0,0.04,0.0,0.0,0.0,0.0,0.0,29.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
0.11,2014-11-11 02:00:56,618488,59,152484,10482.85,12,12,13.0,4.92,51541.0,5,31,11.8,7,2.4,120140.0,24.11,22.0,59.46,5.0,71.43,-6.99,-19652.0,-27.6,0.0,0.0,15.0,93.75,59.46,59.46
