release,mtime,level,num_files,num_folders
0.10.0,2012-12-17 17:48:32,1,2,1
0.10.0,2012-12-17 17:48:32,2,51,5
0.10.0,2012-12-17 17:48:32,3,97,13
0.10.0,2012-12-17 17:48:32,4,20,6
0.10.0b1,2012-12-12 00:45:26,1,2,1
0.10.0b1,2012-12-12 00:45:26,2,49,5
0.10.0b1,2012-12-12 00:45:26,3,97,13
0.10.0b1,2012-12-12 00:45:26,4,19,6
0.10.1,2013-01-22 06:19:54,1,2,1
0.10.1,2013-01-22 06:19:54,2,52,5
0.10.1,2013-01-22 06:19:54,3,98,13
0.10.1,2013-01-22 06:19:54,4,20,6
0.11.0,2013-04-23 02:54:31,1,2,1
0.11.0,2013-04-23 02:54:31,2,55,5
0.11.0,2013-04-23 02:54:31,3,101,13
0.11.0,2013-04-23 02:54:31,4,18,5
0.11.0rc1,2013-04-13 03:59:12,1,2,1
0.11.0rc1,2013-04-13 03:59:12,2,54,5
0.11.0rc1,2013-04-13 03:59:12,3,101,13
0.11.0rc1,2013-04-13 03:59:12,4,18,5
0.12.0,2013-07-24 22:18:26,1,2,1
0.12.0,2013-07-24 22:18:26,2,57,5
0.12.0,2013-07-24 22:18:26,3,110,13
0.12.0,2013-07-24 22:18:26,4,18,6
0.12.0,2013-07-24 22:18:26,5,8,2
0.12.0rc1,2013-07-09 07:12:51,1,2,1
0.12.0rc1,2013-07-09 07:12:51,2,56,5
0.12.0rc1,2013-07-09 07:12:51,3,110,13
0.12.0rc1,2013-07-09 07:12:51,4,18,6
0.12.0rc1,2013-07-09 07:12:51,5,8,2
0.13.0,2013-12-30 18:01:27,1,2,1
0.13.0,2013-12-30 18:01:27,2,60,5
0.13.0,2013-12-30 18:01:27,3,124,14
0.13.0,2013-12-30 18:01:27,4,25,7
0.13.0,2013-12-30 18:01:27,5,8,2
0.13.0_ahl1,2014-01-08 14:05:15,1,2,1
0.13.0_ahl1,2014-01-08 14:05:15,2,60,5
0.13.0_ahl1,2014-01-08 14:05:15,3,124,14
0.13.0_ahl1,2014-01-08 14:05:15,4,25,7
0.13.0_ahl1,2014-01-08 14:05:15,5,8,2
0.13.0_ahl2,2014-01-16 14:25:09,1,2,1
0.13.0_ahl2,2014-01-16 14:25:09,2,60,5
0.13.0_ahl2,2014-01-16 14:25:09,3,124,14
0.13.0_ahl2,2014-01-16 14:25:09,4,25,7
0.13.0_ahl2,2014-01-16 14:25:09,5,8,2
0.13.0rc1,2013-11-29 21:52:36,1,2,1
0.13.0rc1,2013-11-29 21:52:36,2,60,5
0.13.0rc1,2013-11-29 21:52:36,3,124,14
0.13.0rc1,2013-11-29 21:52:36,4,25,7
0.13.0rc1,2013-11-29 21:52:36,5,8,2
0.13.1,2014-02-03 05:51:54,1,2,1
0.13.1,2014-02-03 05:51:54,2,61,5
0.13.1,2014-02-03 05:51:54,3,125,15
0.13.1,2014-02-03 05:51:54,4,25,7
0.13.1,2014-02-03 05:51:54,5,8,2
0.14.0,2014-05-30 13:42:02,1,2,1
0.14.0,2014-05-30 13:42:02,2,64,5
0.14.0,2014-05-30 13:42:02,3,130,16
0.14.0,2014-05-30 13:42:02,4,25,7
0.14.0,2014-05-30 13:42:02,5,8,2
0.14.0rc1,2014-05-17 00:25:23,1,2,1
0.14.0rc1,2014-05-17 00:25:23,2,64,5
0.14.0rc1,2014-05-17 00:25:23,3,129,16
0.14.0rc1,2014-05-17 00:25:23,4,25,7
0.14.0rc1,2014-05-17 00:25:23,5,8,2
0.14.1,2014-07-11 01:46:07,1,2,1
0.14.1,2014-07-11 01:46:07,2,65,5
0.14.1,2014-07-11 01:46:07,3,129,16
0.14.1,2014-07-11 01:46:07,4,25,7
0.14.1,2014-07-11 01:46:07,5,8,2
0.15.0,2014-10-19 00:52:16,1,2,1
0.15.0,2014-10-19 00:52:16,2,66,5
0.15.0,2014-10-19 00:52:16,3,130,16
0.15.0,2014-10-19 00:52:16,4,25,7
0.15.0,2014-10-19 00:52:16,5,8,2
0.15.0rc1,2014-10-07 02:38:39,1,2,1
0.15.0rc1,2014-10-07 02:38:39,2,66,5
0.15.0rc1,2014-10-07 02:38:39,3,130,16
0.15.0rc1,2014-10-07 02:38:39,4,25,7
0.15.0rc1,2014-10-07 02:38:39,5,8,2
0.15.1,2014-11-08 14:13:42,1,2,1
0.15.1,2014-11-08 14:13:42,2,66,5
0.15.1,2014-11-08 14:13:42,3,130,16
0.15.1,2014-11-08 14:13:42,4,25,7
0.15.1,2014-11-08 14:13:42,5,8,2
0.15.2,2014-12-11 14:59:22,1,2,1
0.15.2,2014-12-11 14:59:22,2,66,5
0.15.2,2014-12-11 14:59:22,3,130,16
0.15.2,2014-12-11 14:59:22,4,25,7
0.15.2,2014-12-11 14:59:22,5,8,2
0.15.2pre,2014-11-21 15:05:11,1,2,1
0.15.2pre,2014-11-21 15:05:11,2,66,5
0.15.2pre,2014-11-21 15:05:11,3,130,16
0.15.2pre,2014-11-21 15:05:11,4,25,7
0.15.2pre,2014-11-21 15:05:11,5,8,2
0.15pre,2014-09-07 14:52:01,1,2,1
0.15pre,2014-09-07 14:52:01,2,65,5
0.15pre,2014-09-07 14:52:01,3,130,16
0.15pre,2014-09-07 14:52:01,4,25,7
0.15pre,2014-09-07 14:52:01,5,8,2
0.16.0,2015-03-22 14:36:38,1,2,1
0.16.0,2015-03-22 14:36:38,2,66,5
0.16.0,2015-03-22 14:36:38,3,131,16
0.16.0,2015-03-22 14:36:38,4,25,7
0.16.0,2015-03-22 14:36:38,5,8,2
0.16.0rc1,2015-03-13 15:00:36,1,2,1
0.16.0rc1,2015-03-13 15:00:36,2,66,5
0.16.0rc1,2015-03-13 15:00:36,3,131,16
0.16.0rc1,2015-03-13 15:00:36,4,25,7
0.16.0rc1,2015-03-13 15:00:36,5,8,2
0.16.1,2015-05-11 03:10:04,1,2,1
0.16.1,2015-05-11 03:10:04,2,66,5
0.16.1,2015-05-11 03:10:04,3,132,16
0.16.1,2015-05-11 03:10:04,4,25,7
0.16.1,2015-05-11 03:10:04,5,8,2
0.16.2,2015-06-13 12:45:34,1,2,1
0.16.2,2015-06-13 12:45:34,2,66,5
0.16.2,2015-06-13 12:45:34,3,132,16
0.16.2,2015-06-13 12:45:34,4,25,7
0.16.2,2015-06-13 12:45:34,5,8,2
0.16.3,2015-06-18 01:45:08,1,3,1
0.16.3,2015-06-18 01:45:08,2,67,5
0.16.3,2015-06-18 01:45:08,3,132,16
0.16.3,2015-06-18 01:45:08,4,25,7
