release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
0.3.0,2011-02-20 02:06:28,1276170,58,838299,22002.93,13,13,15.0,4.46,98167.0,4,47,14.5,8,3.25,,,,,,,,,,,,,,,
0.4.0,2011-09-12 22:32:01,651252,59,98715,11038.17,11,11,16.0,5.36,59205.0,4,45,14.75,7,2.75,-624918.0,-48.97,1.0,1.72,-2.0,-15.38,20.18,-38962.0,-39.69,0.0,0.0,-2.0,-4.26,1.72,1.72
0.4.1,2011-09-26 03:21:25,668337,59,101910,11327.75,11,11,16.0,5.36,60758.0,4,45,14.75,7,2.75,17085.0,2.62,0.0,0.0,0.0,0.0,0.0,1553.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0
0.4.2,2011-10-03 06:46:13,712040,63,101754,11302.22,12,12,16.0,5.25,59337.0,4,46,15.75,8,3.0,43703.0,6.54,4.0,6.78,1.0,9.09,-2.05,-1421.0,-2.34,0.0,0.0,1.0,2.22,6.78,6.78
0.4.3,2011-10-09 23:57:09,721153,64,102965,11268.02,12,12,16.0,5.33,60096.0,4,47,16.0,8,3.0,9113.0,1.28,1.0,1.59,0.0,0.0,1.52,759.0,1.28,0.0,0.0,1.0,2.17,1.59,1.59
0.5.0,2011-10-25 04:32:12,757893,69,105879,10983.96,13,13,16.0,5.31,58299.0,4,50,17.25,9,3.25,36740.0,5.09,5.0,7.81,1.0,8.33,-0.38,-1797.0,-2.99,0.0,0.0,3.0,6.38,7.81,7.81
0.6.0,2011-11-26 04:15:54,795882,76,113034,10472.13,13,13,18.0,5.85,61222.0,4,55,19.0,9,3.25,37989.0,5.01,7.0,10.14,0.0,0.0,10.17,2923.0,5.01,0.0,0.0,5.0,10.0,10.14,10.14
0.6.1,2011-12-14 00:03:56,842716,86,120850,9799.02,14,14,18.0,6.14,60194.0,4,65,21.5,10,3.5,46834.0,5.88,10.0,13.16,1.0,7.69,4.96,-1028.0,-1.68,0.0,0.0,10.0,18.18,13.16,13.16
0.7.0rc1,2012-01-20 05:33:52,994774,114,135415,8726.09,18,17,20.0,6.71,58516.0,4,70,28.5,11,4.5,152058.0,18.04,28.0,32.56,3.0,21.43,9.28,-1678.0,-2.79,0.0,0.0,5.0,7.69,32.56,32.56
0.7.0,2012-02-09 23:22:55,1063211,121,141355,8786.87,19,18,21.0,6.72,59067.0,4,75,30.25,12,4.75,68437.0,6.88,7.0,6.14,1.0,5.88,0.15,551.0,0.94,0.0,0.0,5.0,7.14,6.14,6.14
0.7.1,2012-02-29 23:04:38,1087787,122,146437,8916.29,19,18,21.0,6.78,60433.0,4,75,30.5,12,4.75,24576.0,2.31,1.0,0.83,0.0,0.0,0.89,1366.0,2.31,0.0,0.0,0.0,0.0,0.83,0.83
0.7.2,2012-03-16 20:54:20,1106751,122,149984,9071.73,19,18,21.0,6.78,61486.0,4,75,30.5,12,4.75,18964.0,1.74,0.0,0.0,0.0,0.0,0.0,1053.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0
0.7.3,2012-04-12 19:51:52,1130436,121,146619,9342.45,19,18,21.0,6.72,62802.0,4,74,30.25,12,4.75,23685.0,2.14,-1.0,-0.82,0.0,0.0,-0.88,1316.0,2.14,0.0,0.0,-1.0,-1.33,-0.82,-0.82
0.8.0b1,2012-05-29 03:04:42,1725120,158,167337,10918.48,24,22,25.0,7.18,78415.0,5,95,31.6,13,4.8,594684.0,52.61,37.0,30.58,4.0,22.22,6.85,15613.0,24.86,1.0,25.0,21.0,28.38,4.46,4.46
0.8.0b2,2012-06-12 18:41:35,1629987,151,168586,10794.62,21,20,25.0,7.55,81499.0,4,96,37.75,13,5.25,-95133.0,-5.51,-7.0,-4.43,-2.0,-9.09,5.15,3084.0,3.93,-1.0,-20.0,1.0,1.05,19.46,19.46
0.8.0rc1,2012-06-22 21:34:42,1625951,151,170319,10767.89,21,20,25.0,7.55,81298.0,4,96,37.75,13,5.25,-4036.0,-0.25,0.0,0.0,0.0,0.0,0.0,-201.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.8.0rc2,2012-06-22 21:44:31,1625988,151,170319,10768.13,21,20,25.0,7.55,81299.0,4,96,37.75,13,5.25,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8.0,2012-06-29 18:20:14,1642512,152,172007,10806.0,21,20,25.0,7.6,82126.0,4,97,38.0,13,5.25,16524.0,1.02,1.0,0.66,0.0,0.0,0.66,827.0,1.02,0.0,0.0,1.0,1.04,0.66,0.66
0.8.1,2012-07-22 21:42:21,1692002,151,173454,11205.31,21,20,25.0,7.55,84600.0,4,96,37.75,13,5.25,49490.0,3.01,-1.0,-0.66,0.0,0.0,-0.66,2474.0,3.01,0.0,0.0,-1.0,-1.03,-0.66,-0.66
0.9.0rc1,2012-09-21 05:16:00,1754676,152,179782,11543.92,21,20,25.0,7.6,87734.0,4,96,38.0,13,5.25,62674.0,3.7,1.0,0.66,0.0,0.0,0.66,3134.0,3.7,0.0,0.0,0.0,0.0,0.66,0.66
0.9.0rc2,2012-09-27 03:41:28,1757557,152,180371,11562.88,21,20,25.0,7.6,87878.0,4,96,38.0,13,5.25,2881.0,0.16,0.0,0.0,0.0,0.0,0.0,144.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.9.0,2012-10-08 02:17:00,1763127,152,182271,11599.52,21,20,25.0,7.6,88156.0,4,96,38.0,13,5.25,5570.0,0.32,0.0,0.0,0.0,0.0,0.0,278.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0
0.9.1rc1,2012-11-10 00:58:39,1794827,151,187064,11886.27,21,20,25.0,7.55,89741.0,4,96,37.75,13,5.25,31700.0,1.8,-1.0,-0.66,0.0,0.0,-0.66,1585.0,1.8,0.0,0.0,0.0,0.0,-0.66,-0.66
0.9.1,2012-11-15 01:41:09,1798668,151,188289,11911.71,21,20,25.0,7.55,89933.0,4,96,37.75,13,5.25,3841.0,0.21,0.0,0.0,0.0,0.0,0.0,192.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
0.10.0b1,2012-12-12 00:45:26,2078441,167,198773,12445.75,25,24,28.0,6.96,86602.0,4,97,41.75,13,6.25,279773.0,15.55,16.0,10.6,4.0,20.0,-7.81,-3331.0,-3.7,0.0,0.0,1.0,1.04,10.6,10.6
0.10.0,2012-12-17 17:48:32,2104393,170,199199,12378.78,25,24,29.0,7.08,87683.0,4,97,42.5,13,6.25,25952.0,1.25,3.0,1.8,0.0,0.0,1.72,1081.0,1.25,0.0,0.0,0.0,0.0,1.8,1.8
