release,mtime,level,num_files,num_folders
0.9.2,2007-04-10 23:22:13,1,1.0,1
0.9.2,2007-04-10 23:22:13,2,24.0,1
0.9.2,2007-04-10 23:22:13,3,1.0,1
0.9.3,2007-05-07 23:26:14,1,1.0,1
0.9.3,2007-05-07 23:26:14,2,24.0,1
0.9.3,2007-05-07 23:26:14,3,1.0,1
1.0.0,2008-04-11 19:01:38,1,,1
1.0.0,2008-04-11 19:01:38,2,45.0,1
1.0.0,2008-04-11 19:01:38,3,3.0,1
1.0.0,2008-04-11 19:01:38,4,6.0,1
1.1.0,2008-08-01 16:34:04,1,,1
1.1.0,2008-08-01 16:34:04,2,65.0,1
1.1.0,2008-08-01 16:34:04,3,3.0,1
1.1.0,2008-08-01 16:34:04,4,6.0,1
1.1.1,2008-08-01 18:22:26,1,,1
1.1.1,2008-08-01 18:22:26,2,65.0,1
1.1.1,2008-08-01 18:22:26,3,3.0,1
1.1.1,2008-08-01 18:22:26,4,6.0,1
1.1.2,2008-08-17 05:59:06,1,,1
1.1.2,2008-08-17 05:59:06,2,65.0,1
1.1.2,2008-08-17 05:59:06,3,3.0,1
1.1.2,2008-08-17 05:59:06,4,6.0,1
1.1.3,2008-08-26 09:21:15,1,,1
1.1.3,2008-08-26 09:21:15,2,65.0,1
1.1.3,2008-08-26 09:21:15,3,3.0,1
1.1.3,2008-08-26 09:21:15,4,6.0,1
1.1.4,2008-09-14 12:30:27,1,,1
1.1.4,2008-09-14 12:30:27,2,65.0,1
1.1.4,2008-09-14 12:30:27,3,3.0,1
1.1.4,2008-09-14 12:30:27,4,6.0,1
1.2.1,2008-11-20 10:36:42,1,,1
1.2.1,2008-11-20 10:36:42,2,66.0,1
1.2.1,2008-11-20 10:36:42,3,3.0,1
1.2.1,2008-11-20 10:36:42,4,6.0,1
1.3.0,2009-01-14 13:37:31,1,,1
1.3.0,2009-01-14 13:37:31,2,66.0,1
1.3.0,2009-01-14 13:37:31,3,3.0,1
1.3.0,2009-01-14 13:37:31,4,6.0,1
1.3.1,2009-01-26 16:16:02,1,,1
1.3.1,2009-01-26 16:16:02,2,67.0,1
1.3.1,2009-01-26 16:16:02,3,3.0,1
1.3.1,2009-01-26 16:16:02,4,6.0,1
1.3.3,2009-04-06 22:25:21,1,,1
1.3.3,2009-04-06 22:25:21,2,67.0,1
1.3.3,2009-04-06 22:25:21,3,5.0,1
1.3.3,2009-04-06 22:25:21,4,6.0,1
1.3.4,2009-07-12 11:31:40,1,,1
1.3.4,2009-07-12 11:31:40,2,67.0,1
1.3.4,2009-07-12 11:31:40,3,5.0,1
1.3.4,2009-07-12 11:31:40,4,6.0,1
1.3.5,2009-07-24 10:36:27,1,,1
1.3.5,2009-07-24 10:36:27,2,67.0,1
1.3.5,2009-07-24 10:36:27,3,5.0,1
1.3.5,2009-07-24 10:36:27,4,6.0,1
1.4.0,2009-08-13 05:54:35,1,,1
1.4.0,2009-08-13 05:54:35,2,67.0,1
1.4.0,2009-08-13 05:54:35,3,5.0,1
1.4.0,2009-08-13 05:54:35,4,6.0,1
1.4.1,2009-08-21 13:57:28,1,,1
1.4.1,2009-08-21 13:57:28,2,67.0,1
1.4.1,2009-08-21 13:57:28,3,5.0,1
1.4.1,2009-08-21 13:57:28,4,6.0,1
1.5.0,2009-09-03 14:02:39,1,,1
1.5.0,2009-09-03 14:02:39,2,72.0,1
1.5.0,2009-09-03 14:02:39,3,5.0,1
1.5.0,2009-09-03 14:02:39,4,6.0,1
1.5.3,2009-09-30 23:14:53,1,,1
1.5.3,2009-09-30 23:14:53,2,72.0,1
1.5.3,2009-09-30 23:14:53,3,5.0,1
