release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
0.9.2,2007-04-10 23:22:13,276106,26,79037,10619.46,3,3,24.0,8.67,92035.0,3,24.0,8.67,1,1.0,,,,,,,,,,,,,,,
0.9.3,2007-05-07 23:26:14,281068,26,82859,10810.31,3,3,24.0,8.67,93689.0,3,24.0,8.67,1,1.0,4962.0,1.8,0.0,0.0,0.0,0.0,0.0,1654.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0.0,2008-04-11 19:01:38,498528,54,50805,9232.0,4,3,45.0,18.0,166176.0,4,45.0,18.0,1,1.0,217460.0,77.37,28.0,107.69,0.0,0.0,107.61,72487.0,77.37,1.0,33.33,21.0,87.5,107.61,107.61
1.1.0,2008-08-01 16:34:04,597390,74,57623,8072.84,4,3,65.0,24.67,199130.0,4,65.0,24.67,1,1.0,98862.0,19.83,20.0,37.04,0.0,0.0,37.06,32954.0,19.83,0.0,0.0,20.0,44.44,37.06,37.06
1.1.1,2008-08-01 18:22:26,597390,74,57623,8072.84,4,3,65.0,24.67,199130.0,4,65.0,24.67,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.2,2008-08-17 05:59:06,597470,74,57623,8073.92,4,3,65.0,24.67,199157.0,4,65.0,24.67,1,1.0,80.0,0.01,0.0,0.0,0.0,0.0,0.0,27.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1.1.3,2008-08-26 09:21:15,598223,74,57623,8084.09,4,3,65.0,24.67,199408.0,4,65.0,24.67,1,1.0,753.0,0.13,0.0,0.0,0.0,0.0,0.0,251.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
1.1.4,2008-09-14 12:30:27,599709,74,56812,8104.18,4,3,65.0,24.67,199903.0,4,65.0,24.67,1,1.0,1486.0,0.25,0.0,0.0,0.0,0.0,0.0,495.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1.2.1,2008-11-20 10:36:42,636291,75,70053,8483.88,4,3,66.0,25.0,212097.0,4,66.0,25.0,1,1.0,36582.0,6.1,1.0,1.35,0.0,0.0,1.34,12194.0,6.1,0.0,0.0,1.0,1.54,1.34,1.34
1.3.0,2009-01-14 13:37:31,617651,75,60363,8235.35,4,3,66.0,25.0,205884.0,4,66.0,25.0,1,1.0,-18640.0,-2.93,0.0,0.0,0.0,0.0,0.0,-6213.0,-2.93,0.0,0.0,0.0,0.0,0.0,0.0
