release,mtime,level,num_files,num_folders
1.0-Final,2016-08-18 05:10:45,1,,1
1.0-Final,2016-08-18 05:10:45,2,,6
1.0-Final,2016-08-18 05:10:45,3,,8
1.0-Final,2016-08-18 05:10:45,4,,13
1.0-Final,2016-08-18 05:10:45,5,,14
1.0-Final,2016-08-18 05:10:45,6,,14
1.0-Final,2016-08-18 05:10:45,7,,14
1.0-Final,2016-08-18 05:10:45,8,,14
1.0-Final,2016-08-18 05:10:45,9,,14
1.0-Final,2016-08-18 05:10:45,10,16.0,14
1.0-Final,2016-08-18 05:10:45,11,153.0,45
1.0-Final,2016-08-18 05:10:45,12,63.0,22
1.0-Final,2016-08-18 05:10:45,13,50.0,14
1.0-Final,2016-08-18 05:10:45,14,15.0,6
1.0-Final,2016-08-18 05:10:45,15,10.0,4
1.0-Final-hotfix,2016-11-02 02:17:32,1,,1
1.0-Final-hotfix,2016-11-02 02:17:32,2,,6
1.0-Final-hotfix,2016-11-02 02:17:32,3,,8
1.0-Final-hotfix,2016-11-02 02:17:32,4,,13
1.0-Final-hotfix,2016-11-02 02:17:32,5,,14
1.0-Final-hotfix,2016-11-02 02:17:32,6,,14
1.0-Final-hotfix,2016-11-02 02:17:32,7,,14
1.0-Final-hotfix,2016-11-02 02:17:32,8,,14
1.0-Final-hotfix,2016-11-02 02:17:32,9,,14
1.0-Final-hotfix,2016-11-02 02:17:32,10,16.0,14
1.0-Final-hotfix,2016-11-02 02:17:32,11,153.0,45
1.0-Final-hotfix,2016-11-02 02:17:32,12,63.0,22
1.0-Final-hotfix,2016-11-02 02:17:32,13,50.0,14
1.0-Final-hotfix,2016-11-02 02:17:32,14,15.0,6
1.0-Final-hotfix,2016-11-02 02:17:32,15,10.0,4
1.0-alpha1,2015-12-31 04:05:26,1,,1
1.0-alpha1,2015-12-31 04:05:26,2,,6
1.0-alpha1,2015-12-31 04:05:26,3,,11
1.0-alpha1,2015-12-31 04:05:26,4,,11
1.0-alpha1,2015-12-31 04:05:26,5,,11
1.0-alpha1,2015-12-31 04:05:26,6,,11
1.0-alpha1,2015-12-31 04:05:26,7,,11
1.0-alpha1,2015-12-31 04:05:26,8,,11
1.0-alpha1,2015-12-31 04:05:26,9,11.0,16
1.0-alpha1,2015-12-31 04:05:26,10,83.0,26
1.0-alpha1,2015-12-31 04:05:26,11,40.0,19
1.0-alpha1,2015-12-31 04:05:26,12,15.0,8
1.0-alpha1,2015-12-31 04:05:26,13,10.0,6
1.0-alpha1,2015-12-31 04:05:26,14,2.0,1
1.0-alpha2,2016-03-09 12:40:02,1,,1
1.0-alpha2,2016-03-09 12:40:02,2,,8
1.0-alpha2,2016-03-09 12:40:02,3,,14
1.0-alpha2,2016-03-09 12:40:02,4,,14
1.0-alpha2,2016-03-09 12:40:02,5,,14
1.0-alpha2,2016-03-09 12:40:02,6,,14
1.0-alpha2,2016-03-09 12:40:02,7,,14
1.0-alpha2,2016-03-09 12:40:02,8,,14
1.0-alpha2,2016-03-09 12:40:02,9,11.0,20
1.0-alpha2,2016-03-09 12:40:02,10,87.0,31
1.0-alpha2,2016-03-09 12:40:02,11,192.0,27
1.0-alpha2,2016-03-09 12:40:02,12,265.0,33
1.0-alpha2,2016-03-09 12:40:02,13,198.0,22
1.0-alpha2,2016-03-09 12:40:02,14,40.0,6
1.0-alpha2,2016-03-09 12:40:02,15,4.0,2
1.0-beta,2016-05-28 05:21:18,1,,1
1.0-beta,2016-05-28 05:21:18,2,,8
1.0-beta,2016-05-28 05:21:18,3,,18
1.0-beta,2016-05-28 05:21:18,4,,18
1.0-beta,2016-05-28 05:21:18,5,,18
1.0-beta,2016-05-28 05:21:18,6,,18
1.0-beta,2016-05-28 05:21:18,7,,18
1.0-beta,2016-05-28 05:21:18,8,,18
1.0-beta,2016-05-28 05:21:18,9,,18
1.0-beta,2016-05-28 05:21:18,10,48.0,28
1.0-beta,2016-05-28 05:21:18,11,111.0,36
1.0-beta,2016-05-28 05:21:18,12,75.0,25
1.0-beta,2016-05-28 05:21:18,13,27.0,13
1.0-beta,2016-05-28 05:21:18,14,3.0,4
1.0-beta,2016-05-28 05:21:18,15,4.0,2
2.0-2016,2016-12-19 06:33:24,1,,1
2.0-2016,2016-12-19 06:33:24,2,,7
2.0-2016,2016-12-19 06:33:24,3,,17
2.0-2016,2016-12-19 06:33:24,4,,26
2.0-2016,2016-12-19 06:33:24,5,,26
2.0-2016,2016-12-19 06:33:24,6,,26
2.0-2016,2016-12-19 06:33:24,7,,26
2.0-2016,2016-12-19 06:33:24,8,,26
2.0-2016,2016-12-19 06:33:24,9,,26
2.0-2016,2016-12-19 06:33:24,10,6.0,26
2.0-2016,2016-12-19 06:33:24,11,95.0,50
2.0-2016,2016-12-19 06:33:24,12,73.0,47
2.0-2016,2016-12-19 06:33:24,13,99.0,31
2.0-2016,2016-12-19 06:33:24,14,22.0,14
2.0-2016,2016-12-19 06:33:24,15,16.0,9
2.0-2016,2016-12-19 06:33:24,16,,3
2.0-2016,2016-12-19 06:33:24,17,6.0,3
2.1-2017,2017-02-09 06:36:02,1,,1
2.1-2017,2017-02-09 06:36:02,2,,7
2.1-2017,2017-02-09 06:36:02,3,,18
2.1-2017,2017-02-09 06:36:02,4,,29
2.1-2017,2017-02-09 06:36:02,5,,29
2.1-2017,2017-02-09 06:36:02,6,,29
2.1-2017,2017-02-09 06:36:02,7,,29
2.1-2017,2017-02-09 06:36:02,8,,29
2.1-2017,2017-02-09 06:36:02,9,,29
2.1-2017,2017-02-09 06:36:02,10,6.0,29
2.1-2017,2017-02-09 06:36:02,11,97.0,54
2.1-2017,2017-02-09 06:36:02,12,79.0,51
2.1-2017,2017-02-09 06:36:02,13,100.0,33
2.1-2017,2017-02-09 06:36:02,14,24.0,16
2.1-2017,2017-02-09 06:36:02,15,21.0,13
2.1-2017,2017-02-09 06:36:02,16,11.0,6
2.1-2017,2017-02-09 06:36:02,17,6.0,3
2.2-2017,2017-03-12 07:55:47,1,,1
2.2-2017,2017-03-12 07:55:47,2,,7
2.2-2017,2017-03-12 07:55:47,3,,18
2.2-2017,2017-03-12 07:55:47,4,,29
2.2-2017,2017-03-12 07:55:47,5,,29
2.2-2017,2017-03-12 07:55:47,6,,29
2.2-2017,2017-03-12 07:55:47,7,,29
2.2-2017,2017-03-12 07:55:47,8,,29
2.2-2017,2017-03-12 07:55:47,9,,29
2.2-2017,2017-03-12 07:55:47,10,6.0,29
2.2-2017,2017-03-12 07:55:47,11,97.0,54
2.2-2017,2017-03-12 07:55:47,12,79.0,51
2.2-2017,2017-03-12 07:55:47,13,100.0,33
2.2-2017,2017-03-12 07:55:47,14,24.0,16
2.2-2017,2017-03-12 07:55:47,15,21.0,13
2.2-2017,2017-03-12 07:55:47,16,11.0,6
2.2-2017,2017-03-12 07:55:47,17,6.0,3
2.3-2017,2017-03-13 10:57:17,1,,1
2.3-2017,2017-03-13 10:57:17,2,,7
2.3-2017,2017-03-13 10:57:17,3,,18
2.3-2017,2017-03-13 10:57:17,4,,29
2.3-2017,2017-03-13 10:57:17,5,,29
2.3-2017,2017-03-13 10:57:17,6,,29
2.3-2017,2017-03-13 10:57:17,7,,29
2.3-2017,2017-03-13 10:57:17,8,,29
2.3-2017,2017-03-13 10:57:17,9,,29
2.3-2017,2017-03-13 10:57:17,10,6.0,29
2.3-2017,2017-03-13 10:57:17,11,97.0,54
2.3-2017,2017-03-13 10:57:17,12,79.0,51
2.3-2017,2017-03-13 10:57:17,13,100.0,33
2.3-2017,2017-03-13 10:57:17,14,24.0,16
2.3-2017,2017-03-13 10:57:17,15,21.0,13
2.3-2017,2017-03-13 10:57:17,16,11.0,6
2.3-2017,2017-03-13 10:57:17,17,6.0,3
3.0-2017,2017-04-13 10:18:46,1,,1
3.0-2017,2017-04-13 10:18:46,2,,4
3.0-2017,2017-04-13 10:18:46,3,,17
3.0-2017,2017-04-13 10:18:46,4,,26
3.0-2017,2017-04-13 10:18:46,5,,26
3.0-2017,2017-04-13 10:18:46,6,,26
3.0-2017,2017-04-13 10:18:46,7,,26
3.0-2017,2017-04-13 10:18:46,8,,26
3.0-2017,2017-04-13 10:18:46,9,,26
3.0-2017,2017-04-13 10:18:46,10,,26
3.0-2017,2017-04-13 10:18:46,11,13.0,26
3.0-2017,2017-04-13 10:18:46,12,104.0,36
3.0-2017,2017-04-13 10:18:46,13,83.0,33
3.0-2017,2017-04-13 10:18:46,14,89.0,27
