release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
1.0-alpha1,2015-12-31 04:05:26,376417,161,31997,2337.99,149,47,8.0,3.43,8009.0,14,83.0,26.83,26,10.64,,,,,,,,,,,,,,,
1.0-alpha2,2016-03-09 12:40:02,4733661,797,262271,5939.35,234,96,60.0,8.3,49309.0,15,265.0,113.86,33,15.6,4357244.0,1157.56,636.0,395.03,49.0,104.26,141.98,41300.0,515.67,1.0,7.14,182.0,219.28,324.38,324.38
1.0-beta,2016-05-28 05:21:18,653688,268,31997,2439.13,243,71,16.0,3.77,9207.0,15,111.0,44.67,36,16.2,-4079973.0,-86.19,-529.0,-66.37,-25.0,-26.04,-54.58,-40102.0,-81.33,0.0,0.0,-154.0,-58.11,-60.77,-60.77
1.0-Final,2016-08-18 05:10:45,873472,307,196653,2845.19,203,73,16.0,4.21,11965.0,15,153.0,51.17,45,13.53,219784.0,33.62,39.0,14.55,2.0,2.82,11.67,2758.0,29.96,0.0,0.0,42.0,37.84,14.55,14.55
1.0-Final-hotfix,2016-11-02 02:17:32,873472,307,196653,2845.19,203,73,16.0,4.21,11965.0,15,153.0,51.17,45,13.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0-2016,2016-12-19 06:33:24,567336,317,36585,1789.7,364,95,17.0,3.34,5972.0,17,99.0,45.29,50,21.41,-306136.0,-35.05,10.0,3.26,22.0,30.14,-20.67,-5993.0,-50.09,2.0,13.33,-54.0,-35.29,-11.49,-11.49
2.1-2017,2017-02-09 06:36:02,627989,344,36585,1825.55,405,106,17.0,3.25,5924.0,17,100.0,43.0,54,23.82,60653.0,10.69,27.0,8.52,11.0,11.58,-2.69,-48.0,-0.8,0.0,0.0,1.0,1.01,-5.06,-5.06
2.2-2017,2017-03-12 07:55:47,627996,344,36585,1825.57,405,106,17.0,3.25,5924.0,17,100.0,43.0,54,23.82,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3-2017,2017-03-13 10:57:17,628007,344,36585,1825.6,405,106,17.0,3.25,5925.0,17,100.0,43.0,54,23.82,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3.0-2017,2017-04-13 10:18:46,711508,333,36601,2136.66,347,80,26.0,4.16,8894.0,17,104.0,47.57,36,20.41,83501.0,13.3,-11.0,-3.2,-26.0,-24.53,28.0,2969.0,50.11,0.0,0.0,4.0,4.0,10.63,10.63
3.0.1-2017,2017-04-27 11:10:13,761668,363,36009,2098.26,362,85,26.0,4.27,8961.0,17,104.0,51.86,38,21.29,50160.0,7.05,30.0,9.01,5.0,6.25,2.64,67.0,0.75,0.0,0.0,0.0,0.0,9.02,9.02
3.0.2-2017,2017-06-05 15:39:43,816756,365,53626,2237.69,362,85,26.0,4.29,9609.0,17,104.0,52.14,38,21.29,55088.0,7.23,2.0,0.55,0.0,0.0,0.47,648.0,7.23,0.0,0.0,0.0,0.0,0.54,0.54
3.0.3,2017-06-10 03:47:26,761792,363,36009,2098.6,362,85,26.0,4.27,8962.0,17,104.0,51.86,38,21.29,-54964.0,-6.73,-2.0,-0.55,0.0,0.0,-0.47,-647.0,-6.73,0.0,0.0,0.0,0.0,-0.54,-0.54
3.1,2017-06-17 15:12:44,806590,377,35887,2139.5,382,95,28.0,3.97,8490.0,16,124.0,53.86,44,23.88,44798.0,5.88,14.0,3.86,10.0,11.76,-7.03,-472.0,-5.27,-1.0,-5.88,20.0,19.23,3.86,3.86
3.1.1,2017-09-11 06:35:46,1454379,814,38637,1786.71,632,221,45.0,3.68,6581.0,20,335.0,101.75,83,31.6,647789.0,80.31,437.0,115.92,126.0,132.63,-7.3,-1909.0,-22.49,4.0,25.0,211.0,170.16,88.92,88.92
3.2,2017-09-16 17:02:36,1434669,789,38637,1818.34,632,216,45.0,3.65,6642.0,20,321.0,98.62,84,31.6,-19710.0,-1.36,-25.0,-3.07,-5.0,-2.26,-0.82,61.0,0.93,0.0,0.0,-14.0,-4.18,-3.08,-3.08
3.2.1,2017-09-28 03:35:43,1475759,811,38637,1819.68,690,225,45.0,3.6,6559.0,20,325.0,101.38,88,34.5,41090.0,2.86,22.0,2.79,9.0,4.17,-1.37,-83.0,-1.25,0.0,0.0,4.0,1.25,2.8,2.8
3.2.2,2017-09-29 10:02:44,1475903,811,38637,1819.86,690,225,45.0,3.6,6560.0,20,325.0,101.38,88,34.5,144.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3.2.3,2017-10-25 02:39:16,2384459,891,38535,2676.16,786,243,42.0,3.67,9813.0,20,328.0,111.38,97,39.3,908556.0,61.56,80.0,9.86,18.0,8.0,1.94,3253.0,49.59,0.0,0.0,3.0,0.92,9.86,9.86
3.2.4,2017-11-06 15:45:00,2455152,920,38535,2668.64,801,249,42.0,3.69,9860.0,20,328.0,102.22,98,40.05,70693.0,2.96,29.0,3.25,6.0,2.47,0.54,47.0,0.48,0.0,0.0,0.0,0.0,-8.22,-8.22
3.2.5,2017-11-21 14:48:58,2473930,914,38535,2706.71,1020,243,34.0,3.76,10181.0,20,292.0,101.56,98,51.0,18778.0,0.76,-6.0,-0.65,-6.0,-2.41,1.9,321.0,3.26,0.0,0.0,-36.0,-10.98,-0.65,-0.65
3.2.6,2017-12-06 09:51:12,2580878,947,38535,2725.32,1053,249,34.0,3.8,10365.0,20,302.0,105.22,101,52.65,106948.0,4.32,33.0,3.61,6.0,2.47,1.06,184.0,1.81,0.0,0.0,10.0,3.42,3.6,3.6
5.0.0-alpha,2018-03-28 03:19:43,4680694,1727,40161,2710.3,1487,388,26.0,4.45,12064.0,21,492.0,143.92,120,70.81,2099816.0,81.36,780.0,82.37,139.0,55.82,17.11,1699.0,16.39,1.0,5.0,190.0,62.91,36.78,36.78
5.0.0-beta,2018-05-11 19:36:06,4888573,1827,40417,2675.74,1508,398,27.0,4.59,12283.0,21,507.0,152.25,122,71.81,207879.0,4.44,100.0,5.79,10.0,2.58,3.15,219.0,1.82,0.0,0.0,15.0,3.05,5.79,5.79
5.0.0-beta2,2018-07-02 06:06:20,5694175,2116,40466,2691.01,1619,455,27.0,4.65,12515.0,21,726.0,176.33,154,77.1,805602.0,16.48,289.0,15.82,57.0,14.32,1.31,232.0,1.89,0.0,0.0,219.0,43.2,15.82,15.82
5.0.0-RC2,2018-09-05 05:38:34,5764471,2140,40466,2693.68,1642,459,27.0,4.66,12559.0,21,727.0,178.33,154,78.19,70296.0,1.23,24.0,1.13,4.0,0.88,0.22,44.0,0.35,0.0,0.0,1.0,0.14,1.13,1.13
5.0.0-GA,2018-10-06 17:11:19,5779100,2145,40466,2694.22,1655,461,27.0,4.65,12536.0,21,729.0,178.75,155,78.81,14629.0,0.25,5.0,0.23,2.0,0.44,-0.21,-23.0,-0.18,0.0,0.0,2.0,0.28,0.24,0.24
6.0.0-alpha,2018-11-04 15:36:01,3090245,1054,37518,2931.92,1096,248,31.0,4.25,12461.0,21,397.0,87.83,106,52.19,-2688855.0,-46.53,-1091.0,-50.86,-213.0,-46.2,-8.6,-75.0,-0.6,0.0,0.0,-332.0,-45.54,-50.86,-50.86
6.0.0-beta,2018-12-14 11:02:06,3224513,1120,37518,2879.03,1191,262,31.0,4.27,12307.0,21,419.0,93.33,112,56.71,134268.0,4.34,66.0,6.26,14.0,5.65,0.47,-154.0,-1.24,0.0,0.0,22.0,5.54,6.26,6.26
6.0.0-GA,2019-01-21 04:52:28,3347313,1157,37518,2893.1,1260,273,31.0,4.24,12261.0,21,445.0,96.42,119,60.0,122800.0,3.81,37.0,3.3,11.0,4.2,-0.7,-46.0,-0.37,0.0,0.0,26.0,6.21,3.31,3.31
6.1.0,2019-04-30 10:47:09,3886617,1342,37518,2896.14,1466,312,38.0,4.3,12457.0,21,512.0,111.83,141,69.81,539304.0,16.11,185.0,15.99,39.0,14.29,1.42,196.0,1.6,0.0,0.0,67.0,15.06,15.98,15.98
6.2.0,2019-06-29 02:40:51,4063953,1428,37518,2845.91,1607,327,38.0,4.37,12428.0,21,559.0,119.0,153,76.52,177336.0,4.56,86.0,6.41,15.0,4.81,1.63,-29.0,-0.23,0.0,0.0,47.0,9.18,6.41,6.41
6.3.0,2019-08-05 11:04:58,4282620,1485,37518,2883.92,1673,341,38.0,4.35,12559.0,21,587.0,123.75,160,79.67,218667.0,5.38,57.0,3.99,14.0,4.28,-0.46,131.0,1.05,0.0,0.0,28.0,5.01,3.99,3.99
6.4.0,2019-09-08 20:02:51,4390097,1515,37518,2897.75,1690,349,38.0,4.34,12579.0,21,594.0,126.25,162,80.48,107477.0,2.51,30.0,2.02,8.0,2.35,-0.23,20.0,0.16,0.0,0.0,7.0,1.19,2.02,2.02
6.5.0,2019-11-12 14:22:27,4604871,1585,37518,2905.28,1770,365,38.0,4.34,12616.0,21,615.0,132.08,168,84.29,214774.0,4.89,70.0,4.62,16.0,4.58,0.0,37.0,0.29,0.0,0.0,21.0,3.54,4.62,4.62
6.6.0,2019-12-24 07:07:50,4861671,1654,37518,2939.34,1868,386,40.0,4.28,12595.0,21,631.0,137.83,174,88.95,256800.0,5.58,69.0,4.35,21.0,5.75,-1.38,-21.0,-0.17,0.0,0.0,16.0,2.6,4.35,4.35
7.0.0,2020-03-18 16:36:18,5574754,1793,35978,3109.18,2015,420,49.0,4.27,13273.0,21,674.0,149.42,191,95.95,713083.0,14.67,139.0,8.4,34.0,8.81,-0.23,678.0,5.38,0.0,0.0,43.0,6.81,8.41,8.41
8.0.0,2020-06-12 10:28:59,5607048,1840,35978,3047.31,2029,423,51.0,4.35,13255.0,21,665.0,141.54,195,96.62,32294.0,0.58,47.0,2.62,3.0,0.71,1.87,-18.0,-0.14,0.0,0.0,-9.0,-1.34,-5.27,-5.27
8.0.1,2020-06-18 12:02:15,5607053,1840,35978,3047.31,2029,423,51.0,4.35,13255.0,21,665.0,141.54,195,96.62,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1.0,2020-07-31 11:18:31,6055764,2001,35978,3026.37,2269,470,54.0,4.26,12885.0,21,734.0,153.92,219,108.05,448711.0,8.0,161.0,8.75,47.0,11.11,-2.07,-370.0,-2.79,0.0,0.0,69.0,10.38,8.75,8.75
8.2.0,2020-10-24 10:43:55,6660395,2194,35978,3035.73,2461,522,57.0,4.2,12759.0,21,800.0,156.71,237,117.19,604631.0,9.98,193.0,9.65,52.0,11.06,-1.41,-126.0,-0.98,0.0,0.0,66.0,8.99,1.81,1.81
8.3.0,2020-11-29 07:23:01,6816000,2235,35978,3049.66,2550,538,57.0,4.15,12669.0,21,807.0,159.64,243,121.43,155605.0,2.34,41.0,1.87,16.0,3.07,-1.19,-90.0,-0.71,0.0,0.0,7.0,0.88,1.87,1.87
8.4.0,2021-02-01 14:02:04,7061891,2308,35978,3059.74,2627,560,56.0,4.12,12611.0,21,827.0,164.86,250,125.1,245891.0,3.61,73.0,3.27,22.0,4.09,-0.72,-58.0,-0.46,0.0,0.0,20.0,2.48,3.27,3.27
8.5.0,2021-04-09 06:16:16,7338695,2389,39232,3071.87,2655,579,56.0,4.13,12675.0,21,849.0,170.64,253,126.43,276804.0,3.92,81.0,3.51,19.0,3.39,0.24,64.0,0.51,0.0,0.0,22.0,2.66,3.51,3.51
8.6.0,2021-06-07 15:22:31,7683810,2480,39232,3098.31,2736,596,56.0,4.16,12892.0,21,860.0,177.14,259,130.29,345115.0,4.7,91.0,3.81,17.0,2.94,0.73,217.0,1.71,0.0,0.0,11.0,1.3,3.81,3.81
8.7.0,2021-07-30 04:21:17,7802245,2507,39232,3112.18,2753,602,56.0,4.16,12961.0,21,873.0,179.07,262,131.1,118435.0,1.54,27.0,1.09,6.0,1.01,0.0,69.0,0.54,0.0,0.0,13.0,1.51,1.09,1.09
8.8.0,2021-09-25 15:50:24,3803239,1201,28307,3166.73,947,260,56.0,4.62,14628.0,18,436.0,120.1,98,52.61,-3999006.0,-51.25,-1306.0,-52.09,-342.0,-56.81,11.06,1667.0,12.86,-3.0,-14.29,-437.0,-50.06,-32.93,-32.93
8.8.1,2021-09-29 15:57:54,3802115,1200,28307,3168.43,935,259,56.0,4.63,14680.0,18,436.0,120.0,97,51.94,-1124.0,-0.03,-1.0,-0.08,-1.0,-0.38,0.22,52.0,0.36,0.0,0.0,0.0,0.0,-0.08,-0.08
8.9.0,2021-12-02 10:39:04,4055806,1246,28890,3255.06,975,273,56.0,4.56,14856.0,18,440.0,138.44,103,54.17,253691.0,6.67,46.0,3.83,14.0,5.41,-1.51,176.0,1.2,0.0,0.0,4.0,0.92,15.37,15.37
8.9.1,2021-12-10 15:29:55,4055806,1246,28890,3255.06,975,273,56.0,4.56,14856.0,18,440.0,138.44,103,54.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0.0,2022-04-06 10:59:17,4317573,1303,30325,3313.56,998,283,64.0,4.6,15256.0,18,461.0,144.78,106,55.44,261767.0,6.45,57.0,4.57,10.0,3.66,0.88,400.0,2.69,0.0,0.0,21.0,4.77,4.58,4.58
