release,mtime,level,num_files,num_folders
1.03,2007-03-07 21:03:40,1,,1
1.03,2007-03-07 21:03:40,2,,1
1.03,2007-03-07 21:03:40,3,453.0,12
1.04,2007-05-17 02:48:27,1,,1
1.04,2007-05-17 02:48:27,2,459.0,13
1.04b,2007-05-17 19:55:12,1,,1
1.04b,2007-05-17 19:55:12,2,459.0,13
2.00,2007-07-19 17:38:37,1,4.0,1
2.00,2007-07-19 17:38:37,2,467.0,13
2.01,2007-08-30 20:32:18,1,4.0,1
2.01,2007-08-30 20:32:18,2,469.0,13
2.02,2008-04-22 16:49:14,1,4.0,1
2.02,2008-04-22 16:49:14,2,473.0,14
2.03,2008-04-22 19:34:42,1,4.0,1
2.03,2008-04-22 19:34:42,2,473.0,14
2.04,2009-07-01 00:25:57,1,4.0,1
2.04,2009-07-01 00:25:57,2,464.0,14
2.04,2009-07-01 00:25:57,3,,1
2.04,2009-07-01 00:25:57,4,,1
2.04,2009-07-01 00:25:57,5,1.0,1
2.04,2009-07-01 00:25:57,6,12.0,2
3.00,2010-10-01 05:54:40,1,,1
3.00,2010-10-01 05:54:40,2,495.0,14
3.00,2010-10-01 05:54:40,3,16.0,3
3.00,2010-10-01 05:54:40,4,26.0,2
3.00,2010-10-01 05:54:40,5,1.0,1
3.00,2010-10-01 05:54:40,6,12.0,2
3.01,2011-10-22 07:28:44,1,,1
3.01,2011-10-22 07:28:44,2,510.0,17
3.01,2011-10-22 07:28:44,3,17.0,6
3.01,2011-10-22 07:28:44,4,54.0,3
3.01,2011-10-22 07:28:44,5,1.0,1
3.01,2011-10-22 07:28:44,6,12.0,2
3.02.02,2012-10-25 22:15:11,1,,1
3.02.02,2012-10-25 22:15:11,2,564.0,17
3.02.02,2012-10-25 22:15:11,3,25.0,15
3.02.02,2012-10-25 22:15:11,4,,1
3.02.02,2012-10-25 22:15:11,5,1.0,1
3.02.02,2012-10-25 22:15:11,6,12.0,2
3.03-rc1,2014-02-05 01:53:56,1,,1
3.03-rc1,2014-02-05 01:53:56,2,569.0,18
3.03-rc1,2014-02-05 01:53:56,3,35.0,18
3.03-rc1,2014-02-05 01:53:56,4,,1
3.03-rc1,2014-02-05 01:53:56,5,1.0,1
3.03-rc1,2014-02-05 01:53:56,6,12.0,2
3.04-rc1,2014-08-16 21:02:41,1,,1
3.04-rc1,2014-08-16 21:02:41,2,571.0,18
3.04-rc1,2014-08-16 21:02:41,3,33.0,18
3.04-rc1,2014-08-16 21:02:41,4,,1
3.04-rc1,2014-08-16 21:02:41,5,1.0,1
3.04-rc1,2014-08-16 21:02:41,6,12.0,2
3.04.00,2015-07-11 09:53:12,1,,1
3.04.00,2015-07-11 09:53:12,2,562.0,17
3.04.00,2015-07-11 09:53:12,3,17.0,5
3.04.00,2015-07-11 09:53:12,4,,1
3.04.00,2015-07-11 09:53:12,5,1.0,1
3.04.00,2015-07-11 09:53:12,6,12.0,2
3.04.01,2016-02-16 22:27:01,1,,1
3.04.01,2016-02-16 22:27:01,2,561.0,17
3.04.01,2016-02-16 22:27:01,3,17.0,5
3.04.01,2016-02-16 22:27:01,4,,1
3.04.01,2016-02-16 22:27:01,5,1.0,1
3.04.01,2016-02-16 22:27:01,6,12.0,2
3.04.01dev,2015-07-21 22:48:35,1,,1
3.04.01dev,2015-07-21 22:48:35,2,562.0,17
3.04.01dev,2015-07-21 22:48:35,3,17.0,5
3.04.01dev,2015-07-21 22:48:35,4,,1
3.04.01dev,2015-07-21 22:48:35,5,1.0,1
3.04.01dev,2015-07-21 22:48:35,6,12.0,2
3.05.00,2017-02-16 18:59:48,1,,1
3.05.00,2017-02-16 18:59:48,2,557.0,17
3.05.00,2017-02-16 18:59:48,3,17.0,5
3.05.00,2017-02-16 18:59:48,4,,1
3.05.00,2017-02-16 18:59:48,5,1.0,1
3.05.00,2017-02-16 18:59:48,6,12.0,2
3.05.00dev,2015-07-21 22:46:52,1,,1
3.05.00dev,2015-07-21 22:46:52,2,562.0,17
3.05.00dev,2015-07-21 22:46:52,3,17.0,5
3.05.00dev,2015-07-21 22:46:52,4,,1
3.05.00dev,2015-07-21 22:46:52,5,1.0,1
3.05.00dev,2015-07-21 22:46:52,6,12.0,2
3.05.01,2017-06-01 20:06:24,1,,1
3.05.01,2017-06-01 20:06:24,2,557.0,17
3.05.01,2017-06-01 20:06:24,3,17.0,5
3.05.01,2017-06-01 20:06:24,4,,1
3.05.01,2017-06-01 20:06:24,5,1.0,1
3.05.01,2017-06-01 20:06:24,6,12.0,2
3.05.02,2018-06-19 09:24:09,1,,1
3.05.02,2018-06-19 09:24:09,2,557.0,17
3.05.02,2018-06-19 09:24:09,3,15.0,5
3.05.02,2018-06-19 09:24:09,4,,1
3.05.02,2018-06-19 09:24:09,5,1.0,1
3.05.02,2018-06-19 09:24:09,6,12.0,2
4.0.0,2018-10-29 09:53:12,1,,1
4.0.0,2018-10-29 09:53:12,2,,2
4.0.0,2018-10-29 09:53:12,3,538.0,16
4.0.0,2018-10-29 09:53:12,4,3.0,3
4.0.0,2018-10-29 09:53:12,5,1.0,1
4.0.0,2018-10-29 09:53:12,6,12.0,2
4.1.0,2019-07-07 14:34:08,1,1.0,1
4.1.0,2019-07-07 14:34:08,2,,2
4.1.0,2019-07-07 14:34:08,3,541.0,16
4.1.0,2019-07-07 14:34:08,4,1.0,2
4.1.0,2019-07-07 14:34:08,5,1.0,1
4.1.0,2019-07-07 14:34:08,6,12.0,2
4.1.0-rc1,2019-02-17 20:53:05,1,1.0,1
4.1.0-rc1,2019-02-17 20:53:05,2,,2
4.1.0-rc1,2019-02-17 20:53:05,3,543.0,16
4.1.0-rc1,2019-02-17 20:53:05,4,1.0,2
4.1.0-rc1,2019-02-17 20:53:05,5,1.0,1
4.1.0-rc1,2019-02-17 20:53:05,6,12.0,2
4.1.0-rc2,2019-05-01 10:58:56,1,1.0,1
4.1.0-rc2,2019-05-01 10:58:56,2,,2
4.1.0-rc2,2019-05-01 10:58:56,3,540.0,16
4.1.0-rc2,2019-05-01 10:58:56,4,1.0,2
4.1.0-rc2,2019-05-01 10:58:56,5,1.0,1
4.1.0-rc2,2019-05-01 10:58:56,6,12.0,2
4.1.0-rc3,2019-06-16 21:11:07,1,1.0,1
4.1.0-rc3,2019-06-16 21:11:07,2,,2
4.1.0-rc3,2019-06-16 21:11:07,3,541.0,16
4.1.0-rc3,2019-06-16 21:11:07,4,1.0,2
4.1.0-rc3,2019-06-16 21:11:07,5,1.0,1
4.1.0-rc3,2019-06-16 21:11:07,6,12.0,2
4.1.0-rc4,2019-06-18 09:48:36,1,1.0,1
4.1.0-rc4,2019-06-18 09:48:36,2,,2
4.1.0-rc4,2019-06-18 09:48:36,3,541.0,16
4.1.0-rc4,2019-06-18 09:48:36,4,1.0,2
4.1.0-rc4,2019-06-18 09:48:36,5,1.0,1
4.1.0-rc4,2019-06-18 09:48:36,6,12.0,2
4.1.1,2019-12-26 15:21:51,1,1.0,1
4.1.1,2019-12-26 15:21:51,2,,2
4.1.1,2019-12-26 15:21:51,3,532.0,16
4.1.1,2019-12-26 15:21:51,4,1.0,2
4.1.1,2019-12-26 15:21:51,5,1.0,1
4.1.1,2019-12-26 15:21:51,6,12.0,2
4.1.1-rc1,2019-11-01 15:35:29,1,1.0,1
4.1.1-rc1,2019-11-01 15:35:29,2,,2
4.1.1-rc1,2019-11-01 15:35:29,3,529.0,16
4.1.1-rc1,2019-11-01 15:35:29,4,1.0,2
4.1.1-rc1,2019-11-01 15:35:29,5,1.0,1
4.1.1-rc1,2019-11-01 15:35:29,6,12.0,2
4.1.1-rc2,2019-11-11 22:26:31,1,1.0,1
4.1.1-rc2,2019-11-11 22:26:31,2,,2
4.1.1-rc2,2019-11-11 22:26:31,3,532.0,16
4.1.1-rc2,2019-11-11 22:26:31,4,1.0,2
4.1.1-rc2,2019-11-11 22:26:31,5,1.0,1
4.1.1-rc2,2019-11-11 22:26:31,6,12.0,2
4.1.2,2021-11-14 20:34:58,1,1.0,1
4.1.2,2021-11-14 20:34:58,2,,2
4.1.2,2021-11-14 20:34:58,3,532.0,16
4.1.2,2021-11-14 20:34:58,4,1.0,2
4.1.2,2021-11-14 20:34:58,5,1.0,1
