release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
1.03,2007-03-07 21:03:40,4308739,453,108893,9511.57,14,12,73.0,37.75,359062.0,3,453.0,453.0,12,4.67,,,,,,,,,,,,,,,
1.04,2007-05-17 02:48:27,4337143,459,110289,9449.11,14,13,73.0,35.31,333626.0,2,459.0,459.0,13,7.0,28404.0,0.66,6.0,1.32,1.0,8.33,-6.46,-25436.0,-7.08,-1.0,-33.33,6.0,1.32,1.32,1.32
1.04b,2007-05-17 19:55:12,4337143,459,110289,9449.11,14,13,73.0,35.31,333626.0,2,459.0,459.0,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.00,2007-07-19 17:38:37,4474354,471,114148,9499.69,14,14,73.0,33.64,319597.0,2,467.0,235.5,13,7.0,137211.0,3.16,12.0,2.61,1.0,7.69,-4.73,-14029.0,-4.21,0.0,0.0,8.0,1.74,-48.69,-48.69
2.01,2007-08-30 20:32:18,4496974,473,114148,9507.34,14,14,73.0,33.79,321212.0,2,469.0,236.5,13,7.0,22620.0,0.51,2.0,0.42,0.0,0.0,0.45,1615.0,0.51,0.0,0.0,2.0,0.43,0.42,0.42
2.02,2008-04-22 16:49:14,4497559,477,119168,9428.84,15,15,73.0,31.8,299837.0,2,473.0,238.5,14,7.5,585.0,0.01,4.0,0.85,1.0,7.14,-5.89,-21375.0,-6.65,0.0,0.0,4.0,0.85,0.85,0.85
2.03,2008-04-22 19:34:42,4497611,477,119168,9428.95,15,15,73.0,31.8,299841.0,2,473.0,238.5,14,7.5,52.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.04,2009-07-01 00:25:57,4505824,481,115048,9367.62,20,17,73.0,28.29,265048.0,6,464.0,120.25,14,3.33,8213.0,0.18,4.0,0.84,2.0,13.33,-11.04,-34793.0,-11.6,4.0,200.0,-9.0,-1.9,-49.58,-49.58
3.00,2010-10-01 05:54:40,5841425,550,181191,10620.77,23,19,74.0,28.95,307443.0,6,495.0,110.0,14,3.83,1335601.0,29.64,69.0,14.35,2.0,11.76,2.33,42395.0,16.0,0.0,0.0,31.0,6.68,-8.52,-8.52
3.01,2011-10-22 07:28:44,6165730,594,196277,10380.02,30,23,73.0,25.83,268075.0,6,510.0,118.8,17,5.0,324305.0,5.55,44.0,8.0,4.0,21.05,-10.78,-39368.0,-12.8,0.0,0.0,15.0,3.03,8.0,8.0
3.02.02,2012-10-25 22:15:11,6470796,602,108001,10748.83,37,32,82.0,18.81,202212.0,6,564.0,150.5,17,6.17,305066.0,4.95,8.0,1.35,9.0,39.13,-27.18,-65863.0,-24.57,0.0,0.0,54.0,10.59,26.68,26.68
3.03-rc1,2014-02-05 01:53:56,8555852,617,1409683,13866.86,41,35,81.0,17.63,244453.0,6,569.0,154.25,18,6.83,2085056.0,32.22,15.0,2.49,3.0,9.38,-6.27,42241.0,20.89,0.0,0.0,5.0,0.89,2.49,2.49
