path,name,extension,size_bytes,mtime,folder,num_files,level,md5,num_files_direct,id,parent
ccstruct/polyblk.h,polyblk,h,3297,2017-02-16 18:59:48,False,,2,322c8083eca8f74136bb96e0aade4b5c,,b93f13a78d240633013c9edfea303cf3,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/mod128.cpp,mod128,cpp,3183,2017-02-16 18:59:48,False,,2,abd4b20cbb882c636e6049ca7fdcfaa9,,9c8e2d1fd25a958af59622b86850519b,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/detlinefit.h,detlinefit,h,7795,2017-02-16 18:59:48,False,,2,cea894f24a2006fc8c31d1900584757b,,d0959cc6ca219f943020abde15d3cc4c,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/seam.cpp,seam,cpp,9667,2017-02-16 18:59:48,False,,2,79a9a4539c5dcbd0cdacb5eaa8f8ef18,,a9580311de48c02b269ed7391c5ce717,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/coutln.h,coutln,h,12078,2017-02-16 18:59:48,False,,2,756c0608bbeaed9ab3a46dc07c08b925,,b64fa706443e2c57f5dbc8e90b4346bb,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/publictypes.cpp,publictypes,cpp,1336,2017-02-16 18:59:48,False,,2,ec1c55d15e8a1a7eb703fe3c69fed989,,6a0a19dd9e2924d60a48dcd3524cde1c,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/ocrblock.cpp,ocrblock,cpp,18362,2017-02-16 18:59:48,False,,2,362aad1f6afb7e0306b575b93156f049,,1370c43366b08592b8e7ed93815ffc86,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/matrix.cpp,matrix,cpp,5707,2017-02-16 18:59:48,False,,2,2a6def467bdfd478c532c8d7cc96639b,,64fd7790c11a73199d8719dd0d192853,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/seam.h,seam,h,7938,2017-02-16 18:59:48,False,,2,ea5bc8ff1b626828a4b96945796cd00b,,df5155eeb375da7b97e8e66fc179f7e1,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/genblob.cpp,genblob,cpp,1626,2017-02-16 18:59:48,False,,2,49a99eb6de55f8793250a59fb7ff6766,,4b3e03fc36540fc254d021f86cd07a61,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/ratngs.cpp,ratngs,cpp,28039,2017-02-16 18:59:48,False,,2,af6296ad5edef2204a2ff2645b6d7593,,8a491137e642e48166be870b6482328a,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/hpdsizes.h,hpdsizes,h,715,2017-02-16 18:59:48,False,,2,bcf5a450145a404fa129466a12256269,,64f6c69cecad85200eb808c9b5f0806d,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/ratngs.h,ratngs,h,23075,2017-02-16 18:59:48,False,,2,09d1a35ac51fc122ad5e0114675495a8,,6b1e4831f6b3a3870680b59167fb6af7,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/dppoint.cpp,dppoint,cpp,3603,2017-02-16 18:59:48,False,,2,b335155f245aa9032ce5bc61c02eb272,,65754951846e9ef4a2a7bb4183ce0c5c,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/genblob.h,genblob,h,1148,2017-02-16 18:59:48,False,,2,849fa9d320f78beefd37a6f92715b992,,afc7961e5baed8daa165568c1dab9496,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/blamer.h,blamer,h,14455,2017-02-16 18:59:48,False,,2,e2ee1034755f0f6bae0ac9cf20fee1e5,,827b370b87eb66fd35461afdafd5d2fe,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/boxword.h,boxword,h,3143,2017-02-16 18:59:48,False,,2,a0cbf25d1e2c61dd16951e2bf0b55ae2,,cada61791c64426b28a3ce43f29d98f4,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/boxword.cpp,boxword,cpp,6563,2017-02-16 18:59:48,False,,2,8b0ad54540bbadc77ab74dc9f123b38d,,c561475e79b48fbf10cecef3df4d4ff3,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/matrix.h,matrix,h,23069,2017-02-16 18:59:48,False,,2,7def952520eaa6a6d97a09f0282c7d99,,086e7e55410821c1dcb237dcd2d53f2b,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/ocrpara.h,ocrpara,h,7424,2017-02-16 18:59:48,False,,2,ce696a83fec14e31cd6bb5ec933ea047,,989370ed128927a3f7575f94ee8b7eb0,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/polyaprx.h,polyaprx,h,1810,2017-02-16 18:59:48,False,,2,a635ad13116406004313ef22821924be,,fb21b3b34cb0237e776c42729c138bd4,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/mod128.h,mod128,h,2729,2017-02-16 18:59:48,False,,2,ea3dbf285863f3837178ae1a4f299740,,e07bf9f487079f1f47732a59393e9def,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/pdblock.h,pdblock,h,5146,2017-02-16 18:59:48,False,,2,24affe2d3893a94d27768795d5d5dc17,,01037203556faf2784951675bf3d1f2b,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/quadlsq.cpp,quadlsq,cpp,4711,2017-02-16 18:59:48,False,,2,81ca850db8992f5c0b0ef17074d76dd4,,e66533930f500b8682ec4c1bb96d7106,8b165d1ad3c1efda4bb9ee908efd6123
ccstruct/imagedata.cpp,imagedata,cpp,25665,2017-02-16 18:59:48,False,,2,7b7f961789bc378675e1c6b660d8d4cf,,1e1ab755e307f14ddffbad6f38cdf54a,8b165d1ad3c1efda4bb9ee908efd6123
