release,mtime,level,num_files,num_folders
1.0.0,2016-05-25 15:37:22,1,,1
1.0.0,2016-05-25 15:37:22,2,,8
1.0.0,2016-05-25 15:37:22,3,,16
1.0.0,2016-05-25 15:37:22,4,,16
1.0.0,2016-05-25 15:37:22,5,,16
1.0.0,2016-05-25 15:37:22,6,9.0,16
1.0.0,2016-05-25 15:37:22,7,46.0,18
1.0.0,2016-05-25 15:37:22,8,23.0,14
1.0.0,2016-05-25 15:37:22,9,30.0,11
1.0.0,2016-05-25 15:37:22,10,11.0,6
1.0.0,2016-05-25 15:37:22,11,6.0,3
1.0.0,2016-05-25 15:37:22,12,2.0,1
1.1.0,2016-06-01 15:11:18,1,,1
1.1.0,2016-06-01 15:11:18,2,,8
1.1.0,2016-06-01 15:11:18,3,,16
1.1.0,2016-06-01 15:11:18,4,,16
1.1.0,2016-06-01 15:11:18,5,,16
1.1.0,2016-06-01 15:11:18,6,9.0,16
1.1.0,2016-06-01 15:11:18,7,46.0,18
1.1.0,2016-06-01 15:11:18,8,22.0,14
1.1.0,2016-06-01 15:11:18,9,30.0,11
1.1.0,2016-06-01 15:11:18,10,11.0,6
1.1.0,2016-06-01 15:11:18,11,6.0,3
1.1.0,2016-06-01 15:11:18,12,2.0,1
1.1.4,2016-06-04 04:49:10,1,,1
1.1.4,2016-06-04 04:49:10,2,,8
1.1.4,2016-06-04 04:49:10,3,,16
1.1.4,2016-06-04 04:49:10,4,,16
1.1.4,2016-06-04 04:49:10,5,,16
1.1.4,2016-06-04 04:49:10,6,9.0,16
1.1.4,2016-06-04 04:49:10,7,46.0,18
1.1.4,2016-06-04 04:49:10,8,22.0,14
1.1.4,2016-06-04 04:49:10,9,30.0,11
1.1.4,2016-06-04 04:49:10,10,11.0,6
1.1.4,2016-06-04 04:49:10,11,6.0,3
1.1.4,2016-06-04 04:49:10,12,2.0,1
1.1.5,2016-06-21 13:27:24,1,,1
1.1.5,2016-06-21 13:27:24,2,,8
1.1.5,2016-06-21 13:27:24,3,,16
1.1.5,2016-06-21 13:27:24,4,,16
1.1.5,2016-06-21 13:27:24,5,,16
