release,mtime,release_size_bytes,num_files,max_file_size_bytes,avg_file_size_bytes,num_folders,num_source_folders,max_source_folder_size_num_files,avg_source_folder_size_num_files,avg_source_folder_size_bytes,max_tree_level,max_num_files_level,avg_num_files_level,max_num_folders_level,avg_num_folders_level,growth_size_bytes,growth_size_bytes_pct,growth_num_files,growth_num_files_pct,growth_num_source_folders,growth_num_source_folders_pct,growth_avg_source_folder_size_num_files_pct,growth_avg_source_folder_size_bytes,growth_avg_source_folder_size_bytes_pct,growth_max_tree_level,growth_max_tree_level_pct,growth_max_num_files_level,growth_max_num_files_level_pct,growth_avg_num_files_level_pct,growth_tree_width_pct
1.0.0,2016-05-25 15:37:22,504957,127,31213,3976.04,126,24,16.0,5.29,21040.0,12,46.0,18.14,18,10.5,,,,,,,,,,,,,,,
1.1.0,2016-06-01 15:11:18,507081,126,31432,4024.45,126,24,16.0,5.25,21128.0,12,46.0,18.0,18,10.5,2124.0,0.42,-1.0,-0.79,0.0,0.0,-0.76,88.0,0.42,0.0,0.0,0.0,0.0,-0.77,-0.77
1.1.4,2016-06-04 04:49:10,507178,126,31432,4025.22,126,24,16.0,5.25,21132.0,12,46.0,18.0,18,10.5,97.0,0.02,0.0,0.0,0.0,0.0,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.1.5,2016-06-21 13:27:24,507588,126,31432,4028.48,126,24,16.0,5.25,21150.0,12,46.0,18.0,18,10.5,410.0,0.08,0.0,0.0,0.0,0.0,0.0,18.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
1.2.1,2016-06-29 06:53:42,513821,127,31432,4045.83,133,25,16.0,5.08,20553.0,12,46.0,18.14,19,11.08,6233.0,1.23,1.0,0.79,1.0,4.17,-3.24,-597.0,-2.82,0.0,0.0,0.0,0.0,0.78,0.78
1.3.0,2016-07-10 03:38:04,534205,135,27151,3957.07,133,25,19.0,5.4,21368.0,12,46.0,19.29,19,11.08,20384.0,3.97,8.0,6.3,0.0,0.0,6.3,815.0,3.97,0.0,0.0,0.0,0.0,6.34,6.34
1.4.0,2016-07-13 06:53:12,539858,136,27151,3969.54,133,25,19.0,5.44,21594.0,12,46.0,19.43,19,11.08,5653.0,1.06,1.0,0.74,0.0,0.0,0.74,226.0,1.06,0.0,0.0,0.0,0.0,0.73,0.73
1.5.0,2016-07-21 12:37:19,551747,138,26315,3998.17,133,25,19.0,5.52,22070.0,12,46.0,19.71,19,11.08,11889.0,2.2,2.0,1.47,0.0,0.0,1.47,476.0,2.2,0.0,0.0,0.0,0.0,1.44,1.44
1.6.0,2016-07-31 22:22:17,551968,138,26315,3999.77,133,25,19.0,5.52,22079.0,12,46.0,19.71,19,11.08,221.0,0.04,0.0,0.0,0.0,0.0,0.0,9.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
1.7.0,2016-08-18 15:01:42,568821,141,26315,4034.19,133,25,19.0,5.64,22753.0,12,48.0,20.14,19,11.08,16853.0,3.05,3.0,2.17,0.0,0.0,2.17,674.0,3.05,0.0,0.0,2.0,4.35,2.18,2.18
1.8.0,2016-08-31 01:39:22,578284,141,26315,4101.3,133,25,19.0,5.64,23131.0,12,48.0,20.14,19,11.08,9463.0,1.66,0.0,0.0,0.0,0.0,0.0,378.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0
